time,Dallas,pts.away,score,pts.home,Utah
1:42.0,C. Villanueva misses 2-pt shot from 2 ft (block by R. Gobert),,102-80,,
1:39.0,,,102-80,,Defensive rebound by S. Novak
1:34.0,,,102-80,,S. Novak misses 3-pt shot from 23 ft
1:30.0,,,102-80,,Offensive rebound by R. Gobert
1:23.0,,,102-82,2,D. Exum makes 2-pt shot from 2 ft
0:59.0,J. Crowder misses 3-pt shot from 25 ft,,102-82,,
0:57.0,Offensive rebound by J. Barea,,102-82,,
0:39.0,C. Villanueva makes 3-pt shot from 25 ft (assist by J. Barea),3,105-82,,
0:28.0,,,105-82,,J. Ingles misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by C. Villanueva,,105-82,,
0:03.0,Turnover by Team (shot clock),,105-82,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
