time,Chicago,pts.away,score,pts.home,Washington
1:32.0,Turnover by J. Butler (lost ball; steal by N. Hilario),,86-98,,
1:26.0,,,86-101,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
1:26.0,Chicago full timeout,,86-101,,
1:17.0,Turnover by J. Butler (bad pass; steal by N. Hilario),,86-101,,
0:59.0,,,86-101,,M. Gortat misses 2-pt shot from 1 ft (block by P. Gasol)
0:57.0,Defensive rebound by P. Gasol,,86-101,,
0:54.0,A. Brooks misses 2-pt shot from 3 ft,,86-101,,
0:52.0,,,86-101,,Defensive rebound by N. Hilario
0:33.0,,,86-101,,P. Pierce misses 2-pt shot from 21 ft
0:32.0,Defensive rebound by J. Noah,,86-101,,
0:25.0,Turnover by J. Noah (lost ball),,86-101,,
0:25.0,Technical foul by J. Noah,,86-101,,
0:25.0,,,86-102,1,J. Wall makes technical free throw
0:25.0,,,86-102,,K. Humphries enters the game for N. Hilario
0:25.0,C. Bairstow enters the game for J. Butler,,86-102,,
0:25.0,E. Moore enters the game for J. Noah,,86-102,,
0:25.0,T. Snell enters the game for D. Rose,,86-102,,
0:25.0,,,86-102,,O. Porter enters the game for P. Pierce
0:25.0,,,86-102,,K. Seraphin enters the game for M. Gortat
0:25.0,,,86-102,,G. Temple enters the game for J. Wall
0:25.0,,,86-102,,R. Butler enters the game for B. Beal
0:12.0,,,86-102,,Turnover by G. Temple (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
