time,Chicago,pts.away,score,pts.home,Houston
4:34.0,Offensive rebound by Team,,79-93,,
4:34.0,A. Brooks enters the game for K. Hinrich,,79-93,,
4:34.0,J. Butler makes free throw 2 of 2,1,80-93,,
4:27.0,Personal foul by J. Butler (drawn by J. Harden),,80-93,,
4:15.0,,,80-93,,Turnover by J. Harden (bad pass)
3:52.0,A. Brooks misses 2-pt shot from 18 ft,,80-93,,
3:51.0,,,80-93,,Defensive rebound by J. Dorsey
3:44.0,Personal foul by T. Gibson (drawn by J. Harden),,80-93,,
3:44.0,,,80-94,1,J. Harden makes free throw 1 of 2
3:44.0,,,80-94,,J. Smith enters the game for J. Dorsey
3:44.0,,,80-95,1,J. Harden makes free throw 2 of 2
3:34.0,D. Rose misses 2-pt shot from 20 ft,,80-95,,
3:32.0,,,80-95,,Defensive rebound by J. Smith
3:17.0,,,80-95,,J. Harden misses 2-pt shot from 15 ft
3:15.0,Defensive rebound by P. Gasol,,80-95,,
3:07.0,A. Brooks makes 3-pt shot from 24 ft,3,83-95,,
2:54.0,,,83-95,,T. Ariza misses 2-pt shot from 1 ft
2:53.0,,,83-95,,Offensive rebound by J. Smith
2:49.0,,,83-95,,D. Motiejunas misses 2-pt shot from 9 ft
2:48.0,Defensive rebound by P. Gasol,,83-95,,
2:38.0,J. Butler misses 2-pt shot at rim,,83-95,,
2:37.0,Offensive rebound by P. Gasol,,83-95,,
2:37.0,P. Gasol makes 2-pt shot at rim,2,85-95,,
2:26.0,Personal take foul by T. Gibson (drawn by J. Smith),,85-95,,
2:26.0,Official timeout,,85-95,,
2:26.0,,,85-96,1,J. Smith makes free throw 1 of 2
2:26.0,,,85-96,,J. Smith misses free throw 2 of 2
2:26.0,Defensive rebound by J. Butler,,85-96,,
2:18.0,Turnover by D. Rose (step out of bounds),,85-96,,
1:58.0,,,85-96,,P. Beverley misses 2-pt shot from 8 ft
1:57.0,Defensive rebound by T. Gibson,,85-96,,
1:48.0,J. Butler makes 2-pt shot at rim,2,87-96,,
1:24.0,,,87-96,,P. Beverley misses 2-pt shot from 9 ft
1:23.0,Defensive rebound by T. Gibson,,87-96,,
1:16.0,A. Brooks misses 3-pt shot from 28 ft,,87-96,,
1:15.0,,,87-96,,Defensive rebound by J. Smith
0:57.0,,,87-98,2,T. Ariza makes 2-pt shot from 12 ft
0:57.0,Chicago full timeout,,87-98,,
0:57.0,,,87-98,,C. Brewer enters the game for D. Motiejunas
0:49.0,A. Brooks misses 3-pt shot from 25 ft,,87-98,,
0:48.0,,,87-98,,Defensive rebound by T. Ariza
0:26.0,,,87-101,3,J. Harden makes 3-pt shot from 25 ft
0:15.0,P. Gasol makes 2-pt shot from 4 ft,2,89-101,,
0:15.0,Shooting foul by J. Smith (drawn by P. Gasol),,89-101,,
0:15.0,P. Gasol makes free throw 1 of 1,1,90-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
