time,Miami,pts.away,score,pts.home,Detroit
1:34.0,G. Dragic misses 3-pt shot from 26 ft,,98-92,,
1:34.0,,,98-92,,Defensive rebound by Team
1:34.0,Loose ball foul by T. Johnson (drawn by T. Prince),,98-92,,
1:34.0,,,98-93,1,T. Prince makes free throw 1 of 2
1:34.0,M. Chalmers enters the game for T. Johnson,,98-93,,
1:34.0,,,98-94,1,T. Prince makes free throw 2 of 2
1:19.0,Turnover by G. Dragic (step out of bounds),,98-94,,
1:09.0,,,98-97,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by R. Jackson)
1:09.0,Miami full timeout,,98-97,,
0:52.0,M. Chalmers misses 2-pt shot from 6 ft,,98-97,,
0:51.0,,,98-97,,Defensive rebound by T. Prince
0:32.0,,,98-97,,Turnover by R. Jackson (offensive foul)
0:32.0,,,98-97,,Offensive charge foul by R. Jackson
0:11.0,D. Wade misses 2-pt shot from 19 ft,,98-97,,
0:10.0,,,98-97,,Defensive rebound by R. Jackson
0:05.0,,,98-99,2,R. Jackson makes 2-pt shot at rim
0:05.0,Miami full timeout,,98-99,,
0:01.0,D. Wade misses 3-pt shot from 27 ft,,98-99,,
0:00.0,,,98-99,,Defensive rebound by A. Drummond
0:00.0,End of 4th quarter,,,,End of 4th quarter
