time,LA Clippers,pts.away,score,pts.home,Oklahoma City
7:00.0,,,106-93,,Personal take foul by E. Kanter (drawn by D. Jordan)
7:00.0,D. Jordan makes free throw 1 of 2,1,107-93,,
7:00.0,M. Barnes enters the game for A. Rivers,,107-93,,
7:00.0,D. Jordan misses free throw 2 of 2,,107-93,,
6:59.0,,,107-93,,Defensive rebound by S. Ibaka
6:48.0,,,107-93,,Turnover by R. Westbrook (bad pass; steal by C. Paul)
6:36.0,C. Paul misses 2-pt shot from 4 ft,,107-93,,
6:35.0,,,107-93,,Defensive rebound by S. Ibaka
6:29.0,,,107-93,,R. Westbrook misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by C. Paul,,107-93,,
6:22.0,,,107-93,,Personal foul by A. Morrow (drawn by C. Paul)
6:22.0,C. Paul misses free throw 1 of 2,,107-93,,
6:22.0,Offensive rebound by Team,,107-93,,
6:22.0,C. Paul makes free throw 2 of 2,1,108-93,,
6:02.0,,,108-93,,D. Augustin misses 2-pt shot from 3 ft (block by M. Barnes)
6:01.0,Defensive rebound by M. Barnes,,108-93,,
5:55.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,110-93,,
5:53.0,,,110-93,,Oklahoma City full timeout
5:35.0,,,110-93,,Shooting foul by M. Barnes (drawn by E. Kanter)
5:35.0,,,110-94,1,E. Kanter makes free throw 1 of 2
5:35.0,,,110-94,,E. Kanter misses free throw 2 of 2
5:34.0,Defensive rebound by D. Jordan,,110-94,,
5:15.0,,,110-94,,Personal foul by D. Augustin (drawn by J. Redick)
5:15.0,J. Redick makes free throw 1 of 2,1,111-94,,
5:15.0,J. Redick makes free throw 2 of 2,1,112-94,,
5:05.0,,,112-94,,Turnover by D. Augustin (lost ball)
4:51.0,Offensive foul by D. Jordan,,112-94,,
4:51.0,Turnover by D. Jordan (offensive foul),,112-94,,
4:51.0,,,112-94,,Technical foul by E. Kanter
4:51.0,Technical foul by J. Redick,,112-94,,
4:38.0,,,112-96,2,S. Ibaka makes 2-pt shot from 7 ft (assist by A. Morrow)
4:15.0,,,112-96,,Personal foul by R. Westbrook (drawn by S. Hawes)
4:15.0,S. Hawes misses free throw 1 of 2,,112-96,,
4:15.0,Offensive rebound by Team,,112-96,,
4:15.0,S. Hawes makes free throw 2 of 2,1,113-96,,
4:04.0,,,113-98,2,S. Ibaka makes 2-pt shot from 12 ft (assist by R. Westbrook)
3:52.0,,,113-98,,Personal take foul by E. Kanter (drawn by D. Jordan)
3:52.0,D. Jordan misses free throw 1 of 2,,113-98,,
3:52.0,Offensive rebound by Team,,113-98,,
3:52.0,D. Jordan makes free throw 2 of 2,1,114-98,,
3:43.0,,,114-98,,Shooting foul by C. Paul (drawn by R. Westbrook)
3:43.0,,,114-99,1,R. Westbrook makes free throw 1 of 2
3:43.0,,,114-100,1,R. Westbrook makes free throw 2 of 2
3:42.0,,,114-100,,Personal take foul by S. Ibaka (drawn by D. Jordan)
3:42.0,D. Jordan makes free throw 1 of 2,1,115-100,,
3:42.0,D. Jordan makes free throw 2 of 2,1,116-100,,
3:31.0,,,116-100,,R. Westbrook misses 3-pt shot from 26 ft
3:30.0,,,116-100,,Offensive rebound by E. Kanter
3:30.0,,,116-100,,E. Kanter misses 2-pt shot from 1 ft
3:29.0,,,116-100,,Offensive rebound by Team
3:28.0,,,116-100,,Turnover by S. Ibaka (traveling)
3:15.0,LA Clippers full timeout,,116-100,,
3:15.0,,,116-100,,M. McGary enters the game for S. Ibaka
3:15.0,,,116-100,,J. Lamb enters the game for E. Kanter
3:15.0,,,116-100,,K. Singler enters the game for R. Westbrook
3:15.0,A. Rivers enters the game for S. Hawes,,116-100,,
3:08.0,Shooting foul by K. Singler (drawn by D. Jordan),,116-100,,
3:08.0,D. Jordan makes free throw 1 of 2,1,117-100,,
3:08.0,D. Jordan misses free throw 2 of 2,,117-100,,
3:07.0,,,117-100,,Defensive rebound by M. McGary
2:44.0,,,117-100,,K. Singler misses 2-pt shot from 8 ft
2:43.0,Defensive rebound by Team,,117-100,,
2:28.0,Turnover by C. Paul (bad pass; steal by A. Morrow),,117-100,,
2:22.0,,,117-102,2,A. Morrow makes 2-pt shot from 17 ft
2:18.0,LA Clippers full timeout,,117-102,,
2:18.0,N. Robinson enters the game for C. Paul,,117-102,,
1:56.0,M. Barnes makes 3-pt shot from 26 ft (assist by N. Robinson),3,120-102,,
1:40.0,,,120-102,,J. Lamb misses 3-pt shot from 25 ft
1:38.0,,,120-102,,Offensive rebound by K. Singler
1:36.0,Personal foul by A. Rivers (drawn by K. Singler),,120-102,,
1:36.0,,,120-103,1,K. Singler makes free throw 1 of 2
1:36.0,C. Wilcox enters the game for M. Barnes,,120-103,,
1:36.0,D. Jones enters the game for D. Jordan,,120-103,,
1:36.0,E. Udoh enters the game for J. Redick,,120-103,,
1:36.0,,,120-104,1,K. Singler makes free throw 2 of 2
1:16.0,Turnover by C. Wilcox (lost ball; steal by A. Morrow),,120-104,,
1:11.0,,,120-106,2,M. McGary makes 2-pt shot at rim (assist by K. Singler)
0:46.0,Turnover by Team (shot clock),,120-106,,
0:35.0,,,120-108,2,M. McGary makes 2-pt shot from 8 ft (assist by D. Augustin)
0:15.0,A. Rivers misses 2-pt shot from 5 ft,,120-108,,
0:14.0,,,120-108,,Defensive rebound by M. McGary
0:06.0,,,120-108,,J. Lamb misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by A. Rivers,,120-108,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
