time,Milwaukee,pts.away,score,pts.home,Atlanta
2:20.0,Z. Pachulia makes free throw 2 of 2,1,102-70,,
2:04.0,,,102-70,,A. Payne misses 2-pt shot from 1 ft
2:02.0,Defensive rebound by N. Wolters,,102-70,,
1:51.0,J. O'Bryant misses 2-pt shot from 15 ft,,102-70,,
1:48.0,,,102-70,,Defensive rebound by K. Bazemore
1:40.0,,,102-72,2,M. Muscala makes 2-pt shot from 16 ft (assist by S. Mack)
1:29.0,,,102-72,,Personal foul by A. Payne (drawn by Z. Pachulia)
1:22.0,Z. Pachulia makes 2-pt shot from 19 ft (assist by N. Wolters),2,104-72,,
1:11.0,Personal foul by K. Marshall (drawn by K. Bazemore),,104-72,,
1:04.0,,,104-74,2,A. Payne makes 2-pt shot from 16 ft (assist by D. Schroder)
0:51.0,J. O'Bryant makes 2-pt shot at rim (assist by Z. Pachulia),2,106-74,,
0:41.0,,,106-77,3,K. Bazemore makes 3-pt shot from 22 ft (assist by M. Muscala)
0:19.0,Shooting foul by D. Schroder (drawn by J. O'Bryant),,106-77,,
0:19.0,J. O'Bryant misses free throw 1 of 2,,106-77,,
0:19.0,Offensive rebound by Team,,106-77,,
0:19.0,J. O'Bryant makes free throw 2 of 2,1,107-77,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
