time,Cleveland,pts.away,score,pts.home,Portland
1:20.0,,,78-97,,C. McCollum enters the game for N. Batum
1:20.0,,,78-97,,W. Barton enters the game for L. Aldridge
1:20.0,,,78-97,,M. Leonard enters the game for R. Lopez
1:20.0,,,78-97,,A. Crabbe enters the game for W. Matthews
1:20.0,,,78-97,,T. Robinson enters the game for D. Lillard
1:10.0,,,78-97,,A. Crabbe misses 2-pt shot from 23 ft
1:09.0,Defensive rebound by J. Harris,,78-97,,
0:55.0,Shooting foul by T. Robinson (drawn by A. Kirk),,78-97,,
0:55.0,A. Kirk makes free throw 1 of 2,1,79-97,,
0:55.0,A. Kirk makes free throw 2 of 2,1,80-97,,
0:39.0,,,80-99,2,A. Crabbe makes 2-pt shot from 16 ft (assist by W. Barton)
0:33.0,Turnover by D. Waiters (lost ball; steal by T. Robinson),,80-99,,
0:30.0,,,80-101,2,T. Robinson makes 2-pt shot at rim
0:14.0,J. Harris makes 2-pt shot from 1 ft,2,82-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
