time,Denver,pts.away,score,pts.home,Boston
5:46.0,Shooting foul by M. Smart (drawn by W. Chandler),,90-92,,
5:46.0,,,90-92,,Boston full timeout
5:46.0,,,90-92,,T. Zeller enters the game for J. Crowder
5:46.0,,,90-92,,B. Bass enters the game for J. Sullinger
5:46.0,W. Chandler makes free throw 1 of 2,1,91-92,,
5:46.0,W. Chandler makes free throw 2 of 2,1,92-92,,
5:32.0,,,92-92,,A. Bradley misses 2-pt shot from 19 ft
5:31.0,Defensive rebound by K. Faried,,92-92,,
5:16.0,D. Gallinari misses 3-pt shot from 23 ft,,92-92,,
5:15.0,,,92-92,,Defensive rebound by E. Turner
5:09.0,,,92-92,,M. Smart misses 2-pt shot at rim (block by K. Faried)
5:06.0,,,92-92,,Offensive rebound by E. Turner
5:02.0,,,92-94,2,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner)
4:41.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,94-94,,
4:27.0,,,94-94,,B. Bass misses 2-pt shot from 16 ft
4:26.0,Defensive rebound by W. Chandler,,94-94,,
4:18.0,D. Gallinari misses 2-pt shot from 19 ft,,94-94,,
4:16.0,,,94-94,,Defensive rebound by E. Turner
4:08.0,,,94-94,,E. Turner misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by D. Gallinari,,94-94,,
4:03.0,Denver full timeout,,94-94,,
3:49.0,T. Lawson misses 2-pt shot from 15 ft,,94-94,,
3:48.0,,,94-94,,Defensive rebound by B. Bass
3:25.0,,,94-94,,A. Bradley misses 2-pt shot from 21 ft (block by W. Chandler)
3:23.0,,,94-94,,Offensive rebound by A. Bradley
3:21.0,,,94-94,,A. Bradley misses 2-pt shot from 1 ft
3:19.0,,,94-94,,Offensive rebound by M. Smart
3:18.0,,,94-94,,M. Smart misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by W. Chandler,,94-94,,
2:58.0,K. Faried makes 2-pt shot from 3 ft (assist by T. Lawson),2,96-94,,
2:36.0,,,96-96,2,B. Bass makes 2-pt shot from 17 ft
2:12.0,Turnover by T. Lawson (lost ball; steal by A. Bradley),,96-96,,
2:08.0,,,96-98,2,E. Turner makes 2-pt shot at rim
1:45.0,A. Afflalo makes 2-pt shot from 7 ft,2,98-98,,
1:27.0,,,98-98,,Boston full timeout
1:27.0,,,98-98,,J. Sullinger enters the game for T. Zeller
1:27.0,A. Gee enters the game for D. Gallinari,,98-98,,
1:25.0,,,98-100,2,A. Bradley makes 2-pt shot from 19 ft (assist by M. Smart)
1:22.0,Denver full timeout,,98-100,,
1:22.0,,,98-100,,J. Crowder enters the game for E. Turner
1:22.0,D. Gallinari enters the game for A. Gee,,98-100,,
1:10.0,A. Afflalo misses 2-pt shot from 9 ft,,98-100,,
1:09.0,Offensive rebound by K. Faried,,98-100,,
0:59.0,A. Afflalo misses 2-pt shot from 10 ft,,98-100,,
0:58.0,,,98-100,,Defensive rebound by M. Smart
0:42.0,,,98-100,,A. Bradley misses 2-pt shot from 22 ft
0:41.0,Defensive rebound by Team,,98-100,,
0:41.0,,,98-100,,Loose ball foul by J. Sullinger (drawn by D. Gallinari)
0:41.0,D. Gallinari makes free throw 1 of 2,1,99-100,,
0:41.0,D. Gallinari makes free throw 2 of 2,1,100-100,,
0:41.0,,,100-100,,Boston full timeout
0:41.0,,,100-100,,E. Turner enters the game for J. Crowder
0:41.0,A. Gee enters the game for D. Gallinari,,100-100,,
0:31.0,Personal foul by A. Gee (drawn by E. Turner),,100-100,,
0:23.0,Personal block foul by K. Faried (drawn by J. Sullinger),,100-100,,
0:23.0,,,100-101,1,J. Sullinger makes free throw 1 of 2
0:23.0,D. Arthur enters the game for A. Gee,,100-101,,
0:23.0,,,100-102,1,J. Sullinger makes free throw 2 of 2
0:23.0,Denver full timeout,,100-102,,
0:23.0,,,100-102,,J. Crowder enters the game for J. Sullinger
0:23.0,D. Gallinari enters the game for D. Arthur,,100-102,,
0:21.0,Turnover by W. Chandler (bad pass; steal by J. Crowder),,100-102,,
0:18.0,Personal take foul by A. Afflalo (drawn by A. Bradley),,100-102,,
0:18.0,,,100-103,1,A. Bradley makes free throw 1 of 2
0:18.0,D. Arthur enters the game for W. Chandler,,100-103,,
0:18.0,,,100-104,1,A. Bradley makes free throw 2 of 2
0:18.0,Denver full timeout,,100-104,,
0:17.0,Turnover by D. Gallinari (lost ball),,100-104,,
0:15.0,Personal take foul by A. Afflalo (drawn by M. Smart),,100-104,,
0:15.0,,,100-104,,M. Smart misses free throw 1 of 2
0:15.0,,,100-104,,Offensive rebound by Team
0:15.0,,,100-104,,M. Smart misses free throw 2 of 2
0:12.0,Defensive rebound by K. Faried,,100-104,,
0:08.0,T. Lawson misses 3-pt shot from 25 ft,,100-104,,
0:06.0,Offensive rebound by D. Arthur,,100-104,,
0:03.0,A. Afflalo misses 3-pt shot from 22 ft,,100-104,,
0:02.0,,,100-104,,Defensive rebound by M. Smart
0:00.0,End of 4th quarter,,,,End of 4th quarter
