time,Chicago,pts.away,score,pts.home,Charlotte
1:07.0,,,98-91,,Defensive rebound by A. Jefferson
1:02.0,,,98-91,,L. Stephenson misses 3-pt shot from 26 ft
1:00.0,,,98-91,,Offensive rebound by L. Stephenson
1:00.0,,,98-93,2,L. Stephenson makes 2-pt shot at rim
0:40.0,J. Butler misses 3-pt shot from 26 ft,,98-93,,
0:39.0,,,98-93,,Defensive rebound by L. Stephenson
0:30.0,,,98-93,,L. Stephenson misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by J. Noah,,98-93,,
0:24.0,,,98-93,,Personal foul by A. Jefferson (drawn by J. Noah)
0:24.0,,,98-93,,Personal take foul by K. Walker (drawn by D. Rose)
0:24.0,D. Rose makes free throw 1 of 2,1,99-93,,
0:24.0,D. Rose makes free throw 2 of 2,1,100-93,,
0:24.0,,,100-93,,Charlotte full timeout
0:24.0,,,100-93,,P. Hairston enters the game for G. Henderson
0:17.0,,,100-95,2,C. Zeller makes 2-pt shot from 18 ft (assist by K. Walker)
0:13.0,,,100-95,,Personal foul by P. Hairston (drawn by P. Gasol)
0:13.0,P. Gasol makes free throw 1 of 2,1,101-95,,
0:13.0,P. Gasol makes free throw 2 of 2,1,102-95,,
0:03.0,,,102-95,,L. Stephenson misses 2-pt shot from 21 ft
0:02.0,Defensive rebound by P. Gasol,,102-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
