time,Toronto,pts.away,score,pts.home,Dallas
3:42.0,P. Patterson enters the game for J. Johnson,,51-40,,
3:31.0,,,51-40,,D. Nowitzki misses 2-pt shot from 5 ft
3:30.0,Defensive rebound by J. Valanciunas,,51-40,,
3:15.0,K. Lowry misses 3-pt shot from 25 ft,,51-40,,
3:15.0,,,51-40,,Defensive rebound by D. Nowitzki
3:15.0,Loose ball foul by J. Valanciunas (drawn by D. Nowitzki),,51-40,,
3:15.0,L. Williams enters the game for T. Ross,,51-40,,
2:59.0,,,51-42,2,M. Ellis makes 2-pt shot from 2 ft
2:40.0,P. Patterson misses 3-pt shot from 22 ft,,51-42,,
2:40.0,,,51-42,,Defensive rebound by R. Rondo
2:25.0,,,51-44,2,R. Rondo makes 2-pt shot from 5 ft
2:18.0,L. Williams makes 2-pt shot from 2 ft (assist by D. DeRozan),2,53-44,,
1:57.0,,,53-47,3,D. Harris makes 3-pt shot from 24 ft (assist by R. Rondo)
1:39.0,D. DeRozan misses 3-pt shot from 22 ft,,53-47,,
1:38.0,,,53-47,,Defensive rebound by D. Nowitzki
1:33.0,,,53-49,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
1:12.0,K. Lowry misses 2-pt shot from 8 ft (block by T. Chandler),,53-49,,
1:12.0,,,53-49,,Defensive rebound by T. Chandler
1:12.0,Personal take foul by D. DeRozan (drawn by D. Harris),,53-49,,
1:12.0,Official timeout,,53-49,,
1:02.0,,,53-49,,R. Rondo misses 2-pt shot from 3 ft
1:01.0,Defensive rebound by J. Valanciunas,,53-49,,
0:45.0,L. Williams misses 3-pt shot from 22 ft,,53-49,,
0:44.0,,,53-49,,Defensive rebound by R. Rondo
0:36.0,,,53-49,,M. Ellis misses 2-pt shot from 19 ft
0:35.0,Defensive rebound by J. Valanciunas,,53-49,,
0:24.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,55-49,,
0:02.0,,,55-49,,T. Chandler misses 2-pt shot from 4 ft
0:01.0,Defensive rebound by L. Williams,,55-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by A. Johnson (bad pass; steal by T. Chandler),,55-49,,
11:25.0,,,55-49,,D. Nowitzki misses 2-pt shot from 10 ft
11:24.0,Defensive rebound by J. Valanciunas,,55-49,,
11:07.0,J. Johnson misses 2-pt shot from 2 ft,,55-49,,
11:06.0,,,55-49,,Defensive rebound by D. Nowitzki
10:52.0,,,55-49,,Turnover by R. Rondo (lost ball; steal by J. Johnson)
10:48.0,,,55-49,,Personal foul by R. Rondo (drawn by D. DeRozan)
10:36.0,J. Valanciunas makes 2-pt shot at rim,2,57-49,,
