time,Portland,pts.away,score,pts.home,Indiana
2:40.0,L. Aldridge misses 2-pt shot from 16 ft,,90-78,,
2:39.0,,,90-78,,Defensive rebound by R. Hibbert
2:39.0,Personal foul by R. Lopez (drawn by R. Hibbert),,90-78,,
2:39.0,,,90-79,1,R. Hibbert makes free throw 1 of 2
2:39.0,,,90-80,1,R. Hibbert makes free throw 2 of 2
2:23.0,D. Lillard misses 2-pt shot from 5 ft,,90-80,,
2:22.0,,,90-80,,Defensive rebound by R. Stuckey
2:08.0,,,90-80,,D. West misses 2-pt shot from 19 ft
2:07.0,Defensive rebound by W. Matthews,,90-80,,
1:51.0,,,90-80,,Personal foul by C. Watson (drawn by D. Lillard)
1:51.0,D. Lillard makes free throw 1 of 2,1,91-80,,
1:51.0,D. Lillard makes free throw 2 of 2,1,92-80,,
1:51.0,,,92-80,,Indiana full timeout
1:31.0,,,92-80,,R. Stuckey misses 2-pt shot from 20 ft
1:29.0,,,92-80,,Offensive rebound by R. Stuckey
1:23.0,,,92-80,,D. West misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by L. Aldridge,,92-80,,
0:58.0,N. Batum makes 3-pt shot from 25 ft (assist by R. Lopez),3,95-80,,
0:44.0,,,95-82,2,D. West makes 2-pt shot from 13 ft (assist by C. Watson)
0:36.0,N. Batum misses 3-pt shot from 25 ft,,95-82,,
0:34.0,Offensive rebound by R. Lopez,,95-82,,
0:12.0,D. Lillard misses 2-pt shot from 12 ft,,95-82,,
0:11.0,,,95-82,,Defensive rebound by R. Hibbert
0:08.0,,,95-84,2,R. Stuckey makes 2-pt shot from 2 ft (assist by R. Hibbert)
0:08.0,,,95-84,,Shooting foul by N. Batum (drawn by R. Stuckey)
0:08.0,,,95-85,1,R. Stuckey makes free throw 1 of 1
0:00.0,End of 4th quarter,,,,End of 4th quarter
