time,Denver,pts.away,score,pts.home,Washington
5:22.0,J. McGee misses 2-pt shot from 15 ft,,79-110,,
5:21.0,,,79-110,,Defensive rebound by N. Hilario
5:03.0,,,79-112,2,R. Butler makes 2-pt shot from 13 ft
4:45.0,E. Green makes 2-pt shot from 7 ft,2,81-112,,
4:19.0,,,81-112,,Turnover by Team (shot clock)
4:19.0,,,81-112,,D. Blair enters the game for N. Hilario
4:19.0,,,81-112,,G. Temple enters the game for A. Miller
4:02.0,Turnover by E. Green (bad pass),,81-112,,
3:47.0,,,81-115,3,R. Butler makes 3-pt shot from 26 ft (assist by G. Temple)
3:23.0,J. Hickson makes 2-pt shot at rim (assist by E. Green),2,83-115,,
3:18.0,,,83-115,,Turnover by G. Temple (bad pass; steal by G. Harris)
3:14.0,Shooting foul by K. Seraphin (drawn by J. Hickson),,83-115,,
3:14.0,J. Hickson makes free throw 1 of 2,1,84-115,,
3:14.0,J. Hickson misses free throw 2 of 2,,84-115,,
3:12.0,,,84-115,,Defensive rebound by O. Porter
2:55.0,,,84-117,2,K. Seraphin makes 2-pt shot from 15 ft (assist by G. Temple)
2:42.0,Shooting foul by G. Temple (drawn by A. Gee),,84-117,,
2:42.0,,,84-117,,Washington full timeout
2:42.0,A. Gee makes free throw 1 of 2,1,85-117,,
2:42.0,A. Gee misses free throw 2 of 2,,85-117,,
2:41.0,Offensive rebound by Team,,85-117,,
2:36.0,G. Harris misses 3-pt shot from 27 ft,,85-117,,
2:34.0,,,85-117,,Defensive rebound by G. Temple
2:34.0,Personal foul by J. McGee (drawn by G. Temple),,85-117,,
2:15.0,,,85-117,,K. Seraphin misses 2-pt shot from 10 ft
2:14.0,Defensive rebound by Team,,85-117,,
2:14.0,,,85-117,,Loose ball foul by K. Seraphin (drawn by J. McGee)
2:14.0,J. McGee misses free throw 1 of 2,,85-117,,
2:14.0,Offensive rebound by Team,,85-117,,
2:14.0,J. McGee misses free throw 2 of 2,,85-117,,
2:12.0,,,85-117,,Defensive rebound by D. Blair
1:55.0,,,85-117,,R. Butler misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by J. Hickson,,85-117,,
1:39.0,J. Hickson makes 2-pt shot from 3 ft (assist by A. Gee),2,87-117,,
1:25.0,,,87-117,,Turnover by K. Seraphin (traveling)
1:11.0,J. Hickson misses 2-pt shot from 20 ft,,87-117,,
1:10.0,,,87-117,,Defensive rebound by R. Butler
1:02.0,,,87-119,2,D. Blair makes 2-pt shot at rim (assist by G. Temple)
0:42.0,A. Gee misses 2-pt shot at rim,,87-119,,
0:41.0,Offensive rebound by J. Hickson,,87-119,,
0:41.0,J. Hickson misses 2-pt shot from 2 ft,,87-119,,
0:41.0,Offensive rebound by A. Gee,,87-119,,
0:40.0,A. Gee makes 2-pt shot from 1 ft,2,89-119,,
0:32.0,,,89-119,,G. Temple misses 2-pt shot from 18 ft
0:31.0,,,89-119,,Offensive rebound by K. Seraphin
0:27.0,,,89-119,,D. Blair misses 2-pt shot from 3 ft
0:26.0,Defensive rebound by J. McGee,,89-119,,
0:24.0,Turnover by J. McGee (bad pass; steal by G. Temple),,89-119,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
