time,Orlando,pts.away,score,pts.home,Phoenix
1:02.0,Personal foul by N. Vucevic (drawn by M. Morris),,83-78,,
1:02.0,,,83-79,1,M. Morris makes free throw 1 of 2
1:02.0,,,83-80,1,M. Morris makes free throw 2 of 2
1:02.0,Orlando full timeout,,83-80,,
0:43.0,N. Vucevic makes 2-pt shot from 5 ft,2,85-80,,
0:42.0,,,85-80,,Phoenix full timeout
0:42.0,,,85-80,,Technical foul by Team
0:42.0,T. Harris makes technical free throw,1,86-80,,
0:40.0,,,86-82,2,M. Morris makes 2-pt shot at rim (assist by P. Tucker)
0:40.0,Orlando full timeout,,86-82,,
0:39.0,,,86-82,,Personal take foul by P. Tucker (drawn by N. Vucevic)
0:39.0,N. Vucevic makes free throw 1 of 2,1,87-82,,
0:39.0,N. Vucevic misses free throw 2 of 2,,87-82,,
0:38.0,,,87-82,,Defensive rebound by G. Dragic
0:37.0,,,87-82,,Phoenix full timeout
0:32.0,,,87-82,,M. Morris misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by T. Harris,,87-82,,
0:24.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,89-82,,
0:17.0,,,89-85,3,G. Dragic makes 3-pt shot from 24 ft (assist by G. Green)
0:15.0,,,89-85,,Personal take foul by E. Bledsoe (drawn by E. Fournier)
0:15.0,E. Fournier makes free throw 1 of 2,1,90-85,,
0:15.0,E. Fournier misses free throw 2 of 2,,90-85,,
0:15.0,,,90-85,,Defensive rebound by E. Bledsoe
0:10.0,,,90-87,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
0:07.0,,,90-87,,Personal take foul by M. Morris (drawn by N. Vucevic)
0:07.0,N. Vucevic misses free throw 1 of 2,,90-87,,
0:07.0,Offensive rebound by Team,,90-87,,
0:07.0,N. Vucevic makes free throw 2 of 2,1,91-87,,
0:07.0,,,91-87,,Phoenix full timeout
0:03.0,,,91-90,3,G. Green makes 3-pt shot from 25 ft (assist by E. Bledsoe)
0:02.0,,,91-90,,Personal take foul by E. Bledsoe (drawn by E. Fournier)
0:02.0,E. Fournier makes free throw 1 of 2,1,92-90,,
0:02.0,E. Fournier makes free throw 2 of 2,1,93-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
