time,Boston,pts.away,score,pts.home,Dallas
5:07.0,,,97-105,,J. Nelson misses 2-pt shot from 17 ft (block by M. Smart)
5:07.0,,,97-105,,Offensive rebound by Team
5:07.0,,,97-105,,Turnover by Team (shot clock)
4:57.0,M. Smart misses 3-pt shot from 25 ft,,97-105,,
4:56.0,Offensive rebound by K. Olynyk,,97-105,,
4:56.0,,,97-105,,Loose ball foul by R. Jefferson (drawn by K. Olynyk)
4:56.0,J. Sullinger enters the game for K. Olynyk,,97-105,,
4:47.0,J. Green makes 2-pt shot from 6 ft (assist by R. Rondo),2,99-105,,
4:46.0,,,99-105,,Dallas full timeout
4:46.0,,,99-105,,D. Harris enters the game for J. Nelson
4:46.0,,,99-105,,D. Nowitzki enters the game for R. Jefferson
4:29.0,,,99-105,,D. Nowitzki misses 2-pt shot from 20 ft
4:28.0,,,99-105,,Offensive rebound by T. Chandler
4:24.0,,,99-105,,Turnover by T. Chandler (bad pass; steal by A. Bradley)
4:20.0,A. Bradley misses 2-pt shot from 2 ft (block by M. Ellis),,99-105,,
4:16.0,Offensive rebound by M. Smart,,99-105,,
4:15.0,J. Sullinger makes 2-pt shot from 2 ft (assist by M. Smart),2,101-105,,
3:52.0,Shooting block foul by M. Smart (drawn by D. Nowitzki),,101-105,,
3:52.0,,,101-106,1,D. Nowitzki makes free throw 1 of 2
3:52.0,,,101-107,1,D. Nowitzki makes free throw 2 of 2
3:37.0,M. Smart makes 3-pt shot from 22 ft,3,104-107,,
3:18.0,,,104-109,2,D. Nowitzki makes 2-pt shot from 11 ft
2:57.0,R. Rondo misses 2-pt shot from 10 ft (block by T. Chandler),,104-109,,
2:55.0,,,104-109,,Defensive rebound by D. Nowitzki
2:43.0,,,104-112,3,C. Parsons makes 3-pt shot from 22 ft (assist by M. Ellis)
2:27.0,Turnover by R. Rondo (lost ball; steal by D. Harris),,104-112,,
2:21.0,,,104-114,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Ellis)
2:21.0,Boston full timeout,,104-114,,
2:21.0,,,104-114,,R. Jefferson enters the game for D. Nowitzki
2:09.0,M. Smart misses 3-pt shot from 25 ft,,104-114,,
2:08.0,,,104-114,,Defensive rebound by D. Harris
1:53.0,,,104-114,,Offensive foul by T. Chandler
1:53.0,,,104-114,,Turnover by T. Chandler (offensive foul)
1:53.0,K. Olynyk enters the game for M. Smart,,104-114,,
1:47.0,A. Bradley makes 2-pt shot from 8 ft (assist by R. Rondo),2,106-114,,
1:37.0,,,106-114,,Dallas full timeout
1:37.0,,,106-114,,D. Nowitzki enters the game for R. Jefferson
1:37.0,M. Smart enters the game for K. Olynyk,,106-114,,
1:29.0,,,106-114,,M. Ellis misses 2-pt shot from 4 ft (block by J. Sullinger)
1:26.0,Defensive rebound by M. Smart,,106-114,,
1:23.0,J. Green makes 3-pt shot from 25 ft (assist by M. Smart),3,109-114,,
1:14.0,,,109-114,,Turnover by D. Harris (lost ball; steal by A. Bradley)
1:11.0,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart),2,111-114,,
1:11.0,,,111-114,,Dallas full timeout
0:54.0,,,111-114,,D. Nowitzki misses 2-pt shot from 11 ft
0:53.0,Defensive rebound by A. Bradley,,111-114,,
0:40.0,Shooting foul by M. Ellis (drawn by A. Bradley),,111-114,,
0:40.0,A. Bradley makes free throw 1 of 3,1,112-114,,
0:40.0,A. Bradley misses free throw 2 of 3,,112-114,,
0:40.0,Offensive rebound by Team,,112-114,,
0:40.0,A. Bradley makes free throw 3 of 3,1,113-114,,
0:28.0,,,113-116,2,M. Ellis makes 2-pt shot from 6 ft (assist by D. Nowitzki)
0:21.0,J. Green misses 3-pt shot from 24 ft,,113-116,,
0:20.0,,,113-116,,Defensive rebound by C. Parsons
0:16.0,,,113-116,,R. Jefferson enters the game for D. Nowitzki
0:16.0,Jump ball: C. Parsons vs. J. Sullinger (M. Ellis gains possession),,,,Jump ball: C. Parsons vs. J. Sullinger (M. Ellis gains possession)
0:09.0,,,113-116,,Shooting foul by R. Rondo (drawn by M. Ellis)
0:09.0,,,113-117,1,M. Ellis makes free throw 1 of 2
0:09.0,,,113-117,,B. Wright enters the game for T. Chandler
0:09.0,,,113-118,1,M. Ellis makes free throw 2 of 2
0:09.0,Boston full timeout,,113-118,,
0:09.0,M. Thornton enters the game for M. Smart,,113-118,,
0:06.0,J. Green misses 3-pt shot from 26 ft,,113-118,,
0:05.0,Offensive rebound by R. Rondo,,113-118,,
0:02.0,Turnover by R. Rondo (bad pass),,113-118,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
