time,Toronto,pts.away,score,pts.home,LA Clippers
2:54.0,J. Valanciunas makes free throw 2 of 2,1,106-91,,
2:40.0,,,106-93,2,B. Griffin makes 2-pt shot at rim (assist by J. Redick)
2:19.0,K. Lowry makes 2-pt shot from 2 ft,2,108-93,,
2:01.0,,,108-93,,B. Griffin misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by J. Valanciunas,,108-93,,
1:43.0,T. Ross makes 2-pt shot from 16 ft (assist by A. Johnson),2,110-93,,
1:42.0,,,110-93,,LA Clippers full timeout
1:42.0,,,110-93,,J. Farmar enters the game for B. Griffin
1:42.0,,,110-93,,R. Bullock enters the game for D. Jordan
1:42.0,,,110-93,,J. Cunningham enters the game for J. Redick
1:42.0,,,110-93,,C. Douglas-Roberts enters the game for C. Paul
1:42.0,,,110-93,,E. Udoh enters the game for J. Crawford
1:29.0,,,110-95,2,J. Cunningham makes 2-pt shot from 4 ft (assist by J. Farmar)
1:11.0,T. Ross misses 3-pt shot from 23 ft,,110-95,,
1:10.0,,,110-95,,Defensive rebound by J. Farmar
0:59.0,,,110-95,,J. Cunningham misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by A. Johnson,,110-95,,
0:36.0,K. Lowry misses 3-pt shot from 26 ft,,110-95,,
0:35.0,,,110-95,,Defensive rebound by R. Bullock
0:18.0,,,110-98,3,J. Cunningham makes 3-pt shot from 27 ft (assist by E. Udoh)
0:00.0,End of 4th quarter,,,,End of 4th quarter
