time,Houston,pts.away,score,pts.home,Toronto
6:09.0,,,85-87,1,D. DeRozan makes free throw 2 of 2
5:52.0,Turnover by T. Ariza (bad pass; steal by G. Vasquez),,85-87,,
5:34.0,,,85-87,,Turnover by D. DeRozan (lost ball; steal by J. Smith)
5:30.0,Shooting foul by P. Patterson (drawn by J. Harden),,85-87,,
5:30.0,J. Harden misses free throw 1 of 2,,85-87,,
5:30.0,Offensive rebound by Team,,85-87,,
5:30.0,C. Brewer enters the game for N. Johnson,,85-87,,
5:30.0,J. Harden makes free throw 2 of 2,1,86-87,,
5:16.0,,,86-87,,D. DeRozan misses 2-pt shot from 17 ft
5:15.0,,,86-87,,Offensive rebound by A. Johnson
5:10.0,,,86-89,2,A. Johnson makes 2-pt shot from 2 ft (assist by L. Williams)
4:58.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,89-89,,
4:35.0,,,89-89,,G. Vasquez misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by T. Ariza,,89-89,,
4:21.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,91-89,,
4:16.0,,,91-89,,Toronto full timeout
4:16.0,,,91-89,,T. Ross enters the game for G. Vasquez
4:06.0,Violation by C. Brewer (kicked ball),,91-89,,
3:58.0,,,91-89,,D. DeRozan misses 2-pt shot from 4 ft
3:57.0,Defensive rebound by C. Brewer,,91-89,,
3:55.0,Turnover by C. Brewer (bad pass; steal by P. Patterson),,91-89,,
3:48.0,,,91-92,3,D. DeRozan makes 3-pt shot from 23 ft (assist by L. Williams)
3:28.0,T. Ariza misses 3-pt shot from 26 ft,,91-92,,
3:27.0,,,91-92,,Defensive rebound by T. Ross
3:08.0,,,91-92,,L. Williams misses 3-pt shot from 26 ft
3:07.0,,,91-92,,Offensive rebound by A. Johnson
3:04.0,,,91-92,,A. Johnson misses 2-pt shot from 1 ft (block by T. Ariza)
3:03.0,,,91-92,,Offensive rebound by A. Johnson
3:00.0,,,91-92,,A. Johnson misses 2-pt shot at rim
2:59.0,Defensive rebound by T. Ariza,,91-92,,
2:55.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,93-92,,
2:36.0,,,93-92,,Shooting foul by J. Terry (drawn by D. DeRozan)
2:36.0,,,93-92,,D. DeRozan misses free throw 1 of 2
2:36.0,,,93-92,,Offensive rebound by Team
2:36.0,,,93-93,1,D. DeRozan makes free throw 2 of 2
2:12.0,J. Harden misses 3-pt shot from 25 ft,,93-93,,
2:11.0,,,93-93,,Defensive rebound by P. Patterson
1:56.0,,,93-93,,D. DeRozan misses 2-pt shot from 3 ft
1:55.0,,,93-93,,Offensive rebound by A. Johnson
1:54.0,,,93-95,2,A. Johnson makes 2-pt shot from 2 ft
1:54.0,Houston full timeout,,93-95,,
1:44.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,96-95,,
1:27.0,,,96-97,2,D. DeRozan makes 2-pt shot from 2 ft (assist by L. Williams)
1:07.0,T. Ariza misses 2-pt shot from 4 ft,,96-97,,
1:07.0,,,96-97,,Defensive rebound by D. DeRozan
0:45.0,,,96-97,,Shooting foul by J. Harden (drawn by D. DeRozan)
0:45.0,,,96-97,,D. DeRozan misses free throw 1 of 2
0:45.0,,,96-97,,Offensive rebound by Team
0:45.0,J. Dorsey enters the game for J. Terry,,96-97,,
0:45.0,,,96-97,,D. DeRozan misses free throw 2 of 2
0:45.0,,,96-97,,Offensive rebound by A. Johnson
0:42.0,Jump ball: J. Harden vs. A. Johnson (T. Ross gains possession),,,,Jump ball: J. Harden vs. A. Johnson (T. Ross gains possession)
0:37.0,,,96-97,,Toronto full timeout
0:37.0,J. Terry enters the game for J. Dorsey,,96-97,,
0:37.0,,,96-97,,Toronto full timeout
0:37.0,,,96-97,,G. Vasquez enters the game for T. Ross
0:19.0,,,96-99,2,D. DeRozan makes 2-pt shot from 17 ft
0:18.0,Houston full timeout,,96-99,,
0:18.0,,,96-99,,J. Johnson enters the game for G. Vasquez
0:18.0,,,96-99,,T. Ross enters the game for P. Patterson
0:04.0,T. Ariza misses 3-pt shot from 27 ft,,96-99,,
0:03.0,Offensive rebound by J. Smith,,96-99,,
0:00.0,T. Ariza misses 3-pt shot from 25 ft,,96-99,,
0:00.0,Offensive rebound by Team,,96-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
