time,Golden State,pts.away,score,pts.home,Philadelphia
3:01.0,,,83-75,,Personal foul by R. Covington (drawn by K. Thompson)
3:01.0,,,83-75,,H. Thompson enters the game for J. Sampson
2:52.0,K. Thompson misses 2-pt shot from 1 ft,,83-75,,
2:50.0,,,83-75,,Defensive rebound by N. Noel
2:38.0,,,83-75,,H. Thompson misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by A. Bogut,,83-75,,
2:29.0,S. Curry makes 2-pt shot from 1 ft,2,85-75,,
2:28.0,,,85-75,,Philadelphia full timeout
2:17.0,,,85-75,,H. Thompson misses 2-pt shot from 3 ft
2:15.0,Defensive rebound by Team,,85-75,,
1:53.0,K. Thompson misses 2-pt shot from 14 ft,,85-75,,
1:52.0,,,85-75,,Defensive rebound by T. Frazier
1:37.0,,,85-75,,Shooting foul by A. Iguodala (drawn by T. Frazier)
1:37.0,,,85-75,,T. Frazier misses free throw 1 of 2
1:37.0,,,85-75,,Offensive rebound by Team
1:37.0,,,85-75,,J. Grant enters the game for N. Noel
1:37.0,,,85-76,1,T. Frazier makes free throw 2 of 2
1:16.0,A. Iguodala misses 2-pt shot from 1 ft,,85-76,,
1:15.0,,,85-76,,Defensive rebound by L. Mbah a Moute
1:07.0,,,85-79,3,R. Covington makes 3-pt shot from 24 ft (assist by T. Frazier)
0:48.0,S. Curry misses 2-pt shot from 18 ft,,85-79,,
0:46.0,Offensive rebound by H. Barnes,,85-79,,
0:43.0,L. Barbosa enters the game for A. Bogut,,85-79,,
0:37.0,,,85-79,,Personal foul by H. Thompson (drawn by K. Thompson)
0:26.0,,,85-79,,Personal foul by J. Grant (drawn by S. Curry)
0:26.0,S. Curry makes free throw 1 of 2,1,86-79,,
0:26.0,S. Curry makes free throw 2 of 2,1,87-79,,
0:21.0,,,87-82,3,T. Frazier makes 3-pt shot from 26 ft
0:19.0,,,87-82,,Personal foul by T. Frazier (drawn by S. Curry)
0:19.0,S. Curry misses free throw 1 of 2,,87-82,,
0:19.0,Offensive rebound by Team,,87-82,,
0:19.0,S. Curry makes free throw 2 of 2,1,88-82,,
0:19.0,,,88-82,,Philadelphia full timeout
0:10.0,,,88-84,2,R. Covington makes 2-pt shot from 1 ft (assist by H. Thompson)
0:08.0,,,88-84,,Personal foul by H. Thompson (drawn by L. Barbosa)
0:08.0,,,88-84,,K. McDaniels enters the game for H. Thompson
0:08.0,L. Barbosa misses free throw 1 of 2,,88-84,,
0:08.0,Offensive rebound by Team,,88-84,,
0:08.0,L. Barbosa makes free throw 2 of 2,1,89-84,,
0:02.0,,,89-84,,R. Covington misses 3-pt shot from 27 ft
0:00.0,Defensive rebound by L. Barbosa,,89-84,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
