time,Golden State,pts.away,score,pts.home,Atlanta
4:55.0,A. Iguodala misses 2-pt shot from 14 ft,,99-104,,
4:53.0,,,99-104,,Defensive rebound by P. Millsap
4:49.0,,,99-106,2,J. Teague makes 2-pt shot from 1 ft (assist by P. Millsap)
4:35.0,S. Curry makes 2-pt shot from 1 ft,2,101-106,,
4:15.0,,,101-109,3,M. Scott makes 3-pt shot from 25 ft (assist by J. Teague)
4:05.0,,,101-109,,Violation by P. Millsap (kicked ball)
4:05.0,,,101-109,,K. Korver enters the game for K. Bazemore
4:00.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,103-109,,
3:39.0,,,103-112,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
3:27.0,H. Barnes misses 3-pt shot from 25 ft,,103-112,,
3:25.0,,,103-112,,Defensive rebound by P. Millsap
3:15.0,,,103-112,,Shooting foul by D. Green (drawn by J. Teague)
3:15.0,,,103-113,1,J. Teague makes free throw 1 of 2
3:15.0,,,103-113,,A. Horford enters the game for M. Scott
3:15.0,Golden State full timeout,,103-113,,
3:15.0,,,103-114,1,J. Teague makes free throw 2 of 2
3:03.0,H. Barnes misses 2-pt shot at rim,,103-114,,
3:01.0,Offensive rebound by D. Green,,103-114,,
3:01.0,D. Green misses 2-pt shot from 1 ft,,103-114,,
3:00.0,Offensive rebound by D. Green,,103-114,,
3:00.0,D. Green misses 2-pt shot from 1 ft,,103-114,,
3:00.0,Offensive rebound by Team,,103-114,,
2:58.0,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry),3,106-114,,
2:39.0,,,106-114,,A. Horford misses 2-pt shot from 20 ft
2:38.0,Defensive rebound by Team,,106-114,,
2:38.0,,,106-114,,Loose ball foul by D. Carroll (drawn by H. Barnes)
2:24.0,K. Thompson makes 2-pt shot from 3 ft (assist by D. Green),2,108-114,,
2:24.0,Shooting foul by P. Millsap (drawn by K. Thompson),,108-114,,
2:24.0,K. Thompson misses free throw 1 of 1,,108-114,,
2:21.0,,,108-114,,Defensive rebound by K. Korver
2:04.0,,,108-114,,A. Horford misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by K. Thompson,,108-114,,
1:46.0,H. Barnes misses 3-pt shot from 23 ft,,108-114,,
1:44.0,,,108-114,,Defensive rebound by A. Horford
1:30.0,,,108-116,2,D. Carroll makes 2-pt shot at rim (assist by P. Millsap)
1:30.0,Golden State full timeout,,108-116,,
1:20.0,Turnover by K. Thompson (bad pass; steal by J. Teague),,108-116,,
1:16.0,,,108-116,,Shooting foul by D. Green (drawn by J. Teague)
1:16.0,,,108-117,1,J. Teague makes free throw 1 of 2
1:16.0,,,108-118,1,J. Teague makes free throw 2 of 2
1:10.0,A. Iguodala makes 2-pt shot from 10 ft,2,110-118,,
1:10.0,,,110-118,,Atlanta full timeout
0:55.0,,,110-118,,Turnover by P. Millsap (lost ball; steal by S. Curry)
0:50.0,S. Curry makes 2-pt shot from 1 ft,2,112-118,,
0:46.0,Personal foul by H. Barnes (drawn by J. Teague),,112-118,,
0:46.0,,,112-119,1,J. Teague makes free throw 1 of 2
0:46.0,,,112-120,1,J. Teague makes free throw 2 of 2
0:35.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,114-120,,
0:30.0,,,114-120,,Atlanta full timeout
0:30.0,J. McAdoo enters the game for D. Green,,114-120,,
0:30.0,,,114-120,,Atlanta full timeout
0:30.0,Personal take foul by K. Thompson (drawn by J. Teague),,114-120,,
0:30.0,,,114-121,1,J. Teague makes free throw 1 of 2
0:30.0,D. Green enters the game for J. McAdoo,,114-121,,
0:30.0,,,114-122,1,J. Teague makes free throw 2 of 2
0:30.0,Golden State full timeout,,114-122,,
0:25.0,A. Iguodala misses 3-pt shot from 25 ft,,114-122,,
0:23.0,Offensive rebound by D. Green,,114-122,,
0:20.0,K. Thompson misses 3-pt shot from 24 ft,,114-122,,
0:19.0,Offensive rebound by A. Iguodala,,114-122,,
0:16.0,A. Iguodala misses 3-pt shot from 25 ft,,114-122,,
0:14.0,Offensive rebound by H. Barnes,,114-122,,
0:14.0,H. Barnes makes 2-pt shot from 1 ft,2,116-122,,
0:12.0,Personal foul by H. Barnes (drawn by P. Millsap),,116-122,,
0:12.0,,,116-123,1,P. Millsap makes free throw 1 of 2
0:12.0,,,116-124,1,P. Millsap makes free throw 2 of 2
0:07.0,Turnover by S. Curry (lost ball; steal by J. Teague),,116-124,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
