time,New York,pts.away,score,pts.home,Detroit
4:19.0,,,84-91,,Defensive rebound by G. Monroe
4:01.0,,,84-91,,Turnover by J. Meeks (lost ball; steal by A. Bargnani)
3:57.0,L. Galloway makes 2-pt shot from 1 ft (assist by T. Hardaway),2,86-91,,
3:40.0,,,86-93,2,G. Monroe makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope)
3:23.0,A. Bargnani makes 2-pt shot from 12 ft,2,88-93,,
3:23.0,Shooting foul by G. Monroe (drawn by A. Bargnani),,88-93,,
3:23.0,A. Bargnani misses free throw 1 of 1,,88-93,,
3:21.0,,,88-93,,Defensive rebound by A. Drummond
3:06.0,,,88-95,2,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by G. Monroe)
2:48.0,A. Bargnani makes 2-pt shot from 8 ft (assist by T. Hardaway),2,90-95,,
2:34.0,Personal foul by T. Hardaway (drawn by A. Drummond),,90-95,,
2:34.0,,,90-95,,A. Drummond misses free throw 1 of 2
2:34.0,,,90-95,,Offensive rebound by Team
2:34.0,S. Larkin enters the game for T. Hardaway,,90-95,,
2:34.0,,,90-95,,A. Drummond misses free throw 2 of 2
2:33.0,Defensive rebound by C. Early,,90-95,,
2:21.0,C. Early misses 2-pt shot from 3 ft (block by A. Drummond),,90-95,,
2:21.0,Offensive rebound by Team,,90-95,,
2:15.0,A. Bargnani misses 3-pt shot from 25 ft,,90-95,,
2:14.0,,,90-95,,Defensive rebound by A. Drummond
2:05.0,,,90-95,,R. Jackson misses 2-pt shot from 4 ft (block by C. Early)
2:02.0,Defensive rebound by L. Amundson,,90-95,,
1:52.0,C. Early misses 3-pt shot from 24 ft,,90-95,,
1:51.0,,,90-95,,Defensive rebound by Team
1:51.0,A. Shved enters the game for S. Larkin,,90-95,,
1:35.0,,,90-95,,K. Caldwell-Pope misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by L. Amundson,,90-95,,
1:20.0,New York full timeout,,90-95,,
1:20.0,T. Hardaway enters the game for C. Early,,90-95,,
1:11.0,T. Hardaway misses 3-pt shot from 26 ft,,90-95,,
1:09.0,Offensive rebound by L. Galloway,,90-95,,
1:00.0,A. Bargnani misses 2-pt shot from 14 ft,,90-95,,
0:59.0,,,90-95,,Defensive rebound by R. Jackson
0:42.0,,,90-95,,R. Jackson misses 2-pt shot from 15 ft
0:40.0,Defensive rebound by A. Shved,,90-95,,
0:35.0,A. Shved misses 2-pt shot from 1 ft,,90-95,,
0:34.0,Offensive rebound by L. Amundson,,90-95,,
0:33.0,L. Amundson misses 2-pt shot from 1 ft,,90-95,,
0:31.0,Offensive rebound by L. Amundson,,90-95,,
0:31.0,L. Amundson makes 2-pt shot from 1 ft,2,92-95,,
0:12.0,,,92-95,,R. Jackson misses 2-pt shot from 13 ft
0:10.0,Defensive rebound by L. Galloway,,92-95,,
0:06.0,L. Galloway makes 3-pt shot from 25 ft,3,95-95,,
0:06.0,,,95-95,,Detroit full timeout
0:06.0,,,95-95,,A. Tolliver enters the game for G. Monroe
0:06.0,C. Early enters the game for T. Hardaway,,95-95,,
0:06.0,L. Thomas enters the game for A. Shved,,95-95,,
0:06.0,J. Smith enters the game for A. Bargnani,,95-95,,
0:01.0,,,95-95,,A. Tolliver misses 3-pt shot from 27 ft
0:00.0,,,95-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: L. Amundson vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: L. Amundson vs. A. Drummond (R. Jackson gains possession)
4:44.0,,,95-97,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:20.0,A. Bargnani makes 2-pt shot from 18 ft (assist by L. Amundson),2,97-97,,
4:00.0,,,97-99,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
3:39.0,L. Amundson makes 2-pt shot at rim (assist by L. Thomas),2,99-99,,
3:23.0,,,99-99,,R. Jackson misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by A. Bargnani,,99-99,,
3:02.0,Shooting foul by J. Meeks (drawn by A. Bargnani),,99-99,,
3:02.0,A. Bargnani makes free throw 1 of 2,1,100-99,,
3:02.0,A. Bargnani makes free throw 2 of 2,1,101-99,,
2:47.0,,,101-101,2,G. Monroe makes 2-pt shot from 4 ft
2:29.0,Shooting foul by A. Drummond (drawn by L. Galloway),,101-101,,
2:29.0,L. Galloway makes free throw 1 of 2,1,102-101,,
2:29.0,L. Galloway makes free throw 2 of 2,1,103-101,,
2:12.0,,,103-101,,Offensive foul by A. Drummond
2:12.0,,,103-101,,Turnover by A. Drummond (offensive foul)
2:01.0,L. Galloway misses 2-pt shot from 4 ft,,103-101,,
2:00.0,Offensive rebound by L. Thomas,,103-101,,
1:57.0,L. Thomas misses 2-pt shot from 1 ft,,103-101,,
1:56.0,,,103-101,,Defensive rebound by K. Caldwell-Pope
1:48.0,,,103-101,,R. Jackson misses 2-pt shot from 2 ft (block by L. Thomas)
1:48.0,,,103-101,,Offensive rebound by Team
1:39.0,Personal foul by A. Bargnani (drawn by R. Jackson),,103-101,,
1:39.0,J. Smith enters the game for A. Bargnani,,103-101,,
1:29.0,,,103-103,2,R. Jackson makes 2-pt shot from 2 ft
1:12.0,J. Smith misses 2-pt shot from 16 ft,,103-103,,
1:10.0,Offensive rebound by L. Amundson,,103-103,,
1:06.0,J. Smith misses 2-pt shot from 16 ft,,103-103,,
1:05.0,,,103-103,,Defensive rebound by G. Monroe
0:48.0,,,103-103,,R. Jackson misses 2-pt shot from 2 ft
0:47.0,,,103-103,,Offensive rebound by A. Drummond
0:43.0,,,103-103,,A. Drummond misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by L. Amundson,,103-103,,
0:43.0,,,103-103,,Personal foul by J. Meeks (drawn by L. Amundson)
0:43.0,A. Bargnani enters the game for J. Smith,,103-103,,
0:43.0,New York full timeout,,103-103,,
0:31.0,L. Galloway misses 2-pt shot from 13 ft,,103-103,,
0:30.0,Offensive rebound by L. Amundson,,103-103,,
0:30.0,L. Amundson makes 2-pt shot at rim,2,105-103,,
0:30.0,,,105-103,,Detroit full timeout
0:30.0,,,105-103,,A. Tolliver enters the game for A. Drummond
0:30.0,J. Smith enters the game for A. Bargnani,,105-103,,
0:12.0,,,105-105,2,G. Monroe makes 2-pt shot from 2 ft
0:12.0,,,105-105,,Shooting foul by L. Amundson (drawn by G. Monroe)
0:12.0,,,105-105,,A. Drummond enters the game for A. Tolliver
0:12.0,C. Aldrich enters the game for S. Larkin,,105-105,,
0:12.0,,,105-105,,G. Monroe misses free throw 1 of 1
0:11.0,Defensive rebound by L. Thomas,,105-105,,
0:09.0,New York full timeout,,105-105,,
0:09.0,A. Bargnani enters the game for C. Aldrich,,105-105,,
0:09.0,T. Hardaway enters the game for J. Smith,,105-105,,
0:01.0,T. Hardaway misses 2-pt shot from 15 ft,,105-105,,
0:00.0,,,105-105,,Defensive rebound by K. Caldwell-Pope
0:00.0,,,105-105,,Detroit full timeout
0:00.0,,,105-105,,T. Prince enters the game for G. Monroe
0:00.0,C. Aldrich enters the game for A. Bargnani,,105-105,,
0:00.0,J. Smith enters the game for T. Hardaway,,105-105,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: L. Amundson vs. A. Drummond (R. Jackson gains possession),,,,Jump ball: L. Amundson vs. A. Drummond (R. Jackson gains possession)
4:56.0,,,105-105,,Turnover by R. Jackson (step out of bounds)
4:50.0,L. Amundson misses 2-pt shot from 6 ft,,105-105,,
4:48.0,Offensive rebound by J. Smith,,105-105,,
4:25.0,J. Smith makes 2-pt shot from 9 ft,2,107-105,,
4:05.0,,,107-105,,Shooting foul by J. Smith (drawn by G. Monroe)
4:05.0,,,107-105,,G. Monroe misses free throw 1 of 2
4:05.0,,,107-105,,Offensive rebound by Team
4:05.0,,,107-106,1,G. Monroe makes free throw 2 of 2
3:41.0,Shooting foul by A. Drummond (drawn by L. Amundson),,107-106,,
3:41.0,,,107-106,,A. Tolliver enters the game for A. Drummond
3:41.0,L. Amundson makes free throw 1 of 2,1,108-106,,
3:41.0,Turnover by J. Smith (lane violation.),,108-106,,
3:29.0,,,108-106,,R. Jackson misses 2-pt shot from 2 ft (block by L. Amundson)
3:27.0,Defensive rebound by L. Galloway,,108-106,,
3:13.0,S. Larkin misses 3-pt shot from 24 ft,,108-106,,
3:11.0,Offensive rebound by L. Amundson,,108-106,,
3:01.0,J. Smith misses 2-pt shot from 15 ft,,108-106,,
3:00.0,,,108-106,,Defensive rebound by G. Monroe
3:00.0,Personal foul by L. Amundson (drawn by G. Monroe),,108-106,,
2:48.0,,,108-106,,Shooting foul by L. Amundson (drawn by G. Monroe)
2:48.0,,,108-106,,G. Monroe misses free throw 1 of 2
2:48.0,,,108-106,,Offensive rebound by Team
2:48.0,A. Bargnani enters the game for L. Amundson,,108-106,,
2:48.0,,,108-107,1,G. Monroe makes free throw 2 of 2
2:35.0,T. Hardaway makes 2-pt shot at rim (assist by A. Bargnani),2,110-107,,
2:13.0,Personal foul by L. Galloway (drawn by G. Monroe),,110-107,,
2:13.0,,,110-107,,G. Monroe misses free throw 1 of 2
2:13.0,,,110-107,,Offensive rebound by Team
2:13.0,,,110-108,1,G. Monroe makes free throw 2 of 2
1:51.0,S. Larkin makes 2-pt shot from 18 ft (assist by T. Hardaway),2,112-108,,
1:39.0,,,112-108,,J. Meeks misses 2-pt shot from 19 ft
1:38.0,Defensive rebound by T. Hardaway,,112-108,,
1:29.0,S. Larkin misses 3-pt shot from 24 ft,,112-108,,
1:27.0,,,112-108,,Defensive rebound by R. Jackson
1:17.0,,,112-111,3,A. Tolliver makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
1:17.0,New York full timeout,,112-111,,
0:58.0,Offensive foul by L. Galloway,,112-111,,
0:58.0,Turnover by L. Galloway (offensive foul),,112-111,,
0:58.0,A. Shved enters the game for L. Galloway,,112-111,,
0:42.0,,,112-111,,A. Tolliver misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by S. Larkin,,112-111,,
0:28.0,S. Larkin makes 2-pt shot from 3 ft,2,114-111,,
0:28.0,Shooting foul by A. Tolliver (drawn by S. Larkin),,114-111,,
0:28.0,L. Amundson enters the game for A. Bargnani,,114-111,,
0:28.0,S. Larkin makes free throw 1 of 1,1,115-111,,
0:28.0,,,115-111,,Detroit full timeout
0:28.0,L. Thomas enters the game for A. Shved,,115-111,,
0:25.0,,,115-111,,Turnover by K. Caldwell-Pope (traveling)
0:25.0,A. Bargnani enters the game for L. Amundson,,115-111,,
0:22.0,,,115-111,,Personal foul by R. Jackson (drawn by S. Larkin)
0:22.0,S. Larkin makes free throw 1 of 2,1,116-111,,
0:22.0,L. Amundson enters the game for A. Bargnani,,116-111,,
0:22.0,S. Larkin makes free throw 2 of 2,1,117-111,,
0:22.0,,,117-111,,Detroit full timeout
0:20.0,,,117-111,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:18.0,,,117-111,,Offensive rebound by K. Caldwell-Pope
0:15.0,,,117-114,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
0:14.0,,,117-114,,Personal foul by J. Meeks (drawn by T. Hardaway)
0:14.0,T. Hardaway makes free throw 1 of 2,1,118-114,,
0:14.0,T. Hardaway makes free throw 2 of 2,1,119-114,,
0:14.0,,,119-114,,Detroit full timeout
0:11.0,,,119-114,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:09.0,,,119-114,,Offensive rebound by A. Tolliver
0:08.0,,,119-114,,Shooting foul by J. Smith (drawn by J. Meeks)
0:08.0,A. Bargnani enters the game for J. Smith,,119-114,,
0:08.0,,,119-114,,J. Meeks misses free throw 1 of 3
0:08.0,,,119-114,,Offensive rebound by Team
0:08.0,,,119-115,1,J. Meeks makes free throw 2 of 3
0:08.0,,,119-115,,J. Meeks misses free throw 3 of 3
0:07.0,Defensive rebound by Team,,119-115,,
0:06.0,New York full timeout,,119-115,,
0:05.0,,,119-115,,Personal foul by R. Jackson (drawn by S. Larkin)
0:05.0,S. Larkin makes free throw 1 of 2,1,120-115,,
0:05.0,S. Larkin makes free throw 2 of 2,1,121-115,,
0:01.0,,,121-115,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by T. Hardaway,,121-115,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
