time,Miami,pts.away,score,pts.home,Brooklyn
3:47.0,,,87-81,2,D. Williams makes 2-pt shot from 1 ft
3:23.0,Turnover by S. Napier (lost ball; steal by J. Jack),,87-81,,
3:17.0,,,87-83,2,D. Williams makes 2-pt shot from 1 ft (assist by J. Jack)
2:59.0,Shooting foul by A. Anderson (drawn by M. Chalmers),,87-83,,
2:59.0,M. Chalmers makes free throw 1 of 2,1,88-83,,
2:59.0,C. Andersen enters the game for U. Haslem,,88-83,,
2:59.0,N. Cole enters the game for S. Napier,,88-83,,
2:59.0,M. Chalmers makes free throw 2 of 2,1,89-83,,
2:50.0,,,89-83,,Turnover by D. Williams (bad pass; steal by L. Deng)
2:48.0,,,89-83,,Personal foul by D. Williams (drawn by L. Deng)
2:48.0,L. Deng misses free throw 1 of 2,,89-83,,
2:48.0,Offensive rebound by Team,,89-83,,
2:48.0,L. Deng makes free throw 2 of 2,1,90-83,,
2:38.0,,,90-83,,Turnover by D. Williams (bad pass)
2:16.0,D. Wade makes 2-pt shot from 15 ft (assist by M. Chalmers),2,92-83,,
2:14.0,,,92-83,,Brooklyn full timeout
2:03.0,Personal foul by C. Andersen (drawn by J. Johnson),,92-83,,
1:57.0,,,92-83,,J. Jack misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by D. Wade,,92-83,,
1:39.0,Shooting foul by A. Anderson (drawn by D. Wade),,92-83,,
1:39.0,D. Wade misses free throw 1 of 2,,92-83,,
1:39.0,Offensive rebound by Team,,92-83,,
1:39.0,D. Wade makes free throw 2 of 2,1,93-83,,
1:25.0,,,93-83,,D. Williams misses 2-pt shot from 2 ft
1:24.0,,,93-83,,Offensive rebound by M. Plumlee
1:24.0,,,93-83,,Shooting foul by M. Chalmers (drawn by M. Plumlee)
1:24.0,,,93-84,1,M. Plumlee makes free throw 1 of 2
1:24.0,,,93-84,,B. Bogdanovic enters the game for A. Anderson
1:24.0,,,93-85,1,M. Plumlee makes free throw 2 of 2
1:06.0,Turnover by M. Chalmers (bad pass; steal by M. Plumlee),,93-85,,
1:01.0,,,93-88,3,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack)
0:45.0,L. Deng misses 3-pt shot from 22 ft,,93-88,,
0:43.0,,,93-88,,Defensive rebound by M. Plumlee
0:35.0,,,93-91,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Williams)
0:35.0,Miami full timeout,,93-91,,
0:13.0,D. Wade misses 3-pt shot from 25 ft,,93-91,,
0:12.0,Offensive rebound by Team,,93-91,,
0:12.0,,,93-91,,Loose ball foul by B. Bogdanovic (drawn by L. Deng)
0:12.0,L. Deng makes free throw 1 of 2,1,94-91,,
0:12.0,,,94-91,,K. Garnett enters the game for B. Bogdanovic
0:12.0,L. Deng makes free throw 2 of 2,1,95-91,,
0:12.0,,,95-91,,Brooklyn full timeout
0:12.0,,,95-91,,B. Bogdanovic enters the game for K. Garnett
0:12.0,U. Haslem enters the game for C. Andersen,,95-91,,
0:07.0,,,95-91,,J. Jack misses 2-pt shot from 2 ft
0:06.0,Defensive rebound by M. Chalmers,,95-91,,
0:03.0,,,95-91,,Personal foul by J. Johnson (drawn by N. Cole)
0:03.0,N. Cole misses free throw 1 of 2,,95-91,,
0:03.0,Offensive rebound by Team,,95-91,,
0:03.0,N. Cole misses free throw 2 of 2,,95-91,,
0:03.0,,,95-91,,Defensive rebound by J. Johnson
0:03.0,,,95-91,,Brooklyn full timeout
0:01.0,,,95-91,,J. Johnson misses 3-pt shot from 26 ft
0:00.0,,,95-91,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
