time,Portland,pts.away,score,pts.home,Houston
3:05.0,,,98-91,,Defensive rebound by P. Beverley
2:55.0,,,98-91,,T. Ariza misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by D. Lillard,,98-91,,
2:36.0,L. Aldridge misses 2-pt shot from 20 ft,,98-91,,
2:34.0,,,98-91,,Defensive rebound by Team
2:34.0,Official timeout,,98-91,,
2:20.0,,,98-94,3,J. Harden makes 3-pt shot from 23 ft (assist by J. Smith)
1:59.0,L. Aldridge makes 2-pt shot from 8 ft,2,100-94,,
1:50.0,,,100-96,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
1:50.0,,,100-96,,Shooting foul by R. Lopez (drawn by D. Motiejunas)
1:50.0,,,100-96,,D. Motiejunas misses free throw 1 of 1
1:46.0,Defensive rebound by N. Batum,,100-96,,
1:26.0,N. Batum makes 3-pt shot from 25 ft,3,103-96,,
1:16.0,,,103-96,,J. Harden misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by D. Lillard,,103-96,,
1:00.0,,,103-96,,Personal foul by P. Beverley (drawn by L. Aldridge)
1:00.0,L. Aldridge makes free throw 1 of 2,1,104-96,,
1:00.0,L. Aldridge makes free throw 2 of 2,1,105-96,,
1:00.0,,,105-96,,Houston full timeout
0:50.0,,,105-96,,T. Ariza misses 3-pt shot from 23 ft
0:49.0,Defensive rebound by L. Aldridge,,105-96,,
0:45.0,,,105-96,,Personal take foul by P. Beverley (drawn by D. Lillard)
0:45.0,D. Lillard makes free throw 1 of 2,1,106-96,,
0:45.0,D. Lillard makes free throw 2 of 2,1,107-96,,
0:36.0,,,107-98,2,J. Harden makes 2-pt shot at rim
0:26.0,D. Lillard makes 2-pt shot at rim,2,109-98,,
0:20.0,,,109-98,,P. Beverley misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by D. Lillard,,109-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
