time,Minnesota,pts.away,score,pts.home,Chicago
4:05.0,,,85-86,,Defensive rebound by J. Noah
3:54.0,,,85-86,,K. Hinrich misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by N. Pekovic,,85-86,,
3:48.0,Turnover by R. Rubio (bad pass; steal by J. Butler),,85-86,,
3:48.0,Personal foul by A. Wiggins (drawn by J. Butler),,85-86,,
3:48.0,K. Martin enters the game for A. Wiggins,,85-86,,
3:37.0,,,85-86,,J. Butler misses 2-pt shot from 16 ft
3:35.0,,,85-86,,Offensive rebound by M. Dunleavy
3:19.0,,,85-89,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by T. Snell)
2:56.0,K. Martin misses 2-pt shot from 18 ft,,85-89,,
2:55.0,,,85-89,,Defensive rebound by J. Noah
2:47.0,,,85-89,,M. Dunleavy misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by K. Martin,,85-89,,
2:43.0,Offensive charge foul by A. Payne,,85-89,,
2:43.0,Turnover by A. Payne (offensive foul),,85-89,,
2:43.0,,,85-89,,Chicago full timeout
2:43.0,A. Wiggins enters the game for A. Payne,,85-89,,
2:29.0,,,85-89,,Turnover by J. Noah (bad pass; steal by A. Wiggins)
2:28.0,,,85-89,,Clear path foul by J. Noah
2:28.0,A. Wiggins makes clear path free throw 1 of 2,1,86-89,,
2:28.0,A. Wiggins misses clear path free throw 2 of 2,,86-89,,
2:28.0,Offensive rebound by Team,,86-89,,
2:15.0,G. Neal misses 2-pt shot from 20 ft,,86-89,,
2:13.0,Offensive rebound by N. Pekovic,,86-89,,
2:10.0,R. Rubio misses 2-pt shot from 21 ft,,86-89,,
2:09.0,,,86-89,,Defensive rebound by M. Dunleavy
1:47.0,,,86-89,,M. Dunleavy misses 2-pt shot from 2 ft
1:46.0,,,86-89,,Offensive rebound by K. Hinrich
1:32.0,,,86-91,2,K. Hinrich makes 2-pt shot from 1 ft (assist by J. Butler)
1:32.0,Minnesota full timeout,,86-91,,
1:17.0,,,86-93,2,J. Butler makes 2-pt shot from 12 ft
1:17.0,Minnesota full timeout,,86-93,,
1:15.0,K. Martin makes 2-pt shot from 21 ft (assist by R. Rubio),2,88-93,,
1:06.0,Personal foul by N. Pekovic (drawn by J. Butler),,88-93,,
0:53.0,,,88-95,2,J. Noah makes 2-pt shot from 2 ft (assist by M. Dunleavy)
0:45.0,G. Neal misses 3-pt shot from 24 ft (block by J. Butler),,88-95,,
0:42.0,,,88-95,,Defensive rebound by J. Butler
0:20.0,,,88-95,,Turnover by Team (shot clock)
0:20.0,Minnesota full timeout,,88-95,,
0:17.0,,,88-95,,Personal foul by M. Dunleavy (drawn by A. Wiggins)
0:17.0,A. Wiggins makes free throw 1 of 2,1,89-95,,
0:17.0,G. Dieng enters the game for N. Pekovic,,89-95,,
0:17.0,A. Wiggins misses free throw 2 of 2,,89-95,,
0:16.0,,,89-95,,Defensive rebound by J. Noah
0:16.0,Personal foul by G. Neal (drawn by J. Noah),,89-95,,
0:16.0,,,89-96,1,J. Noah makes free throw 1 of 2
0:16.0,,,89-96,,J. Noah misses free throw 2 of 2
0:15.0,Defensive rebound by K. Martin,,89-96,,
0:06.0,G. Neal misses 3-pt shot from 25 ft,,89-96,,
0:05.0,,,89-96,,Defensive rebound by J. Butler
0:00.0,End of 4th quarter,,,,End of 4th quarter
