time,Philadelphia,pts.away,score,pts.home,Oklahoma City
9:28.0,,,90-90,,D. Waiters misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by N. Noel,,90-90,,
9:18.0,Turnover by N. Noel (lost ball),,90-90,,
9:05.0,,,90-93,3,D. Augustin makes 3-pt shot from 24 ft
8:41.0,Turnover by N. Noel (lost ball; steal by A. Morrow),,90-93,,
8:32.0,,,90-93,,Turnover by D. Waiters (lost ball; steal by I. Canaan)
8:27.0,J. Richardson misses 2-pt shot from 1 ft (block by M. McGary),,90-93,,
8:27.0,Offensive rebound by J. Grant,,90-93,,
8:27.0,Shooting foul by D. Augustin (drawn by J. Grant),,90-93,,
8:27.0,Technical foul by J. Richardson,,90-93,,
8:27.0,,,90-94,1,D. Augustin makes technical free throw
8:27.0,J. Grant makes free throw 1 of 2,1,91-94,,
8:27.0,,,91-94,,R. Westbrook enters the game for A. Morrow
8:27.0,J. Grant makes free throw 2 of 2,1,92-94,,
8:12.0,,,92-94,,M. McGary misses 2-pt shot from 12 ft
8:11.0,Defensive rebound by Team,,92-94,,
7:55.0,L. Mbah a Moute misses 2-pt shot from 16 ft,,92-94,,
7:54.0,,,92-94,,Defensive rebound by R. Westbrook
7:50.0,,,92-96,2,D. Augustin makes 2-pt shot at rim (assist by R. Westbrook)
7:45.0,Offensive charge foul by J. Grant,,92-96,,
7:45.0,Turnover by J. Grant (offensive foul),,92-96,,
7:32.0,,,92-98,2,M. McGary makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:13.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by I. Canaan),2,94-98,,
6:55.0,,,94-100,2,R. Westbrook makes 2-pt shot from 16 ft
6:36.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by R. Westbrook),,94-100,,
6:35.0,Offensive rebound by L. Mbah a Moute,,94-100,,
6:33.0,J. Grant misses 2-pt shot from 2 ft (block by N. Collison),,94-100,,
6:31.0,Offensive rebound by L. Mbah a Moute,,94-100,,
6:31.0,Shooting foul by N. Collison (drawn by L. Mbah a Moute),,94-100,,
6:31.0,L. Mbah a Moute makes free throw 1 of 2,1,95-100,,
6:31.0,L. Mbah a Moute makes free throw 2 of 2,1,96-100,,
6:19.0,,,96-100,,M. McGary misses 2-pt shot from 4 ft
6:18.0,,,96-100,,Offensive rebound by M. McGary
6:17.0,,,96-100,,M. McGary misses 2-pt shot at rim
6:16.0,Defensive rebound by Team,,96-100,,
6:16.0,,,96-100,,Loose ball foul by M. McGary (drawn by N. Noel)
6:16.0,,,96-100,,S. Ibaka enters the game for M. McGary
6:02.0,Turnover by L. Mbah a Moute (traveling),,96-100,,
5:51.0,,,96-100,,Shooting foul by N. Noel (drawn by N. Collison)
5:51.0,Official timeout,,96-100,,
5:51.0,T. Robinson enters the game for L. Mbah a Moute,,96-100,,
5:51.0,,,96-101,1,N. Collison makes free throw 1 of 2
5:51.0,,,96-102,1,N. Collison makes free throw 2 of 2
5:32.0,T. Robinson misses 2-pt shot from 2 ft,,96-102,,
5:31.0,,,96-102,,Defensive rebound by D. Waiters
5:10.0,,,96-102,,N. Collison misses 2-pt shot from 2 ft (block by N. Noel)
5:09.0,Defensive rebound by N. Noel,,96-102,,
4:54.0,Turnover by N. Noel (bad pass; steal by D. Augustin),,96-102,,
4:48.0,,,96-102,,D. Augustin misses 3-pt shot from 24 ft
4:46.0,Defensive rebound by N. Noel,,96-102,,
4:37.0,J. Grant misses 3-pt shot from 22 ft,,96-102,,
4:36.0,,,96-102,,Defensive rebound by R. Westbrook
4:18.0,,,96-102,,S. Ibaka misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by T. Robinson,,96-102,,
4:10.0,I. Canaan misses 3-pt shot from 24 ft,,96-102,,
4:09.0,,,96-102,,Defensive rebound by D. Waiters
3:48.0,,,96-104,2,D. Waiters makes 2-pt shot from 3 ft
3:48.0,Philadelphia full timeout,,96-104,,
3:48.0,H. Thompson enters the game for N. Noel,,96-104,,
3:48.0,J. Sampson enters the game for J. Richardson,,96-104,,
3:48.0,L. Mbah a Moute enters the game for T. Robinson,,96-104,,
3:31.0,Turnover by J. Grant (lost ball; steal by N. Collison),,96-104,,
3:12.0,,,96-104,,Turnover by N. Collison (bad pass)
2:58.0,J. Grant makes 3-pt shot from 24 ft (assist by I. Canaan),3,99-104,,
2:36.0,,,99-104,,R. Westbrook misses 2-pt shot from 3 ft (block by J. Grant)
2:34.0,,,99-104,,Offensive rebound by R. Westbrook
2:33.0,,,99-106,2,R. Westbrook makes 2-pt shot from 2 ft
2:28.0,Turnover by I. Canaan (bad pass; steal by R. Westbrook),,99-106,,
2:12.0,,,99-108,2,R. Westbrook makes 2-pt shot from 5 ft
2:10.0,Philadelphia full timeout,,99-108,,
2:10.0,J. Richardson enters the game for J. Sampson,,99-108,,
2:10.0,,,99-108,,A. Roberson enters the game for N. Collison
1:59.0,,,99-108,,Personal foul by S. Ibaka (drawn by I. Canaan)
1:47.0,J. Richardson makes 3-pt shot from 26 ft (assist by I. Canaan),3,102-108,,
1:32.0,,,102-108,,Shooting foul by I. Canaan (drawn by R. Westbrook)
1:32.0,,,102-109,1,R. Westbrook makes free throw 1 of 2
1:32.0,,,102-110,1,R. Westbrook makes free throw 2 of 2
1:25.0,I. Canaan makes 2-pt shot at rim,2,104-110,,
1:07.0,,,104-110,,R. Westbrook misses 2-pt shot from 15 ft
1:06.0,Defensive rebound by H. Thompson,,104-110,,
0:55.0,H. Thompson makes 3-pt shot from 27 ft (assist by J. Grant),3,107-110,,
0:55.0,,,107-110,,Oklahoma City full timeout
0:55.0,N. Noel enters the game for I. Canaan,,107-110,,
0:39.0,,,107-110,,Turnover by R. Westbrook (lost ball; steal by N. Noel)
0:27.0,J. Richardson makes 3-pt shot from 25 ft,3,110-110,,
0:06.0,,,110-110,,R. Westbrook misses 2-pt shot from 4 ft
0:04.0,Defensive rebound by J. Richardson,,110-110,,
0:04.0,Philadelphia full timeout,,110-110,,
0:04.0,,,110-110,,K. Singler enters the game for D. Augustin
0:04.0,I. Canaan enters the game for J. Grant,,110-110,,
0:01.0,N. Noel misses 2-pt shot from 3 ft,,110-110,,
0:00.0,,,110-110,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: S. Ibaka vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: S. Ibaka vs. N. Noel (L. Mbah a Moute gains possession)
4:42.0,Turnover by I. Canaan (bad pass),,110-110,,
4:21.0,,,110-110,,R. Westbrook misses 2-pt shot from 16 ft
4:20.0,Defensive rebound by N. Noel,,110-110,,
3:59.0,J. Richardson misses 3-pt shot from 22 ft,,110-110,,
3:58.0,,,110-110,,Defensive rebound by D. Waiters
3:48.0,,,110-110,,D. Waiters misses 2-pt shot from 16 ft
3:47.0,Defensive rebound by I. Canaan,,110-110,,
3:43.0,,,110-110,,Personal foul by D. Waiters (drawn by N. Noel)
3:35.0,N. Noel misses 2-pt shot from 9 ft,,110-110,,
3:35.0,Offensive rebound by Team,,110-110,,
3:35.0,,,110-110,,Loose ball foul by S. Ibaka (drawn by L. Mbah a Moute)
3:14.0,L. Mbah a Moute misses 2-pt shot from 4 ft,,110-110,,
3:12.0,,,110-110,,Defensive rebound by D. Waiters
3:06.0,,,110-113,3,D. Augustin makes 3-pt shot from 22 ft (assist by R. Westbrook)
3:04.0,Philadelphia full timeout,,110-113,,
2:45.0,I. Canaan misses 2-pt shot from 2 ft (block by S. Ibaka),,110-113,,
2:44.0,,,110-113,,Defensive rebound by D. Waiters
2:22.0,,,110-113,,S. Ibaka misses 2-pt shot from 7 ft
2:22.0,Defensive rebound by L. Mbah a Moute,,110-113,,
1:59.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by S. Ibaka),,110-113,,
1:58.0,,,110-113,,Defensive rebound by S. Ibaka
1:55.0,,,110-115,2,R. Westbrook makes 2-pt shot from 2 ft
1:55.0,,,110-115,,Shooting foul by N. Noel (drawn by R. Westbrook)
1:55.0,,,110-115,,R. Westbrook misses free throw 1 of 1
1:53.0,Defensive rebound by N. Noel,,110-115,,
1:44.0,Shooting foul by S. Ibaka (drawn by N. Noel),,110-115,,
1:44.0,,,110-115,,N. Collison enters the game for S. Ibaka
1:44.0,N. Noel misses free throw 1 of 2,,110-115,,
1:44.0,Offensive rebound by Team,,110-115,,
1:44.0,N. Noel misses free throw 2 of 2,,110-115,,
1:43.0,,,110-115,,Defensive rebound by R. Westbrook
1:29.0,,,110-117,2,R. Westbrook makes 2-pt shot from 16 ft
1:29.0,Philadelphia full timeout,,110-117,,
1:20.0,Shooting foul by D. Augustin (drawn by J. Richardson),,110-117,,
1:20.0,J. Richardson makes free throw 1 of 3,1,111-117,,
1:20.0,J. Richardson makes free throw 2 of 3,1,112-117,,
1:20.0,J. Richardson makes free throw 3 of 3,1,113-117,,
1:05.0,,,113-117,,R. Westbrook misses 2-pt shot from 4 ft
1:04.0,Defensive rebound by I. Canaan,,113-117,,
0:52.0,J. Grant makes 3-pt shot from 25 ft (assist by J. Richardson),3,116-117,,
0:52.0,,,116-117,,Oklahoma City full timeout
0:39.0,,,116-119,2,R. Westbrook makes 2-pt shot from 18 ft (assist by N. Collison)
0:33.0,I. Canaan misses 3-pt shot from 24 ft,,116-119,,
0:32.0,,,116-119,,Defensive rebound by R. Westbrook
0:31.0,Personal take foul by J. Grant (drawn by R. Westbrook),,116-119,,
0:31.0,,,116-120,1,R. Westbrook makes free throw 1 of 2
0:31.0,,,116-120,,R. Westbrook misses free throw 2 of 2
0:30.0,Defensive rebound by N. Noel,,116-120,,
0:30.0,Philadelphia full timeout,,116-120,,
0:30.0,,,116-120,,A. Roberson enters the game for D. Augustin
0:27.0,,,116-120,,Personal foul by R. Westbrook (drawn by J. Richardson)
0:27.0,J. Richardson makes free throw 1 of 2,1,117-120,,
0:27.0,J. Richardson makes free throw 2 of 2,1,118-120,,
0:27.0,,,118-120,,Oklahoma City full timeout
0:27.0,,,118-120,,A. Morrow enters the game for K. Singler
0:27.0,,,118-120,,D. Augustin enters the game for A. Roberson
0:27.0,,,118-120,,Oklahoma City full timeout
0:27.0,,,118-120,,K. Singler enters the game for N. Collison
0:22.0,Personal block foul by J. Grant (drawn by R. Westbrook),,118-120,,
0:22.0,H. Thompson enters the game for J. Grant,,118-120,,
0:22.0,,,118-120,,A. Roberson enters the game for A. Morrow
0:22.0,,,118-120,,R. Westbrook misses free throw 1 of 2
0:22.0,,,118-120,,Offensive rebound by Team
0:22.0,,,118-121,1,R. Westbrook makes free throw 2 of 2
0:14.0,J. Richardson misses 3-pt shot from 24 ft,,118-121,,
0:11.0,,,118-121,,Defensive rebound by Team
0:10.0,,,118-121,,A. Morrow enters the game for A. Roberson
0:06.0,Personal take foul by H. Thompson (drawn by R. Westbrook),,118-121,,
0:06.0,,,118-122,1,R. Westbrook makes free throw 1 of 2
0:06.0,,,118-123,1,R. Westbrook makes free throw 2 of 2
0:00.0,H. Thompson misses 3-pt shot from 24 ft,,118-123,,
0:00.0,,,118-123,,Defensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
