time,New Orleans,pts.away,score,pts.home,Philadelphia
5:46.0,,,69-88,1,R. Covington makes free throw 1 of 2
5:46.0,,,69-88,,R. Covington misses free throw 2 of 2
5:45.0,Defensive rebound by L. Babbitt,,69-88,,
5:29.0,,,69-88,,Personal foul by R. Covington (drawn by J. Fredette)
5:22.0,D. Cunningham misses 2-pt shot from 15 ft,,69-88,,
5:21.0,,,69-88,,Defensive rebound by J. Grant
5:07.0,,,69-88,,J. Grant misses 2-pt shot from 3 ft
5:06.0,Defensive rebound by N. Wolters,,69-88,,
5:00.0,Shooting foul by L. Mbah a Moute (drawn by A. Ajinca),,69-88,,
5:00.0,A. Ajinca makes free throw 1 of 2,1,70-88,,
5:00.0,,,70-88,,J. Sampson enters the game for L. Mbah a Moute
5:00.0,A. Ajinca makes free throw 2 of 2,1,71-88,,
4:45.0,,,71-90,2,N. Noel makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
4:26.0,A. Ajinca makes 2-pt shot at rim (assist by J. Fredette),2,73-90,,
4:02.0,,,73-90,,R. Covington misses 2-pt shot from 1 ft (block by A. Ajinca)
4:00.0,Defensive rebound by A. Ajinca,,73-90,,
3:55.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Fredette),3,76-90,,
3:35.0,,,76-90,,Turnover by J. Grant (lost ball; steal by L. Babbitt)
3:35.0,,,76-90,,Personal foul by J. Sampson (drawn by L. Babbitt)
3:35.0,L. Babbitt misses free throw 1 of 2,,76-90,,
3:35.0,Offensive rebound by Team,,76-90,,
3:35.0,J. Withey enters the game for D. Cunningham,,76-90,,
3:35.0,L. Babbitt misses free throw 2 of 2,,76-90,,
3:33.0,,,76-90,,Defensive rebound by N. Noel
3:21.0,Personal foul by N. Wolters (drawn by M. Carter-Williams),,76-90,,
3:21.0,,,76-91,1,M. Carter-Williams makes free throw 1 of 2
3:21.0,,,76-91,,M. Carter-Williams misses free throw 2 of 2
3:19.0,Defensive rebound by J. Fredette,,76-91,,
3:07.0,J. Withey misses 2-pt shot from 17 ft,,76-91,,
3:06.0,,,76-91,,Defensive rebound by R. Covington
2:42.0,,,76-91,,Turnover by Team (shot clock)
2:42.0,New Orleans full timeout,,76-91,,
2:42.0,,,76-91,,H. Thompson enters the game for J. Sampson
2:31.0,J. Withey misses 2-pt shot from 3 ft,,76-91,,
2:30.0,Offensive rebound by Team,,76-91,,
2:16.0,J. Fredette makes 2-pt shot from 4 ft (assist by N. Wolters),2,78-91,,
2:00.0,,,78-91,,Shooting foul by J. Fredette (drawn by H. Thompson)
2:00.0,,,78-92,1,H. Thompson makes free throw 1 of 3
2:00.0,,,78-92,,H. Thompson misses free throw 2 of 3
2:00.0,,,78-92,,Offensive rebound by Team
2:00.0,,,78-92,,L. Drew enters the game for M. Carter-Williams
2:00.0,,,78-92,,J. Sampson enters the game for R. Covington
2:00.0,,,78-92,,F. Aldemir enters the game for N. Noel
2:00.0,,,78-93,1,H. Thompson makes free throw 3 of 3
1:47.0,J. Fredette misses 2-pt shot from 11 ft,,78-93,,
1:45.0,Offensive rebound by A. Ajinca,,78-93,,
1:44.0,Turnover by A. Ajinca (lost ball),,78-93,,
1:29.0,,,78-93,,J. Grant misses 2-pt shot from 1 ft (block by J. Withey)
1:27.0,,,78-93,,Offensive rebound by H. Thompson
1:23.0,,,78-96,3,L. Drew makes 3-pt shot from 25 ft (assist by J. Sampson)
1:06.0,J. Fredette makes 2-pt shot from 7 ft,2,80-96,,
1:06.0,Shooting foul by F. Aldemir (drawn by J. Fredette),,80-96,,
1:06.0,J. Fredette makes free throw 1 of 1,1,81-96,,
0:48.0,,,81-96,,J. Sampson misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by N. Wolters,,81-96,,
0:38.0,L. Babbitt misses 3-pt shot from 23 ft,,81-96,,
0:36.0,,,81-96,,Defensive rebound by H. Thompson
0:12.0,,,81-96,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
