time,Brooklyn,pts.away,score,pts.home,LA Clippers
9:45.0,Offensive rebound by C. Jefferson,,63-104,,
9:45.0,C. Jefferson misses 2-pt shot from 2 ft,,63-104,,
9:41.0,,,63-104,,Defensive rebound by S. Hawes
9:37.0,,,63-106,2,G. Davis makes 2-pt shot from 1 ft
9:23.0,C. Jefferson misses 2-pt shot from 9 ft,,63-106,,
9:21.0,Offensive rebound by J. Jordan,,63-106,,
9:17.0,S. Karasev misses 2-pt shot from 10 ft,,63-106,,
9:16.0,,,63-106,,Defensive rebound by H. Turkoglu
9:00.0,,,63-106,,H. Turkoglu misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by C. Jefferson,,63-106,,
8:54.0,,,63-106,,Personal foul by G. Davis (drawn by D. Morris)
8:54.0,Official timeout,,63-106,,
8:54.0,,,63-106,,D. Jones enters the game for S. Hawes
8:54.0,,,63-106,,E. Udoh enters the game for H. Turkoglu
8:42.0,Shooting foul by E. Udoh (drawn by C. Jefferson),,63-106,,
8:42.0,C. Jefferson makes free throw 1 of 2,1,64-106,,
8:42.0,C. Jefferson misses free throw 2 of 2,,64-106,,
8:40.0,,,64-106,,Defensive rebound by E. Udoh
8:23.0,,,64-106,,G. Davis misses 2-pt shot from 16 ft
8:22.0,,,64-106,,Offensive rebound by Team
8:18.0,,,64-108,2,C. Wilcox makes 2-pt shot from 15 ft (assist by A. Rivers)
7:57.0,M. Brown misses 3-pt shot from 25 ft,,64-108,,
7:54.0,,,64-108,,Defensive rebound by A. Rivers
7:48.0,,,64-108,,G. Davis misses 2-pt shot at rim (block by C. Jefferson)
7:48.0,Jump ball: G. Davis vs. C. Jefferson,,,,Jump ball: G. Davis vs. C. Jefferson
7:48.0,,,64-108,,Offensive rebound by Team
7:37.0,,,64-110,2,A. Rivers makes 2-pt shot from 9 ft
7:24.0,S. Karasev makes 3-pt shot from 24 ft (assist by D. Morris),3,67-110,,
7:07.0,,,67-110,,D. Jones misses 2-pt shot from 12 ft
7:06.0,Defensive rebound by C. Jefferson,,67-110,,
6:58.0,S. Karasev misses 2-pt shot from 2 ft (block by E. Udoh),,67-110,,
6:55.0,Offensive rebound by C. Jefferson,,67-110,,
6:55.0,C. Jefferson makes 2-pt shot at rim,2,69-110,,
6:35.0,,,69-113,3,A. Rivers makes 3-pt shot from 25 ft (assist by E. Udoh)
6:25.0,D. Morris makes 2-pt shot at rim,2,71-113,,
6:11.0,,,71-113,,A. Rivers misses 2-pt shot from 18 ft
6:09.0,Defensive rebound by M. Brown,,71-113,,
6:02.0,D. Morris misses 3-pt shot from 23 ft,,71-113,,
5:59.0,Offensive rebound by J. Jordan,,71-113,,
5:55.0,D. Morris makes 3-pt shot from 22 ft (assist by S. Karasev),3,74-113,,
5:51.0,,,74-113,,LA Clippers full timeout
5:27.0,,,74-115,2,G. Davis makes 2-pt shot from 1 ft (assist by A. Rivers)
5:05.0,Turnover by S. Karasev (bad pass; steal by G. Davis),,74-115,,
4:59.0,,,74-115,,A. Rivers misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by M. Brown,,74-115,,
4:49.0,D. Morris makes 2-pt shot from 1 ft,2,76-115,,
4:25.0,,,76-115,,G. Davis misses 2-pt shot from 14 ft
4:23.0,,,76-115,,Offensive rebound by E. Udoh
4:18.0,,,76-115,,Turnover by A. Rivers (traveling)
4:03.0,C. Jefferson misses 2-pt shot from 13 ft,,76-115,,
4:02.0,,,76-115,,Defensive rebound by G. Davis
3:49.0,,,76-115,,A. Rivers misses 2-pt shot from 10 ft
3:47.0,Defensive rebound by C. Jefferson,,76-115,,
3:42.0,Shooting foul by C. Wilcox (drawn by M. Brown),,76-115,,
3:42.0,M. Brown misses free throw 1 of 2,,76-115,,
3:42.0,Offensive rebound by Team,,76-115,,
3:42.0,,,76-115,,Violation by A. Rivers (lane)
3:42.0,M. Brown makes free throw 2 of 2,1,77-115,,
