time,Portland,pts.away,score,pts.home,Milwaukee
2:36.0,C. McCollum enters the game for T. Robinson,,80-95,,
2:36.0,,,80-95,,B. Knight enters the game for J. Bayless
2:36.0,,,80-95,,G. Antetokounmpo enters the game for J. Dudley
2:28.0,N. Batum misses 3-pt shot from 23 ft,,80-95,,
2:27.0,,,80-95,,Defensive rebound by O. Mayo
2:06.0,,,80-95,,K. Middleton misses 2-pt shot from 19 ft
2:05.0,Defensive rebound by W. Matthews,,80-95,,
1:55.0,L. Aldridge misses 2-pt shot at rim,,80-95,,
1:52.0,Offensive rebound by Team,,80-95,,
1:52.0,Portland full timeout,,80-95,,
1:49.0,L. Aldridge misses 3-pt shot from 23 ft (block by J. Henson),,80-95,,
1:46.0,Offensive rebound by N. Batum,,80-95,,
1:40.0,D. Lillard misses 3-pt shot from 25 ft,,80-95,,
1:39.0,,,80-95,,Defensive rebound by G. Antetokounmpo
1:16.0,,,80-95,,K. Middleton misses 2-pt shot from 17 ft
1:15.0,Defensive rebound by L. Aldridge,,80-95,,
1:10.0,C. McCollum makes 2-pt shot at rim,2,82-95,,
1:05.0,Personal take foul by D. Lillard (drawn by O. Mayo),,82-95,,
1:05.0,M. Leonard enters the game for N. Batum,,82-95,,
1:05.0,T. Robinson enters the game for L. Aldridge,,82-95,,
1:05.0,V. Claver enters the game for W. Matthews,,82-95,,
1:05.0,A. Crabbe enters the game for D. Lillard,,82-95,,
1:05.0,,,82-95,,J. O'Bryant enters the game for J. Henson
1:05.0,,,82-95,,J. Gutierrez enters the game for O. Mayo
0:43.0,,,82-95,,Turnover by J. Gutierrez (bad pass; steal by A. Crabbe)
0:37.0,C. McCollum makes 2-pt shot at rim,2,84-95,,
0:37.0,Shooting foul by G. Antetokounmpo (drawn by C. McCollum),,84-95,,
0:37.0,C. McCollum makes free throw 1 of 1,1,85-95,,
0:17.0,,,85-95,,J. O'Bryant misses 2-pt shot from 17 ft
0:15.0,Defensive rebound by M. Leonard,,85-95,,
0:00.0,V. Claver makes 3-pt shot from 26 ft (assist by M. Leonard),3,88-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
