time,Charlotte,pts.away,score,pts.home,Brooklyn
6:21.0,B. Biyombo makes free throw 2 of 2,1,106-74,,
5:57.0,,,106-74,,M. Plumlee misses 2-pt shot from 6 ft
5:56.0,Defensive rebound by J. Maxiell,,106-74,,
5:41.0,L. Stephenson misses 2-pt shot at rim,,106-74,,
5:41.0,,,106-74,,Defensive rebound by Team
5:41.0,,,106-74,,Brooklyn full timeout
5:41.0,,,106-74,,J. Jordan enters the game for M. Plumlee
5:28.0,,,106-76,2,S. Karasev makes 2-pt shot from 18 ft
5:11.0,B. Roberts misses 3-pt shot from 24 ft,,106-76,,
5:10.0,,,106-76,,Defensive rebound by J. Jordan
5:00.0,,,106-76,,Shooting foul by B. Biyombo (drawn by J. Jordan)
5:00.0,,,106-77,1,J. Jordan makes free throw 1 of 2
5:00.0,T. Daniels enters the game for B. Roberts,,106-77,,
5:00.0,,,106-78,1,J. Jordan makes free throw 2 of 2
4:47.0,L. Stephenson makes 2-pt shot from 5 ft,2,108-78,,
4:31.0,,,108-78,,J. Jordan misses 2-pt shot from 2 ft
4:30.0,,,108-78,,Offensive rebound by Team
4:30.0,N. Vonleh enters the game for B. Biyombo,,108-78,,
4:23.0,,,108-80,2,S. Karasev makes 2-pt shot from 5 ft
4:05.0,T. Daniels misses 3-pt shot from 23 ft,,108-80,,
4:04.0,,,108-80,,Defensive rebound by C. Jefferson
3:57.0,,,108-80,,M. Brown misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by L. Stephenson,,108-80,,
3:44.0,J. Taylor misses 3-pt shot from 24 ft,,108-80,,
3:43.0,,,108-80,,Defensive rebound by J. Jordan
3:34.0,,,108-82,2,M. Brown makes 2-pt shot from 11 ft
3:17.0,L. Stephenson makes 2-pt shot from 13 ft,2,110-82,,
3:04.0,,,110-85,3,S. Karasev makes 3-pt shot from 24 ft (assist by D. Morris)
2:55.0,Offensive foul by T. Daniels,,110-85,,
2:55.0,Turnover by T. Daniels (offensive foul),,110-85,,
2:55.0,Charlotte full timeout,,110-85,,
2:49.0,Personal foul by J. Taylor (drawn by S. Karasev),,110-85,,
2:32.0,,,110-87,2,M. Brown makes 2-pt shot from 18 ft (assist by D. Morris)
2:13.0,T. Daniels makes 3-pt shot from 22 ft (assist by J. Taylor),3,113-87,,
2:05.0,,,113-87,,D. Morris misses 2-pt shot from 17 ft
2:03.0,,,113-87,,Offensive rebound by J. Jordan
2:02.0,,,113-87,,J. Jordan misses 2-pt shot from 1 ft
2:02.0,Defensive rebound by J. Taylor,,113-87,,
1:50.0,J. Taylor misses 3-pt shot from 25 ft,,113-87,,
1:49.0,,,113-87,,Defensive rebound by S. Karasev
1:45.0,,,113-87,,Turnover by M. Brown (lost ball)
1:25.0,J. Maxiell misses 2-pt shot from 14 ft,,113-87,,
1:24.0,,,113-87,,Defensive rebound by S. Karasev
1:17.0,,,113-89,2,J. Jordan makes 2-pt shot from 17 ft (assist by S. Karasev)
1:04.0,Turnover by J. Maxiell (traveling),,113-89,,
0:53.0,,,113-91,2,J. Jordan makes 2-pt shot from 6 ft (assist by S. Karasev)
0:37.0,J. Maxiell makes 2-pt shot from 8 ft,2,115-91,,
0:27.0,,,115-91,,M. Brown misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by L. Stephenson,,115-91,,
0:03.0,Turnover by Team (shot clock),,115-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
