time,New York,pts.away,score,pts.home,Sacramento
4:34.0,Defensive rebound by T. Hardaway,,100-105,,
4:31.0,Shooting foul by B. McLemore (drawn by T. Hardaway),,100-105,,
4:31.0,Official timeout,,100-105,,
4:31.0,T. Hardaway makes free throw 1 of 2,1,101-105,,
4:31.0,T. Hardaway makes free throw 2 of 2,1,102-105,,
4:10.0,,,102-108,3,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins)
3:55.0,S. Larkin misses 2-pt shot from 4 ft (block by D. Cousins),,102-108,,
3:53.0,,,102-108,,Defensive rebound by B. McLemore
3:40.0,,,102-108,,R. Gay misses 3-pt shot from 24 ft
3:39.0,,,102-108,,Offensive rebound by D. Cousins
3:39.0,,,102-108,,Shooting foul by C. Aldrich (drawn by D. Cousins)
3:39.0,,,102-109,1,D. Cousins makes free throw 1 of 2
3:39.0,,,102-109,,D. Cousins misses free throw 2 of 2
3:38.0,Defensive rebound by C. Anthony,,102-109,,
3:19.0,C. Anthony misses 2-pt shot from 14 ft,,102-109,,
3:18.0,,,102-109,,Defensive rebound by D. Cousins
3:00.0,,,102-109,,D. Cousins misses 2-pt shot from 4 ft
2:58.0,,,102-109,,Offensive rebound by D. Cousins
2:56.0,,,102-111,2,D. Cousins makes 2-pt shot from 3 ft
2:35.0,T. Hardaway makes 3-pt shot from 23 ft (assist by C. Aldrich),3,105-111,,
2:16.0,,,105-113,2,D. Cousins makes 2-pt shot from 14 ft (assist by D. Collison)
1:59.0,C. Anthony makes 3-pt shot from 23 ft (assist by J. Calderon),3,108-113,,
1:45.0,,,108-115,2,D. Cousins makes 2-pt shot from 14 ft (assist by D. Collison)
1:45.0,New York full timeout,,108-115,,
1:45.0,,,108-115,,Sacramento full timeout
1:32.0,,,108-115,,Personal foul by R. Gay (drawn by S. Larkin)
1:32.0,S. Larkin makes free throw 1 of 2,1,109-115,,
1:32.0,S. Larkin makes free throw 2 of 2,1,110-115,,
1:28.0,Personal foul by S. Larkin (drawn by D. Collison),,110-115,,
1:15.0,,,110-115,,Turnover by D. Cousins (lost ball; steal by S. Larkin)
1:02.0,C. Aldrich makes 2-pt shot from 7 ft (assist by J. Calderon),2,112-115,,
0:46.0,,,112-115,,Shooting foul by C. Aldrich (drawn by D. Cousins)
0:46.0,,,112-116,1,D. Cousins makes free throw 1 of 2
0:46.0,,,112-117,1,D. Cousins makes free throw 2 of 2
0:46.0,New York full timeout,,112-117,,
0:40.0,C. Anthony misses 2-pt shot from 3 ft,,112-117,,
0:38.0,Offensive rebound by C. Anthony,,112-117,,
0:38.0,C. Anthony misses 2-pt shot from 2 ft,,112-117,,
0:38.0,Offensive rebound by C. Aldrich,,112-117,,
0:38.0,,,112-117,,Violation by D. Cousins (def goaltending)
0:38.0,C. Aldrich makes 2-pt shot from 3 ft,2,114-117,,
0:38.0,Shooting foul by D. Collison (drawn by C. Aldrich),,114-117,,
0:38.0,C. Aldrich makes free throw 1 of 1,1,115-117,,
0:25.0,,,115-117,,Turnover by D. Cousins (bad pass; steal by S. Larkin)
0:20.0,T. Hardaway makes 2-pt shot from 3 ft,2,117-117,,
0:20.0,,,117-117,,Sacramento full timeout
0:02.0,,,117-117,,Turnover by R. Gay (lost ball; steal by C. Anthony)
0:01.0,New York full timeout,,117-117,,
0:00.0,C. Anthony misses 2-pt shot from 22 ft (block by R. Gay),,117-117,,
0:00.0,Offensive rebound by Team,,117-117,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: C. Aldrich vs. D. Cousins (R. Gay gains possession),,,,Jump ball: C. Aldrich vs. D. Cousins (R. Gay gains possession)
4:49.0,Personal foul by C. Aldrich (drawn by D. Cousins),,117-117,,
4:49.0,S. Dalembert enters the game for C. Aldrich,,117-117,,
4:45.0,,,117-117,,Turnover by D. Cousins (traveling)
4:24.0,T. Hardaway misses 2-pt shot from 19 ft,,117-117,,
4:24.0,,,117-117,,Defensive rebound by Team
4:24.0,Loose ball foul by S. Dalembert (drawn by D. Cousins),,117-117,,
4:05.0,,,117-117,,D. Cousins misses 2-pt shot from 9 ft (block by S. Dalembert)
4:04.0,Defensive rebound by C. Anthony,,117-117,,
3:58.0,Turnover by T. Hardaway (lost ball; steal by D. Collison),,117-117,,
3:52.0,Violation by S. Dalembert (def goaltending),,117-117,,
3:52.0,,,117-119,2,D. Cousins makes 2-pt shot from 3 ft
3:52.0,,,117-119,,Shooting foul by S. Dalembert (drawn by D. Cousins)
3:52.0,,,117-120,1,D. Cousins makes free throw 1 of 1
3:41.0,S. Dalembert makes 2-pt shot at rim (assist by J. Calderon),2,119-120,,
3:24.0,Personal foul by S. Dalembert (drawn by D. Cousins),,119-120,,
3:24.0,,,119-121,1,D. Cousins makes free throw 1 of 2
3:24.0,J. Smith enters the game for S. Dalembert,,119-121,,
3:24.0,,,119-122,1,D. Cousins makes free throw 2 of 2
3:13.0,C. Anthony makes 3-pt shot from 25 ft,3,122-122,,
2:57.0,,,122-122,,Turnover by R. Gay (bad pass; steal by S. Larkin)
2:55.0,S. Larkin makes 2-pt shot from 1 ft,2,124-122,,
2:34.0,,,124-122,,R. McCallum misses 2-pt shot from 1 ft
2:32.0,,,124-122,,Offensive rebound by R. McCallum
2:31.0,,,124-124,2,R. McCallum makes 2-pt shot from 2 ft
2:16.0,J. Calderon makes 2-pt shot from 6 ft,2,126-124,,
2:00.0,Personal foul by J. Smith (drawn by D. Cousins),,126-124,,
2:00.0,,,126-125,1,D. Cousins makes free throw 1 of 2
2:00.0,,,126-126,1,D. Cousins makes free throw 2 of 2
1:43.0,J. Calderon misses 2-pt shot from 12 ft (block by R. McCallum),,126-126,,
1:41.0,Offensive rebound by J. Smith,,126-126,,
1:37.0,J. Calderon misses 3-pt shot from 24 ft,,126-126,,
1:36.0,,,126-126,,Defensive rebound by Team
1:22.0,,,126-129,3,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins)
1:22.0,,,126-129,,Personal foul by D. Cousins (drawn by J. Smith)
1:22.0,Personal foul by J. Smith,,126-129,,
1:22.0,New York full timeout,,126-129,,
1:08.0,C. Anthony misses 2-pt shot from 15 ft,,126-129,,
1:07.0,,,126-129,,Defensive rebound by Team
0:53.0,,,126-131,2,D. Cousins makes 2-pt shot at rim (assist by R. McCallum)
0:44.0,Turnover by J. Smith (lost ball; steal by B. McLemore),,126-131,,
0:40.0,,,126-133,2,D. Collison makes 2-pt shot from 1 ft (assist by B. McLemore)
0:40.0,New York full timeout,,126-133,,
0:34.0,C. Anthony misses 2-pt shot from 2 ft,,126-133,,
0:34.0,,,126-133,,Defensive rebound by R. Gay
0:15.0,,,126-133,,D. Cousins misses 2-pt shot from 5 ft
0:15.0,,,126-133,,Offensive rebound by R. McCallum
0:15.0,,,126-135,2,R. McCallum makes 2-pt shot from 3 ft
0:08.0,T. Hardaway misses 3-pt shot from 24 ft,,126-135,,
0:07.0,Offensive rebound by J. Smith,,126-135,,
0:05.0,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Smith),3,129-135,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
