time,LA Lakers,pts.away,score,pts.home,Philadelphia
5:54.0,,,83-89,1,T. Robinson makes free throw 2 of 2
5:42.0,Shooting foul by R. Covington (drawn by J. Hill),,83-89,,
5:42.0,J. Hill makes free throw 1 of 2,1,84-89,,
5:42.0,J. Hill misses free throw 2 of 2,,84-89,,
5:39.0,,,84-89,,Defensive rebound by T. Robinson
5:18.0,,,84-92,3,I. Canaan makes 3-pt shot from 25 ft (assist by R. Covington)
5:04.0,W. Ellington makes 3-pt shot from 25 ft,3,87-92,,
4:34.0,,,87-92,,Turnover by Team (shot clock)
4:34.0,J. Clarkson enters the game for W. Johnson,,87-92,,
4:22.0,Shooting foul by N. Noel (drawn by J. Hill),,87-92,,
4:22.0,J. Hill misses free throw 1 of 2,,87-92,,
4:22.0,Offensive rebound by Team,,87-92,,
4:22.0,,,87-92,,F. Aldemir enters the game for T. Robinson
4:22.0,J. Hill misses free throw 2 of 2,,87-92,,
4:20.0,,,87-92,,Defensive rebound by F. Aldemir
4:07.0,Personal foul by J. Hill (drawn by N. Noel),,87-92,,
4:07.0,,,87-92,,N. Noel misses free throw 1 of 2
4:07.0,,,87-92,,Offensive rebound by Team
4:07.0,,,87-92,,N. Noel misses free throw 2 of 2
4:06.0,Defensive rebound by R. Kelly,,87-92,,
3:47.0,J. Hill misses 2-pt shot from 5 ft,,87-92,,
3:46.0,,,87-92,,Defensive rebound by I. Smith
3:39.0,,,87-92,,Turnover by F. Aldemir (bad pass; steal by J. Hill)
3:19.0,,,87-92,,Violation by N. Noel (def goaltending)
3:19.0,J. Hill makes 2-pt shot from 2 ft (assist by J. Clarkson),2,89-92,,
2:58.0,,,89-95,3,I. Smith makes 3-pt shot from 23 ft (assist by N. Noel)
2:36.0,J. Clarkson makes 2-pt shot from 3 ft,2,91-95,,
2:07.0,,,91-95,,I. Smith misses 2-pt shot from 5 ft
2:05.0,Defensive rebound by J. Hill,,91-95,,
2:03.0,Shooting foul by I. Canaan (drawn by J. Brown),,91-95,,
2:03.0,LA Lakers full timeout,,91-95,,
2:03.0,J. Brown makes free throw 1 of 2,1,92-95,,
2:03.0,J. Brown makes free throw 2 of 2,1,93-95,,
1:50.0,,,93-98,3,R. Covington makes 3-pt shot from 22 ft (assist by I. Canaan)
1:34.0,R. Kelly makes 3-pt shot from 25 ft (assist by J. Clarkson),3,96-98,,
1:10.0,,,96-98,,R. Covington misses 3-pt shot from 28 ft
1:09.0,Defensive rebound by J. Hill,,96-98,,
0:50.0,J. Clarkson makes 2-pt shot from 5 ft (assist by R. Kelly),2,98-98,,
0:50.0,,,98-98,,Philadelphia full timeout
0:32.0,,,98-100,2,I. Smith makes 2-pt shot from 4 ft
0:22.0,Shooting foul by I. Smith (drawn by J. Clarkson),,98-100,,
0:22.0,J. Clarkson makes free throw 1 of 2,1,99-100,,
0:22.0,J. Clarkson makes free throw 2 of 2,1,100-100,,
0:22.0,,,100-100,,Philadelphia full timeout
0:22.0,,,100-100,,H. Thompson enters the game for F. Aldemir
0:18.0,,,100-100,,Shooting foul by J. Hill (drawn by N. Noel)
0:18.0,R. Sacre enters the game for J. Hill,,100-100,,
0:18.0,,,100-101,1,N. Noel makes free throw 1 of 2
0:18.0,,,100-101,,F. Aldemir enters the game for H. Thompson
0:18.0,,,100-102,1,N. Noel makes free throw 2 of 2
0:18.0,LA Lakers full timeout,,100-102,,
0:18.0,,,100-102,,J. Sampson enters the game for I. Smith
0:18.0,,,100-102,,H. Thompson enters the game for I. Canaan
0:15.0,LA Lakers full timeout,,100-102,,
0:11.0,Shooting foul by F. Aldemir (drawn by J. Clarkson),,100-102,,
0:11.0,J. Clarkson makes free throw 1 of 2,1,101-102,,
0:11.0,,,101-102,,I. Canaan enters the game for F. Aldemir
0:11.0,J. Clarkson makes free throw 2 of 2,1,102-102,,
0:11.0,,,102-102,,Philadelphia full timeout
0:11.0,W. Johnson enters the game for R. Sacre,,102-102,,
0:11.0,,,102-102,,I. Smith enters the game for J. Sampson
0:01.0,,,102-102,,I. Smith misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by R. Kelly,,102-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: R. Kelly vs. N. Noel (I. Smith gains possession),,,,Jump ball: R. Kelly vs. N. Noel (I. Smith gains possession)
4:40.0,,,102-102,,R. Covington misses 2-pt shot from 2 ft (block by W. Johnson)
4:40.0,,,102-102,,Offensive rebound by Team
4:35.0,,,102-102,,I. Smith misses 2-pt shot from 12 ft
4:33.0,,,102-102,,Offensive rebound by Team
4:33.0,,,102-102,,Turnover by Team (shot clock)
4:19.0,Turnover by W. Ellington (lost ball; steal by J. Sampson),,102-102,,
4:17.0,,,102-102,,Shooting foul by J. Clarkson (drawn by J. Sampson)
4:17.0,,,102-102,,J. Sampson misses free throw 1 of 2
4:17.0,,,102-102,,Offensive rebound by Team
4:17.0,,,102-103,1,J. Sampson makes free throw 2 of 2
3:59.0,Turnover by W. Johnson (lost ball),,102-103,,
3:48.0,,,102-103,,Turnover by N. Noel (traveling)
3:30.0,W. Ellington makes 2-pt shot from 1 ft (assist by J. Brown),2,104-103,,
3:06.0,,,104-103,,R. Covington misses 3-pt shot from 25 ft
3:04.0,,,104-103,,Offensive rebound by N. Noel
3:03.0,,,104-103,,Turnover by N. Noel (bad pass; steal by J. Brown)
2:57.0,J. Brown makes 2-pt shot at rim (assist by J. Clarkson),2,106-103,,
2:57.0,,,106-103,,Philadelphia full timeout
2:38.0,,,106-105,2,R. Covington makes 2-pt shot from 3 ft (assist by J. Sampson)
2:19.0,W. Ellington makes 2-pt shot from 20 ft (assist by J. Clarkson),2,108-105,,
1:57.0,,,108-105,,N. Noel misses 2-pt shot from 4 ft
1:55.0,,,108-105,,Offensive rebound by T. Robinson
1:54.0,,,108-105,,T. Robinson misses 2-pt shot from 1 ft (block by W. Johnson)
1:53.0,Defensive rebound by R. Kelly,,108-105,,
1:53.0,,,108-105,,Personal foul by T. Robinson (drawn by R. Kelly)
1:41.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Clarkson),3,111-105,,
1:28.0,,,111-105,,I. Smith misses 2-pt shot from 4 ft (block by R. Kelly)
1:26.0,,,111-105,,Offensive rebound by I. Smith
1:26.0,,,111-107,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
1:08.0,W. Johnson misses 3-pt shot from 26 ft,,111-107,,
1:07.0,,,111-107,,Defensive rebound by R. Covington
0:59.0,,,111-107,,R. Covington misses 2-pt shot from 4 ft
0:58.0,,,111-107,,Offensive rebound by N. Noel
0:58.0,,,111-109,2,N. Noel makes 2-pt shot from 1 ft
0:39.0,Turnover by J. Clarkson (bad pass; steal by J. Sampson),,111-109,,
0:32.0,,,111-109,,Philadelphia full timeout
0:32.0,,,111-109,,I. Canaan enters the game for J. Sampson
0:32.0,,,111-109,,H. Thompson enters the game for T. Robinson
0:25.0,,,111-109,,Shooting foul by R. Kelly (drawn by N. Noel)
0:25.0,,,111-109,,N. Noel misses free throw 1 of 2
0:25.0,,,111-109,,Offensive rebound by Team
0:25.0,,,111-109,,N. Noel misses free throw 2 of 2
0:23.0,,,111-109,,Offensive rebound by H. Thompson
0:21.0,,,111-109,,Philadelphia full timeout
0:13.0,,,111-111,2,N. Noel makes 2-pt shot from 4 ft (assist by H. Thompson)
0:01.0,J. Clarkson makes 2-pt shot from 2 ft (assist by W. Ellington),2,113-111,,
0:00.0,,,113-111,,R. Covington misses 3-pt shot from 62 ft
0:00.0,,,113-111,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
