time,Oklahoma City,pts.away,score,pts.home,Detroit
4:59.0,Jump ball: K. Durant vs. J. Smith (K. Singler gains possession),,,,Jump ball: K. Durant vs. J. Smith (K. Singler gains possession)
4:50.0,,,90-86,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by B. Jennings)
4:36.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,92-86,,
4:36.0,Shooting foul by A. Drummond (drawn by K. Durant),,92-86,,
4:36.0,K. Durant makes free throw 1 of 1,1,93-86,,
4:18.0,,,93-86,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by R. Jackson,,93-86,,
3:58.0,J. Lamb misses 3-pt shot from 23 ft,,93-86,,
3:57.0,,,93-86,,Defensive rebound by J. Smith
3:53.0,,,93-86,,Shooting foul by J. Lamb (drawn by A. Drummond)
3:53.0,,,93-87,1,A. Drummond makes free throw 1 of 2
3:53.0,,,93-87,,A. Drummond misses free throw 2 of 2
3:52.0,Defensive rebound by R. Westbrook,,93-87,,
3:35.0,S. Ibaka misses 2-pt shot from 4 ft,,93-87,,
3:31.0,,,93-87,,Defensive rebound by A. Drummond
3:25.0,,,93-87,,J. Smith misses 2-pt shot from 5 ft
3:20.0,,,93-87,,Offensive rebound by A. Drummond
3:19.0,,,93-89,2,A. Drummond makes 2-pt shot at rim
2:59.0,K. Durant misses 2-pt shot from 10 ft,,93-89,,
2:57.0,,,93-89,,Defensive rebound by A. Drummond
2:51.0,,,93-89,,J. Smith misses 2-pt shot from 4 ft
2:50.0,Defensive rebound by S. Ibaka,,93-89,,
2:34.0,R. Westbrook misses 2-pt shot from 18 ft,,93-89,,
2:33.0,,,93-89,,Defensive rebound by B. Jennings
2:28.0,Personal foul by J. Lamb (drawn by B. Jennings),,93-89,,
2:28.0,Official timeout,,93-89,,
2:28.0,S. Adams enters the game for J. Lamb,,93-89,,
2:18.0,,,93-92,3,K. Singler makes 3-pt shot from 22 ft (assist by J. Smith)
2:01.0,K. Durant makes 3-pt shot from 26 ft (assist by R. Jackson),3,96-92,,
1:43.0,,,96-92,,A. Drummond misses 2-pt shot from 6 ft
1:42.0,Defensive rebound by R. Westbrook,,96-92,,
1:20.0,Turnover by S. Ibaka (bad pass),,96-92,,
1:04.0,,,96-92,,Turnover by J. Smith (lost ball)
0:46.0,Turnover by K. Durant (bad pass; steal by A. Drummond),,96-92,,
0:32.0,,,96-94,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
0:11.0,R. Westbrook misses 2-pt shot from 16 ft,,96-94,,
0:10.0,,,96-94,,Defensive rebound by B. Jennings
0:02.0,,,96-94,,J. Smith misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by Team,,96-94,,
0:01.0,Oklahoma City full timeout,,96-94,,
0:01.0,A. Roberson enters the game for S. Ibaka,,96-94,,
0:01.0,A. Morrow enters the game for S. Adams,,96-94,,
0:01.0,,,96-94,,C. Martin enters the game for A. Drummond
0:01.0,,,96-94,,Personal foul by K. Singler (drawn by K. Durant)
0:00.0,End of 4th quarter,,,,End of 4th quarter
