time,Philadelphia,pts.away,score,pts.home,Portland
5:27.0,,,86-103,2,D. Lillard makes 2-pt shot from 1 ft (assist by W. Matthews)
5:27.0,Philadelphia full timeout,,86-103,,
5:27.0,Official timeout,,86-103,,
5:27.0,K. McDaniels enters the game for J. Sampson,,86-103,,
5:13.0,R. Covington misses 3-pt shot from 24 ft,,86-103,,
5:12.0,,,86-103,,Defensive rebound by D. Lillard
4:48.0,,,86-106,3,D. Lillard makes 3-pt shot from 25 ft
4:38.0,Shooting foul by D. Lillard (drawn by M. Carter-Williams),,86-106,,
4:38.0,M. Carter-Williams misses free throw 1 of 2,,86-106,,
4:38.0,Offensive rebound by Team,,86-106,,
4:38.0,,,86-106,,W. Barton enters the game for N. Batum
4:38.0,F. Aldemir enters the game for N. Noel,,86-106,,
4:38.0,M. Carter-Williams misses free throw 2 of 2,,86-106,,
4:37.0,,,86-106,,Defensive rebound by T. Robinson
4:25.0,,,86-106,,D. Wright misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by M. Carter-Williams,,86-106,,
4:19.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by T. Robinson),,86-106,,
4:17.0,,,86-106,,Defensive rebound by D. Lillard
4:04.0,,,86-106,,Turnover by D. Lillard (step out of bounds)
4:04.0,J. Grant enters the game for M. Carter-Williams,,86-106,,
3:51.0,T. Wroten misses 2-pt shot from 1 ft (block by T. Robinson),,86-106,,
3:49.0,,,86-106,,Defensive rebound by W. Barton
3:41.0,,,86-106,,W. Matthews misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by F. Aldemir,,86-106,,
3:31.0,,,86-106,,Personal foul by D. Wright (drawn by K. McDaniels)
3:31.0,K. McDaniels misses free throw 1 of 2,,86-106,,
3:31.0,Offensive rebound by Team,,86-106,,
3:31.0,,,86-106,,C. McCollum enters the game for D. Lillard
3:31.0,,,86-106,,A. Crabbe enters the game for W. Matthews
3:31.0,,,86-106,,V. Claver enters the game for D. Wright
3:31.0,K. McDaniels misses free throw 2 of 2,,86-106,,
3:30.0,,,86-106,,Defensive rebound by W. Barton
3:21.0,,,86-106,,W. Barton misses 3-pt shot from 24 ft
3:19.0,,,86-106,,Offensive rebound by V. Claver
3:19.0,,,86-106,,V. Claver misses 2-pt shot at rim
3:18.0,Defensive rebound by K. McDaniels,,86-106,,
3:14.0,,,86-106,,Personal foul by A. Crabbe (drawn by K. McDaniels)
3:14.0,K. McDaniels makes free throw 1 of 2,1,87-106,,
3:14.0,J. Sampson enters the game for R. Covington,,87-106,,
3:14.0,K. McDaniels makes free throw 2 of 2,1,88-106,,
3:03.0,Personal foul by F. Aldemir (drawn by T. Robinson),,88-106,,
3:03.0,M. Thomas enters the game for K. McDaniels,,88-106,,
3:03.0,,,88-106,,Portland full timeout
3:03.0,K. McDaniels enters the game for T. Wroten,,88-106,,
2:53.0,,,88-106,,T. Robinson misses 2-pt shot from 4 ft (block by K. McDaniels)
2:52.0,Defensive rebound by J. Sampson,,88-106,,
2:46.0,Shooting foul by V. Claver (drawn by J. Sampson),,88-106,,
2:46.0,J. Sampson misses free throw 1 of 2,,88-106,,
2:46.0,Offensive rebound by Team,,88-106,,
2:46.0,J. Sampson makes free throw 2 of 2,1,89-106,,
2:26.0,,,89-108,2,W. Barton makes 2-pt shot from 21 ft
2:12.0,Turnover by J. Sampson (lost ball; steal by C. McCollum),,89-108,,
2:02.0,,,89-108,,C. McCollum misses 2-pt shot from 21 ft (block by J. Grant)
2:01.0,Defensive rebound by F. Aldemir,,89-108,,
1:55.0,K. McDaniels makes 2-pt shot from 1 ft,2,91-108,,
1:39.0,,,91-110,2,W. Barton makes 2-pt shot from 16 ft
1:26.0,K. McDaniels misses 2-pt shot from 2 ft,,91-110,,
1:26.0,,,91-110,,Defensive rebound by Team
1:13.0,,,91-112,2,T. Robinson makes 2-pt shot at rim (assist by A. Crabbe)
0:59.0,Turnover by K. McDaniels (lost ball),,91-112,,
0:52.0,,,91-114,2,T. Robinson makes 2-pt shot at rim (assist by C. McCollum)
0:30.0,Turnover by J. Sampson (bad pass; steal by W. Barton),,91-114,,
0:26.0,,,91-114,,Turnover by T. Robinson (bad pass)
0:08.0,Shooting foul by T. Robinson (drawn by K. McDaniels),,91-114,,
0:08.0,K. McDaniels makes free throw 1 of 2,1,92-114,,
0:08.0,K. McDaniels makes free throw 2 of 2,1,93-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
