time,Minnesota,pts.away,score,pts.home,Brooklyn
3:26.0,Defensive rebound by A. Wiggins,,84-86,,
3:10.0,N. Pekovic misses 2-pt shot from 6 ft,,84-86,,
3:09.0,,,84-86,,Defensive rebound by K. Garnett
3:02.0,Personal foul by N. Pekovic (drawn by B. Lopez),,84-86,,
2:53.0,,,84-86,,J. Johnson misses 2-pt shot from 3 ft
2:52.0,,,84-86,,Offensive rebound by J. Johnson
2:51.0,,,84-88,2,J. Johnson makes 2-pt shot from 2 ft
2:36.0,R. Rubio makes 2-pt shot from 20 ft (assist by K. Martin),2,86-88,,
2:21.0,,,86-88,,D. Williams misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by T. Young,,86-88,,
2:10.0,K. Martin makes 3-pt shot from 23 ft (assist by R. Rubio),3,89-88,,
1:57.0,Personal foul by R. Rubio (drawn by J. Johnson),,89-88,,
1:57.0,,,89-89,1,J. Johnson makes free throw 1 of 2
1:57.0,,,89-89,,A. Anderson enters the game for J. Jack
1:57.0,,,89-89,,J. Johnson misses free throw 2 of 2
1:56.0,Defensive rebound by R. Rubio,,89-89,,
1:45.0,K. Martin misses 3-pt shot from 24 ft,,89-89,,
1:43.0,,,89-89,,Defensive rebound by K. Garnett
1:28.0,,,89-91,2,J. Johnson makes 2-pt shot from 7 ft
1:17.0,R. Rubio makes 2-pt shot from 2 ft,2,91-91,,
1:04.0,,,91-91,,Turnover by J. Johnson (lost ball; steal by T. Young)
0:49.0,N. Pekovic makes 2-pt shot from 2 ft,2,93-91,,
0:49.0,Shooting foul by B. Lopez (drawn by N. Pekovic),,93-91,,
0:49.0,,,93-91,,J. Jack enters the game for A. Anderson
0:49.0,N. Pekovic makes free throw 1 of 1,1,94-91,,
0:49.0,,,94-91,,Brooklyn full timeout
0:49.0,,,94-91,,M. Teletovic enters the game for K. Garnett
0:49.0,,,94-91,,Offensive foul by B. Lopez (drawn by N. Pekovic)
0:49.0,,,94-91,,Turnover by B. Lopez (offensive foul)
0:27.0,T. Young makes 2-pt shot from 7 ft (assist by R. Rubio),2,96-91,,
0:27.0,,,96-91,,Brooklyn full timeout
0:23.0,,,96-91,,J. Johnson misses 3-pt shot from 27 ft
0:21.0,,,96-91,,Offensive rebound by Team
0:16.0,,,96-91,,J. Johnson misses 2-pt shot from 1 ft
0:15.0,Defensive rebound by A. Wiggins,,96-91,,
0:12.0,,,96-91,,Personal foul by J. Jack (drawn by K. Martin)
0:12.0,K. Martin makes free throw 1 of 2,1,97-91,,
0:12.0,K. Martin makes free throw 2 of 2,1,98-91,,
0:06.0,,,98-91,,D. Williams misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by K. Martin,,98-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
