time,LA Lakers,pts.away,score,pts.home,Charlotte
0:31.0,Defensive rebound by J. Hill,,94-98,,
0:23.0,J. Hill misses 2-pt shot from 19 ft,,94-98,,
0:21.0,,,94-98,,Defensive rebound by M. Williams
0:19.0,Personal take foul by W. Johnson (drawn by M. Williams),,94-98,,
0:19.0,,,94-99,1,M. Williams makes free throw 1 of 2
0:19.0,,,94-100,1,M. Williams makes free throw 2 of 2
0:19.0,LA Lakers full timeout,,94-100,,
0:19.0,,,94-100,,C. Zeller enters the game for A. Jefferson
0:19.0,,,94-100,,J. Taylor enters the game for M. Williams
0:15.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Lin),,94-100,,
0:15.0,J. Lin makes free throw 1 of 2,1,95-100,,
0:15.0,,,95-100,,M. Williams enters the game for C. Zeller
0:15.0,,,95-100,,A. Jefferson enters the game for J. Taylor
0:15.0,J. Lin makes free throw 2 of 2,1,96-100,,
0:15.0,,,96-100,,Charlotte full timeout
0:14.0,Personal foul by J. Clarkson (drawn by G. Henderson),,96-100,,
0:14.0,,,96-100,,G. Henderson misses free throw 1 of 2
0:14.0,,,96-100,,Offensive rebound by Team
0:14.0,,,96-100,,C. Zeller enters the game for A. Jefferson
0:14.0,,,96-100,,J. Taylor enters the game for M. Williams
0:14.0,,,96-101,1,G. Henderson makes free throw 2 of 2
0:14.0,LA Lakers full timeout,,96-101,,
0:09.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Hill),2,98-101,,
0:09.0,,,98-101,,Charlotte full timeout
0:09.0,,,98-101,,M. Williams enters the game for C. Zeller
0:09.0,,,98-101,,A. Jefferson enters the game for J. Taylor
0:08.0,Personal foul by W. Johnson (drawn by M. Williams),,98-101,,
0:08.0,,,98-102,1,M. Williams makes free throw 1 of 2
0:08.0,,,98-102,,C. Zeller enters the game for A. Jefferson
0:08.0,,,98-103,1,M. Williams makes free throw 2 of 2
0:08.0,LA Lakers full timeout,,98-103,,
0:05.0,J. Hill makes 2-pt shot from 1 ft (assist by W. Johnson),2,100-103,,
0:04.0,Personal take foul by J. Clarkson (drawn by M. Williams),,100-103,,
0:04.0,,,100-103,,M. Williams misses free throw 1 of 2
0:04.0,,,100-103,,Offensive rebound by Team
0:04.0,,,100-104,1,M. Williams makes free throw 2 of 2
0:00.0,J. Lin makes 3-pt shot from 26 ft,3,103-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
