time,Milwaukee,pts.away,score,pts.home,Minnesota
5:33.0,Shooting foul by T. Young (drawn by B. Knight),,87-83,,
5:33.0,,,87-83,,Minnesota full timeout
5:33.0,B. Knight makes free throw 1 of 2,1,88-83,,
5:33.0,,,88-83,,G. Dieng enters the game for R. Hummel
5:33.0,B. Knight makes free throw 2 of 2,1,89-83,,
5:11.0,,,89-83,,C. Brewer misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by J. Parker,,89-83,,
5:04.0,Turnover by O. Mayo (lost ball; steal by C. Brewer),,89-83,,
4:59.0,,,89-83,,Shooting foul by L. Sanders (drawn by T. Young)
4:59.0,,,89-83,,T. Young misses free throw 1 of 2
4:59.0,,,89-83,,Offensive rebound by Team
4:59.0,,,89-84,1,T. Young makes free throw 2 of 2
4:50.0,,,89-84,,Shooting block foul by Z. LaVine (drawn by B. Knight)
4:50.0,B. Knight makes free throw 1 of 2,1,90-84,,
4:50.0,B. Knight makes free throw 2 of 2,1,91-84,,
4:40.0,,,91-84,,Turnover by Z. LaVine (lost ball)
4:33.0,,,91-84,,Personal foul by C. Brewer (drawn by B. Knight)
4:33.0,B. Knight makes free throw 1 of 2,1,92-84,,
4:33.0,B. Knight makes free throw 2 of 2,1,93-84,,
4:17.0,Personal foul by J. Parker (drawn by T. Young),,93-84,,
4:17.0,,,93-84,,Minnesota full timeout
4:10.0,,,93-84,,C. Brewer misses 2-pt shot from 1 ft
4:10.0,,,93-84,,Offensive rebound by Team
4:07.0,,,93-84,,A. Wiggins misses 2-pt shot from 20 ft
4:06.0,Defensive rebound by Team,,93-84,,
4:06.0,,,93-84,,Loose ball foul by C. Brewer (drawn by G. Antetokounmpo)
4:06.0,G. Antetokounmpo misses free throw 1 of 2,,93-84,,
4:06.0,Offensive rebound by Team,,93-84,,
4:06.0,G. Antetokounmpo makes free throw 2 of 2,1,94-84,,
3:53.0,,,94-84,,Turnover by A. Wiggins (bad pass; steal by B. Knight)
3:37.0,,,94-84,,Personal foul by Z. LaVine (drawn by B. Knight)
3:37.0,B. Knight makes free throw 1 of 2,1,95-84,,
3:37.0,B. Knight makes free throw 2 of 2,1,96-84,,
3:25.0,,,96-84,,Turnover by Z. LaVine (bad pass; steal by B. Knight)
3:22.0,B. Knight makes 2-pt shot at rim,2,98-84,,
3:22.0,,,98-84,,Minnesota full timeout
3:13.0,,,98-84,,Z. LaVine misses 2-pt shot at rim (block by O. Mayo)
3:12.0,Defensive rebound by O. Mayo,,98-84,,
3:11.0,,,98-84,,Personal foul by G. Dieng (drawn by O. Mayo)
3:11.0,O. Mayo makes free throw 1 of 2,1,99-84,,
3:11.0,O. Mayo makes free throw 2 of 2,1,100-84,,
2:53.0,,,100-84,,G. Dieng misses 2-pt shot from 6 ft
2:49.0,,,100-84,,Offensive rebound by C. Brewer
2:43.0,,,100-84,,A. Wiggins misses 3-pt shot from 25 ft
2:41.0,,,100-84,,Offensive rebound by G. Dieng
2:40.0,,,100-86,2,G. Dieng makes 2-pt shot from 1 ft
2:13.0,O. Mayo makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,103-86,,
2:01.0,Personal foul by J. Parker (drawn by T. Young),,103-86,,
2:01.0,,,103-86,,T. Young misses free throw 1 of 2
2:01.0,,,103-86,,Offensive rebound by Team
2:01.0,K. Middleton enters the game for B. Knight,,103-86,,
2:01.0,J. Bayless enters the game for O. Mayo,,103-86,,
2:01.0,Z. Pachulia enters the game for L. Sanders,,103-86,,
2:01.0,,,103-86,,A. Bennett enters the game for G. Dieng
2:01.0,,,103-86,,G. Robinson enters the game for C. Brewer
2:01.0,,,103-86,,T. Young misses free throw 2 of 2
2:00.0,Defensive rebound by J. Parker,,103-86,,
1:38.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,103-86,,
1:38.0,,,103-86,,Defensive rebound by Team
1:38.0,,,103-86,,R. Hummel enters the game for T. Young
1:38.0,K. Marshall enters the game for G. Antetokounmpo,,103-86,,
1:20.0,,,103-86,,Turnover by A. Wiggins (bad pass; steal by J. Bayless)
1:07.0,Turnover by J. Bayless (discontinued dribble),,103-86,,
0:52.0,,,103-86,,A. Wiggins misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by Z. Pachulia,,103-86,,
0:35.0,K. Middleton misses 3-pt shot from 23 ft,,103-86,,
0:33.0,,,103-86,,Defensive rebound by G. Robinson
0:25.0,,,103-86,,Z. LaVine misses 2-pt shot from 21 ft
0:24.0,Defensive rebound by Z. Pachulia,,103-86,,
0:00.0,Turnover by Team (shot clock),,103-86,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
