time,LA Lakers,pts.away,score,pts.home,Portland
1:46.0,,,65-83,,L. Aldridge misses 2-pt shot from 8 ft
1:45.0,Defensive rebound by C. Boozer,,65-83,,
1:34.0,,,65-83,,Personal foul by S. Blake (drawn by J. Lin)
1:28.0,Turnover by C. Boozer (bad pass; steal by W. Matthews),,65-83,,
1:22.0,,,65-86,3,C. McCollum makes 3-pt shot from 23 ft (assist by W. Matthews)
1:02.0,W. Johnson misses 3-pt shot from 24 ft,,65-86,,
1:00.0,Offensive rebound by N. Young,,65-86,,
1:00.0,N. Young misses 2-pt shot from 4 ft,,65-86,,
0:58.0,,,65-86,,Defensive rebound by L. Aldridge
0:50.0,,,65-86,,C. McCollum misses 3-pt shot from 22 ft
0:49.0,,,65-86,,Offensive rebound by M. Leonard
0:36.0,,,65-86,,S. Blake misses 2-pt shot from 17 ft
0:35.0,,,65-86,,Offensive rebound by L. Aldridge
0:35.0,,,65-86,,L. Aldridge misses 2-pt shot at rim
0:33.0,Defensive rebound by E. Davis,,65-86,,
0:13.0,N. Young misses 2-pt shot from 5 ft,,65-86,,
0:10.0,Offensive rebound by C. Boozer,,65-86,,
0:10.0,C. Boozer misses 2-pt shot from 3 ft,,65-86,,
0:08.0,Offensive rebound by E. Davis,,65-86,,
0:08.0,E. Davis misses 2-pt shot at rim,,65-86,,
0:07.0,,,65-86,,Defensive rebound by L. Aldridge
0:00.0,Personal foul by N. Young (drawn by S. Blake),,65-86,,
0:00.0,,,65-87,1,S. Blake makes free throw 1 of 2
0:00.0,,,65-88,1,S. Blake makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,65-88,,C. McCollum misses 3-pt shot from 24 ft (block by E. Davis)
11:43.0,Defensive rebound by W. Ellington,,65-88,,
11:28.0,W. Johnson misses 2-pt shot from 20 ft,,65-88,,
11:28.0,,,65-88,,Defensive rebound by R. Lopez
11:11.0,,,65-88,,W. Matthews misses 2-pt shot from 3 ft
11:09.0,Defensive rebound by W. Ellington,,65-88,,
10:59.0,W. Ellington makes 2-pt shot from 22 ft (assist by J. Lin),2,67-88,,
10:41.0,,,67-88,,M. Leonard misses 3-pt shot from 24 ft
10:40.0,,,67-88,,Offensive rebound by R. Lopez
10:38.0,,,67-88,,R. Lopez misses 2-pt shot from 3 ft
10:37.0,Defensive rebound by W. Ellington,,67-88,,
10:34.0,Offensive charge foul by E. Davis,,67-88,,
10:34.0,Turnover by E. Davis (offensive foul),,67-88,,
10:20.0,,,67-90,2,R. Lopez makes 2-pt shot at rim (assist by C. McCollum)
10:02.0,C. Boozer misses 2-pt shot from 17 ft,,67-90,,
10:01.0,,,67-90,,Defensive rebound by W. Matthews
9:53.0,,,67-90,,Turnover by W. Matthews (lost ball; steal by W. Ellington)
9:53.0,,,67-90,,Personal foul by W. Matthews (drawn by W. Ellington)
9:40.0,E. Davis makes 2-pt shot from 4 ft,2,69-90,,
9:26.0,,,69-90,,R. Lopez misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by C. Boozer,,69-90,,
9:12.0,J. Lin misses 2-pt shot from 19 ft,,69-90,,
9:11.0,Offensive rebound by E. Davis,,69-90,,
9:07.0,W. Ellington makes 3-pt shot from 23 ft (assist by E. Davis),3,72-90,,
8:53.0,Personal foul by C. Boozer (drawn by M. Leonard),,72-90,,
8:53.0,Official timeout,,72-90,,
8:53.0,,,72-90,,N. Batum enters the game for W. Matthews
8:47.0,,,72-93,3,S. Blake makes 3-pt shot from 24 ft (assist by R. Lopez)
8:29.0,W. Johnson makes 2-pt shot from 17 ft (assist by C. Boozer),2,74-93,,
8:13.0,,,74-93,,Shooting foul by C. Boozer (drawn by R. Lopez)
8:13.0,,,74-93,,R. Lopez misses free throw 1 of 2
8:13.0,,,74-93,,Offensive rebound by Team
8:13.0,,,74-94,1,R. Lopez makes free throw 2 of 2
7:58.0,W. Johnson misses 2-pt shot from 17 ft,,74-94,,
7:56.0,,,74-94,,Defensive rebound by Team
7:50.0,Loose ball foul by E. Davis (drawn by M. Leonard),,74-94,,
7:43.0,,,74-94,,S. Blake misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by E. Davis,,74-94,,
7:33.0,J. Lin misses 2-pt shot from 1 ft,,74-94,,
7:31.0,,,74-94,,Defensive rebound by R. Lopez
7:23.0,,,74-94,,Turnover by R. Lopez (lost ball)
7:08.0,J. Lin misses 2-pt shot from 17 ft,,74-94,,
7:07.0,Offensive rebound by C. Boozer,,74-94,,
7:05.0,C. Boozer misses 2-pt shot from 2 ft (block by R. Lopez),,74-94,,
7:04.0,,,74-94,,Defensive rebound by C. McCollum
7:00.0,,,74-94,,C. McCollum misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by E. Davis,,74-94,,
6:52.0,W. Johnson makes 3-pt shot from 23 ft (assist by W. Ellington),3,77-94,,
6:52.0,,,77-94,,Portland full timeout
6:52.0,,,77-94,,T. Robinson enters the game for R. Lopez
6:40.0,,,77-97,3,M. Leonard makes 3-pt shot from 23 ft (assist by N. Batum)
6:20.0,C. Boozer misses 2-pt shot from 12 ft,,77-97,,
6:19.0,,,77-97,,Defensive rebound by C. McCollum
5:56.0,,,77-97,,C. McCollum misses 2-pt shot from 1 ft
5:54.0,,,77-97,,Offensive rebound by M. Leonard
5:40.0,,,77-97,,T. Robinson misses 2-pt shot from 18 ft
5:38.0,Defensive rebound by W. Ellington,,77-97,,
5:33.0,,,77-97,,Personal foul by C. McCollum (drawn by W. Ellington)
5:33.0,R. Kelly enters the game for C. Boozer,,77-97,,
5:33.0,R. Sacre enters the game for E. Davis,,77-97,,
5:33.0,J. Clarkson enters the game for W. Johnson,,77-97,,
5:33.0,T. Black enters the game for J. Lin,,77-97,,
5:16.0,R. Sacre misses 2-pt shot from 19 ft,,77-97,,
5:15.0,,,77-97,,Defensive rebound by N. Batum
4:52.0,,,77-97,,C. McCollum misses 2-pt shot from 17 ft
4:51.0,Defensive rebound by T. Black,,77-97,,
4:41.0,J. Clarkson makes 2-pt shot from 1 ft,2,79-97,,
4:24.0,,,79-97,,N. Batum misses 3-pt shot from 24 ft
4:23.0,,,79-97,,Offensive rebound by M. Leonard
4:14.0,,,79-100,3,M. Leonard makes 3-pt shot from 24 ft (assist by S. Blake)
3:54.0,J. Clarkson makes 2-pt shot from 14 ft,2,81-100,,
3:32.0,,,81-100,,Turnover by T. Robinson (3 sec)
3:32.0,,,81-100,,A. Crabbe enters the game for N. Batum
3:32.0,,,81-100,,W. Barton enters the game for S. Blake
3:15.0,W. Ellington misses 3-pt shot from 24 ft,,81-100,,
3:14.0,,,81-100,,Defensive rebound by M. Leonard
3:04.0,,,81-100,,M. Leonard misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by W. Ellington,,81-100,,
2:58.0,Offensive foul by R. Sacre,,81-100,,
2:58.0,Turnover by R. Sacre (offensive foul),,81-100,,
