time,Denver,pts.away,score,pts.home,Atlanta
5:01.0,Defensive rebound by T. Lawson,,73-84,,
4:57.0,T. Lawson misses 2-pt shot from 1 ft (block by A. Horford),,73-84,,
4:57.0,Offensive rebound by Team,,73-84,,
4:53.0,,,73-84,,Personal foul by D. Carroll (drawn by A. Afflalo)
4:41.0,A. Gee misses 2-pt shot from 18 ft,,73-84,,
4:39.0,Offensive rebound by W. Chandler,,73-84,,
4:35.0,A. Afflalo misses 3-pt shot from 23 ft,,73-84,,
4:34.0,Offensive rebound by D. Arthur,,73-84,,
4:31.0,D. Arthur misses 2-pt shot at rim,,73-84,,
4:30.0,Offensive rebound by A. Gee,,73-84,,
4:30.0,A. Gee makes 2-pt shot at rim,2,75-84,,
4:14.0,,,75-87,3,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll)
3:54.0,W. Chandler makes 3-pt shot from 24 ft (assist by A. Gee),3,78-87,,
3:42.0,,,78-87,,Turnover by K. Korver (bad pass; steal by T. Lawson)
3:37.0,A. Afflalo misses 2-pt shot from 1 ft,,78-87,,
3:35.0,Offensive rebound by W. Chandler,,78-87,,
3:35.0,W. Chandler makes 2-pt shot at rim,2,80-87,,
3:13.0,,,80-90,3,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague)
2:55.0,A. Afflalo misses 3-pt shot from 23 ft,,80-90,,
2:53.0,,,80-90,,Defensive rebound by D. Carroll
2:38.0,,,80-92,2,J. Teague makes 2-pt shot from 1 ft
2:38.0,Denver full timeout,,80-92,,
2:38.0,G. Harris enters the game for A. Afflalo,,80-92,,
2:23.0,G. Harris misses 2-pt shot from 2 ft,,80-92,,
2:21.0,Offensive rebound by G. Harris,,80-92,,
2:20.0,Turnover by G. Harris (step out of bounds),,80-92,,
2:01.0,,,80-92,,Turnover by J. Teague (lost ball; steal by A. Gee)
1:57.0,A. Gee makes 2-pt shot at rim (assist by D. Arthur),2,82-92,,
1:42.0,,,82-94,2,P. Millsap makes 2-pt shot from 8 ft
1:33.0,D. Arthur misses 3-pt shot from 25 ft,,82-94,,
1:31.0,,,82-94,,Defensive rebound by D. Carroll
1:10.0,Personal foul by D. Arthur (drawn by J. Teague),,82-94,,
1:10.0,,,82-94,,P. Antic enters the game for A. Horford
1:10.0,E. Green enters the game for T. Lawson,,82-94,,
0:59.0,,,82-94,,J. Teague misses 2-pt shot from 1 ft (block by D. Arthur)
0:57.0,Defensive rebound by W. Chandler,,82-94,,
0:37.0,G. Harris makes 2-pt shot from 1 ft (assist by D. Arthur),2,84-94,,
0:16.0,,,84-96,2,K. Korver makes 2-pt shot at rim (assist by P. Antic)
0:09.0,E. Green misses 2-pt shot from 18 ft,,84-96,,
0:08.0,,,84-96,,Defensive rebound by K. Korver
0:00.0,End of 4th quarter,,,,End of 4th quarter
