time,Golden State,pts.away,score,pts.home,Toronto
3:59.0,,,102-76,2,J. Johnson makes 2-pt shot from 2 ft (assist by C. Hayes)
3:47.0,D. Lee makes 2-pt shot from 7 ft (assist by S. Livingston),2,104-76,,
3:29.0,,,104-78,2,L. Fields makes 2-pt shot from 3 ft (assist by L. Williams)
3:17.0,B. Rush misses 2-pt shot from 18 ft,,104-78,,
3:16.0,,,104-78,,Defensive rebound by C. Hayes
3:08.0,,,104-81,3,L. Williams makes 3-pt shot from 26 ft
2:49.0,D. Lee makes 2-pt shot from 3 ft (assist by S. Livingston),2,106-81,,
2:38.0,,,106-83,2,L. Fields makes 2-pt shot from 1 ft
2:22.0,S. Livingston makes 2-pt shot from 11 ft (assist by B. Rush),2,108-83,,
2:13.0,,,108-85,2,C. Hayes makes 2-pt shot from 4 ft (assist by J. Johnson)
2:03.0,L. Barbosa makes 3-pt shot from 26 ft,3,111-85,,
1:41.0,,,111-85,,Turnover by G. Stiemsma (bad pass; steal by S. Livingston)
1:37.0,Shooting foul by L. Williams (drawn by L. Barbosa),,111-85,,
1:37.0,,,111-85,,Toronto full timeout
1:37.0,J. Holiday enters the game for S. Livingston,,111-85,,
1:37.0,L. Barbosa makes free throw 1 of 2,1,112-85,,
1:37.0,L. Barbosa makes free throw 2 of 2,1,113-85,,
1:22.0,,,113-87,2,G. Stiemsma makes 2-pt shot from 6 ft (assist by L. Fields)
1:10.0,D. Lee misses 2-pt shot from 20 ft,,113-87,,
1:09.0,Offensive rebound by M. Speights,,113-87,,
1:05.0,M. Speights misses 2-pt shot from 7 ft,,113-87,,
1:04.0,,,113-87,,Defensive rebound by C. Hayes
0:59.0,,,113-87,,Shooting foul by B. Rush (drawn by L. Williams)
0:59.0,,,113-88,1,L. Williams makes free throw 1 of 2
0:59.0,,,113-89,1,L. Williams makes free throw 2 of 2
0:48.0,Turnover by M. Speights (bad pass; steal by L. Williams),,113-89,,
0:43.0,,,113-89,,Turnover by G. Stiemsma (bad pass)
0:25.0,Turnover by D. Lee (bad pass; steal by G. Stiemsma),,113-89,,
0:19.0,,,113-89,,L. Williams misses 3-pt shot from 29 ft
0:18.0,Defensive rebound by J. Holiday,,113-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
