time,Denver,pts.away,score,pts.home,New York
3:43.0,K. Faried makes 2-pt shot from 6 ft (assist by A. Afflalo),2,85-102,,
3:43.0,Shooting foul by S. Larkin (drawn by K. Faried),,85-102,,
3:43.0,,,85-102,,P. Prigioni enters the game for S. Larkin
3:43.0,K. Faried makes free throw 1 of 1,1,86-102,,
3:27.0,,,86-102,,J. Smith misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by K. Faried,,86-102,,
3:14.0,W. Chandler misses 3-pt shot from 22 ft,,86-102,,
3:12.0,,,86-102,,Defensive rebound by C. Anthony
3:05.0,Personal foul by W. Chandler (drawn by C. Anthony),,86-102,,
3:05.0,,,86-103,1,C. Anthony makes free throw 1 of 2
3:05.0,,,86-104,1,C. Anthony makes free throw 2 of 2
2:56.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,88-104,,
2:42.0,,,88-104,,Turnover by J. Smith (bad pass; steal by W. Chandler)
2:35.0,D. Arthur makes 3-pt shot from 25 ft (assist by W. Chandler),3,91-104,,
2:34.0,,,91-104,,New York full timeout
2:34.0,,,91-104,,T. Wear enters the game for J. Smith
2:13.0,,,91-104,,Shooting foul by K. Faried (drawn by J. Smith)
2:13.0,,,91-105,1,J. Smith makes free throw 1 of 2
2:13.0,,,91-105,,J. Smith misses free throw 2 of 2
2:12.0,Defensive rebound by T. Lawson,,91-105,,
2:05.0,A. Afflalo misses 3-pt shot from 24 ft,,91-105,,
2:03.0,,,91-105,,Defensive rebound by C. Anthony
1:50.0,,,91-105,,Turnover by P. Prigioni (traveling)
1:42.0,T. Lawson misses 2-pt shot from 5 ft (block by T. Wear),,91-105,,
1:41.0,Offensive rebound by Team,,91-105,,
1:34.0,A. Afflalo misses 2-pt shot from 20 ft,,91-105,,
1:33.0,,,91-105,,Defensive rebound by Q. Acy
1:18.0,,,91-105,,New York full timeout
1:15.0,,,91-105,,Turnover by J. Smith (bad pass; steal by D. Arthur)
1:12.0,D. Arthur makes 2-pt shot at rim,2,93-105,,
1:02.0,Personal foul by K. Faried (drawn by T. Wear),,93-105,,
1:02.0,,,93-106,1,T. Wear makes free throw 1 of 2
1:02.0,,,93-107,1,T. Wear makes free throw 2 of 2
0:53.0,W. Chandler misses 3-pt shot from 24 ft,,93-107,,
0:52.0,,,93-107,,Defensive rebound by Q. Acy
0:32.0,,,93-109,2,J. Smith makes 2-pt shot from 19 ft
0:19.0,T. Lawson misses 3-pt shot from 24 ft,,93-109,,
0:18.0,,,93-109,,Defensive rebound by Q. Acy
0:00.0,End of 4th quarter,,,,End of 4th quarter
