time,Chicago,pts.away,score,pts.home,Golden State
3:04.0,,,98-101,,D. Lee enters the game for M. Speights
3:04.0,,,98-101,,H. Barnes enters the game for A. Iguodala
2:46.0,,,98-103,2,D. Green makes 2-pt shot from 2 ft
2:31.0,J. Noah makes 2-pt shot at rim (assist by P. Gasol),2,100-103,,
2:18.0,,,100-105,2,S. Curry makes 2-pt shot from 10 ft
2:05.0,P. Gasol misses 2-pt shot from 18 ft,,100-105,,
2:03.0,,,100-105,,Defensive rebound by K. Thompson
1:53.0,,,100-105,,S. Curry misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by J. Noah,,100-105,,
1:45.0,D. Rose misses 3-pt shot from 24 ft,,100-105,,
1:44.0,Offensive rebound by P. Gasol,,100-105,,
1:42.0,J. Noah makes 2-pt shot from 2 ft (assist by P. Gasol),2,102-105,,
1:24.0,,,102-105,,K. Thompson misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by N. Mirotic,,102-105,,
1:12.0,D. Rose misses 3-pt shot from 25 ft,,102-105,,
1:11.0,Offensive rebound by P. Gasol,,102-105,,
1:10.0,,,102-105,,Personal foul by D. Lee (drawn by P. Gasol)
1:10.0,P. Gasol makes free throw 1 of 2,1,103-105,,
1:10.0,,,103-105,,Golden State full timeout
1:10.0,P. Gasol makes free throw 2 of 2,1,104-105,,
0:50.0,,,104-105,,S. Curry misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by J. Noah,,104-105,,
0:27.0,D. Rose misses 2-pt shot from 12 ft,,104-105,,
0:26.0,Offensive rebound by J. Noah,,104-105,,
0:25.0,J. Noah misses 2-pt shot from 7 ft,,104-105,,
0:23.0,,,104-105,,Defensive rebound by D. Lee
0:19.0,,,104-105,,Turnover by S. Curry (bad pass; steal by K. Hinrich)
0:16.0,K. Hinrich makes 3-pt shot from 26 ft (assist by D. Rose),3,107-105,,
0:12.0,,,107-105,,Golden State full timeout
0:12.0,,,107-105,,A. Iguodala enters the game for H. Barnes
0:06.0,,,107-105,,A. Iguodala misses 3-pt shot from 25 ft
0:03.0,,,107-105,,Offensive rebound by D. Green
0:03.0,,,107-105,,D. Green misses 2-pt shot from 1 ft
0:03.0,,,107-105,,Offensive rebound by D. Green
0:03.0,,,107-107,2,D. Green makes 2-pt shot from 1 ft
0:01.0,Chicago full timeout,,107-107,,
0:01.0,,,107-107,,J. McAdoo enters the game for D. Lee
0:01.0,D. Rose misses 3-pt shot from 33 ft,,107-107,,
0:00.0,Offensive rebound by Team,,107-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: P. Gasol vs. D. Lee (N. Mirotic gains possession),,,,Jump ball: P. Gasol vs. D. Lee (N. Mirotic gains possession)
4:39.0,P. Gasol makes 2-pt shot from 9 ft,2,109-107,,
4:21.0,,,109-107,,D. Lee misses 2-pt shot from 14 ft
4:19.0,,,109-107,,Offensive rebound by D. Green
4:19.0,,,109-107,,D. Green misses 2-pt shot from 1 ft
4:17.0,Defensive rebound by N. Mirotic,,109-107,,
4:03.0,D. Rose misses 3-pt shot from 27 ft,,109-107,,
4:01.0,,,109-107,,Defensive rebound by S. Curry
3:53.0,Personal foul by J. Noah (drawn by K. Thompson),,109-107,,
3:53.0,Violation by Team (delay of game),,109-107,,
3:41.0,,,109-107,,D. Green misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by N. Mirotic,,109-107,,
3:24.0,D. Rose misses 2-pt shot from 1 ft,,109-107,,
3:23.0,,,109-107,,Defensive rebound by D. Green
3:18.0,,,109-107,,S. Curry misses 3-pt shot from 25 ft
3:17.0,,,109-107,,Offensive rebound by Team
3:10.0,,,109-109,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
2:52.0,Turnover by P. Gasol (bad pass; steal by S. Curry),,109-109,,
2:45.0,,,109-109,,Turnover by K. Thompson (lost ball; steal by K. Hinrich)
2:29.0,D. Rose misses 3-pt shot from 27 ft,,109-109,,
2:28.0,,,109-109,,Defensive rebound by D. Lee
2:17.0,,,109-109,,D. Green misses 2-pt shot from 8 ft
2:17.0,,,109-109,,Offensive rebound by Team
2:17.0,,,109-109,,Golden State full timeout
2:17.0,,,109-109,,H. Barnes enters the game for D. Lee
2:13.0,,,109-109,,D. Green misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by P. Gasol,,109-109,,
2:12.0,,,109-109,,Personal foul by S. Curry (drawn by P. Gasol)
1:51.0,K. Hinrich misses 2-pt shot from 18 ft,,109-109,,
1:50.0,Offensive rebound by J. Noah,,109-109,,
1:50.0,J. Noah makes 2-pt shot at rim,2,111-109,,
1:33.0,,,111-109,,H. Barnes misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by P. Gasol,,111-109,,
1:14.0,K. Hinrich misses 3-pt shot from 24 ft,,111-109,,
1:13.0,,,111-109,,Defensive rebound by S. Curry
1:08.0,,,111-111,2,S. Curry makes 2-pt shot from 2 ft
0:56.0,,,111-111,,Personal foul by K. Thompson (drawn by D. Rose)
0:56.0,Chicago full timeout,,111-111,,
0:56.0,,,111-111,,M. Speights enters the game for H. Barnes
0:43.0,Turnover by K. Hinrich (bad pass; steal by D. Green),,111-111,,
0:29.0,,,111-111,,K. Thompson misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by J. Noah,,111-111,,
0:08.0,D. Rose makes 2-pt shot from 20 ft,2,113-111,,
0:07.0,,,113-111,,Golden State full timeout
0:03.0,Personal foul by N. Mirotic (drawn by A. Iguodala),,113-111,,
0:03.0,T. Gibson enters the game for N. Mirotic,,113-111,,
0:03.0,,,113-111,,Golden State full timeout
0:01.0,,,113-111,,K. Thompson misses 2-pt shot from 14 ft
0:00.0,,,113-111,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
