time,Washington,pts.away,score,pts.home,Indiana
1:02.0,,,79-81,2,R. Stuckey makes 2-pt shot from 13 ft (assist by G. Hill)
0:52.0,J. Wall makes 2-pt shot from 7 ft,2,81-81,,
0:32.0,,,81-81,,G. Hill misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by B. Beal,,81-81,,
0:25.0,Washington full timeout,,81-81,,
0:25.0,,,81-81,,P. George enters the game for R. Stuckey
0:07.0,J. Wall misses 2-pt shot from 18 ft,,81-81,,
0:06.0,Offensive rebound by O. Porter,,81-81,,
0:00.0,J. Wall misses 2-pt shot from 12 ft,,81-81,,
0:00.0,Offensive rebound by Team,,81-81,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: M. Gortat vs. R. Hibbert (D. West gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (D. West gains possession)
4:34.0,,,81-81,,G. Hill misses 2-pt shot from 22 ft
4:33.0,Defensive rebound by B. Beal,,81-81,,
4:13.0,Shooting foul by R. Stuckey (drawn by B. Beal),,81-81,,
4:13.0,B. Beal makes free throw 1 of 2,1,82-81,,
4:13.0,B. Beal makes free throw 2 of 2,1,83-81,,
4:04.0,Personal foul by O. Porter (drawn by C. Miles),,83-81,,
3:56.0,,,83-81,,C. Miles misses 2-pt shot from 16 ft
3:55.0,Defensive rebound by M. Gortat,,83-81,,
3:44.0,M. Gortat misses 2-pt shot from 1 ft (block by C. Miles),,83-81,,
3:44.0,Offensive rebound by Team,,83-81,,
3:34.0,B. Beal misses 3-pt shot from 25 ft,,83-81,,
3:33.0,,,83-81,,Defensive rebound by C. Miles
3:20.0,,,83-81,,G. Hill misses 3-pt shot from 26 ft
3:19.0,,,83-81,,Offensive rebound by D. West
3:14.0,,,83-81,,Turnover by C. Miles (bad pass; steal by M. Gortat)
3:10.0,Turnover by O. Porter (kicked ball),,83-81,,
2:46.0,,,83-81,,C. Miles misses 3-pt shot from 22 ft
2:43.0,Defensive rebound by J. Wall,,83-81,,
2:25.0,B. Beal misses 2-pt shot from 17 ft,,83-81,,
2:24.0,Offensive rebound by D. Gooden,,83-81,,
2:24.0,D. Gooden misses 2-pt shot from 1 ft,,83-81,,
2:23.0,,,83-81,,Defensive rebound by R. Hibbert
2:17.0,,,83-81,,Indiana full timeout
2:17.0,,,83-81,,P. George enters the game for R. Stuckey
2:07.0,,,83-81,,Turnover by P. George (back court)
1:56.0,J. Wall misses 3-pt shot from 26 ft,,83-81,,
1:55.0,,,83-81,,Defensive rebound by Team
1:33.0,,,83-81,,G. Hill misses 2-pt shot from 2 ft
1:33.0,,,83-81,,Offensive rebound by Team
1:33.0,Loose ball foul by O. Porter (drawn by R. Hibbert),,83-81,,
1:29.0,Violation by M. Gortat (kicked ball),,83-81,,
1:20.0,,,83-81,,R. Hibbert misses 2-pt shot from 8 ft
1:18.0,,,83-81,,Offensive rebound by Team
0:58.0,,,83-83,2,R. Hibbert makes 2-pt shot from 19 ft (assist by G. Hill)
0:58.0,Washington full timeout,,83-83,,
0:54.0,J. Wall makes 2-pt shot from 1 ft,2,85-83,,
0:54.0,Shooting foul by R. Hibbert (drawn by J. Wall),,85-83,,
0:54.0,J. Wall misses free throw 1 of 1,,85-83,,
0:53.0,Offensive rebound by D. Gooden,,85-83,,
0:34.0,B. Beal misses 2-pt shot from 20 ft,,85-83,,
0:33.0,,,85-83,,Defensive rebound by C. Miles
0:32.0,,,85-83,,Indiana full timeout
0:22.0,,,85-85,2,P. George makes 2-pt shot from 19 ft (assist by G. Hill)
0:22.0,Washington full timeout,,85-85,,
0:22.0,R. Butler enters the game for D. Gooden,,85-85,,
0:03.0,B. Beal misses 2-pt shot from 11 ft (block by D. West),,85-85,,
0:02.0,,,85-85,,Defensive rebound by Team
0:02.0,,,85-85,,Indiana full timeout
0:02.0,,,85-85,,R. Stuckey enters the game for R. Hibbert
0:00.0,,,85-85,,P. George misses 3-pt shot from 28 ft
0:00.0,,,85-85,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
5:00.0,Start of 2nd overtime,,,,Start of 2nd overtime
5:00.0,Jump ball: M. Gortat vs. R. Hibbert (G. Hill gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (G. Hill gains possession)
4:37.0,,,85-87,2,G. Hill makes 2-pt shot from 14 ft
4:19.0,D. Gooden makes 2-pt shot from 16 ft (assist by O. Porter),2,87-87,,
4:06.0,,,87-87,,Offensive foul by D. West
4:06.0,,,87-87,,Turnover by D. West (offensive foul)
3:53.0,Turnover by B. Beal (bad pass; steal by R. Hibbert),,87-87,,
3:42.0,,,87-90,3,C. Miles makes 3-pt shot from 23 ft (assist by R. Stuckey)
3:20.0,Turnover by J. Wall (bad pass; steal by D. West),,87-90,,
3:04.0,,,87-92,2,D. West makes 2-pt shot from 2 ft (assist by G. Hill)
2:46.0,B. Beal misses 2-pt shot from 13 ft,,87-92,,
2:45.0,,,87-92,,Defensive rebound by D. West
2:42.0,,,87-92,,Indiana full timeout
2:27.0,M. Gortat misses 2-pt shot from 2 ft (block by R. Hibbert),,87-92,,
2:25.0,,,87-92,,Defensive rebound by R. Hibbert
2:07.0,,,87-92,,C. Miles misses 2-pt shot from 12 ft
2:07.0,,,87-92,,Offensive rebound by R. Hibbert
2:07.0,,,87-92,,R. Hibbert misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by D. Gooden,,87-92,,
1:55.0,B. Beal makes 3-pt shot from 26 ft,3,90-92,,
1:34.0,,,90-92,,G. Hill misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by M. Gortat,,90-92,,
1:18.0,J. Wall misses 2-pt shot from 18 ft,,90-92,,
1:17.0,,,90-92,,Defensive rebound by C. Miles
0:58.0,,,90-94,2,D. West makes 2-pt shot from 19 ft (assist by R. Stuckey)
0:58.0,Washington full timeout,,90-94,,
0:45.0,J. Wall makes 2-pt shot from 4 ft,2,92-94,,
0:45.0,,,92-94,,Indiana full timeout
0:28.0,,,92-97,3,G. Hill makes 3-pt shot from 26 ft (assist by R. Stuckey)
0:28.0,Washington full timeout,,92-97,,
0:28.0,R. Butler enters the game for D. Gooden,,92-97,,
0:24.0,B. Beal misses 3-pt shot from 27 ft,,92-97,,
0:22.0,,,92-97,,Defensive rebound by G. Hill
0:18.0,Personal take foul by O. Porter (drawn by G. Hill),,92-97,,
0:18.0,R. Sessions enters the game for J. Wall,,92-97,,
0:18.0,K. Seraphin enters the game for M. Gortat,,92-97,,
0:17.0,Personal take foul by R. Butler (drawn by D. West),,92-97,,
0:17.0,,,92-98,1,D. West makes free throw 1 of 2
0:17.0,W. Bynum enters the game for B. Beal,,92-98,,
0:17.0,,,92-98,,S. Hill enters the game for G. Hill
0:17.0,,,92-99,1,D. West makes free throw 2 of 2
0:02.0,R. Sessions makes 3-pt shot from 24 ft,3,95-99,,
0:00.0,End of 2nd overtime,,,,End of 2nd overtime
