time,Portland,pts.away,score,pts.home,Sacramento
3:16.0,,,102-96,,Offensive rebound by Team
3:16.0,,,102-96,,A. Miller enters the game for O. Casspi
3:16.0,,,102-97,1,D. Williams makes free throw 2 of 2
2:58.0,D. Lillard misses 2-pt shot from 7 ft,,102-97,,
2:55.0,Offensive rebound by L. Aldridge,,102-97,,
2:54.0,L. Aldridge makes 2-pt shot from 2 ft,2,104-97,,
2:37.0,,,104-97,,R. Gay misses 2-pt shot from 8 ft
2:36.0,Defensive rebound by R. Lopez,,104-97,,
2:35.0,Official timeout,,104-97,,
2:35.0,Jump ball: R. Gay vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: R. Gay vs. R. Lopez (L. Aldridge gains possession)
2:16.0,R. Lopez makes 2-pt shot from 7 ft (assist by D. Lillard),2,106-97,,
2:04.0,,,106-97,,Offensive foul by J. Thompson
2:04.0,,,106-97,,Turnover by J. Thompson (offensive foul)
2:04.0,,,106-97,,R. Hollins enters the game for J. Thompson
1:50.0,L. Aldridge misses 2-pt shot from 19 ft,,106-97,,
1:49.0,,,106-97,,Defensive rebound by R. Gay
1:31.0,,,106-97,,R. McCallum misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by L. Aldridge,,106-97,,
1:13.0,D. Lillard makes 2-pt shot from 4 ft,2,108-97,,
1:06.0,,,108-99,2,R. Gay makes 2-pt shot from 3 ft (assist by R. McCallum)
0:46.0,D. Lillard misses 2-pt shot from 9 ft,,108-99,,
0:45.0,,,108-99,,Defensive rebound by R. Gay
0:42.0,,,108-99,,R. McCallum misses 2-pt shot from 4 ft (block by W. Matthews)
0:40.0,Defensive rebound by L. Aldridge,,108-99,,
0:16.0,D. Lillard makes 2-pt shot from 17 ft,2,110-99,,
0:16.0,,,110-99,,Sacramento full timeout
0:16.0,,,110-99,,B. McLemore enters the game for R. McCallum
0:16.0,S. Blake enters the game for L. Aldridge,,110-99,,
0:16.0,M. Leonard enters the game for R. Lopez,,110-99,,
0:16.0,J. Freeland enters the game for W. Matthews,,110-99,,
0:16.0,A. Gee enters the game for D. Lillard,,110-99,,
0:15.0,,,110-99,,Turnover by R. Gay (step out of bounds)
0:00.0,End of 4th quarter,,,,End of 4th quarter
