time,Sacramento,pts.away,score,pts.home,Cleveland
5:24.0,Shooting foul by M. Miller (drawn by Q. Miller),,79-94,,
5:24.0,Q. Miller makes free throw 1 of 2,1,80-94,,
5:24.0,Q. Miller misses free throw 2 of 2,,80-94,,
5:23.0,,,80-94,,Defensive rebound by I. Shumpert
5:12.0,,,80-94,,Offensive foul by M. Miller
5:12.0,,,80-94,,Turnover by M. Miller (offensive foul)
5:04.0,R. Hollins makes 2-pt shot at rim (assist by R. McCallum),2,82-94,,
4:40.0,,,82-94,,I. Shumpert misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by O. Casspi,,82-94,,
4:22.0,Q. Miller misses 3-pt shot from 23 ft,,82-94,,
4:21.0,,,82-94,,Defensive rebound by I. Shumpert
4:05.0,,,82-94,,Shooting foul by O. Casspi (drawn by T. Thompson)
4:05.0,,,82-94,,T. Thompson misses free throw 1 of 2
4:05.0,,,82-94,,Offensive rebound by Team
4:05.0,,,82-94,,L. James enters the game for M. Miller
4:05.0,,,82-94,,T. Thompson misses free throw 2 of 2
4:04.0,Defensive rebound by Q. Miller,,82-94,,
3:51.0,Turnover by R. Hollins (bad pass; steal by J. Smith),,82-94,,
3:47.0,,,82-94,,Shooting foul by N. Stauskas (drawn by K. Irving)
3:47.0,,,82-95,1,K. Irving makes free throw 1 of 2
3:47.0,,,82-96,1,K. Irving makes free throw 2 of 2
3:29.0,Turnover by O. Casspi (lost ball; steal by I. Shumpert),,82-96,,
3:13.0,,,82-96,,Turnover by L. James (lost ball; steal by Q. Miller)
3:01.0,R. McCallum misses 3-pt shot from 23 ft,,82-96,,
3:00.0,,,82-96,,Defensive rebound by I. Shumpert
2:35.0,,,82-99,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
2:24.0,Turnover by R. McCallum (bad pass; steal by J. Smith),,82-99,,
2:22.0,Personal foul by O. Casspi (drawn by K. Irving),,82-99,,
2:22.0,,,82-99,,M. Dellavedova enters the game for L. James
2:22.0,,,82-99,,J. Jones enters the game for K. Irving
2:02.0,,,82-99,,M. Dellavedova misses 2-pt shot from 5 ft (block by R. Hollins)
2:00.0,Defensive rebound by R. McCallum,,82-99,,
1:55.0,O. Casspi makes 2-pt shot at rim (assist by R. McCallum),2,84-99,,
1:35.0,,,84-99,,Turnover by J. Smith (bad pass; steal by O. Casspi)
1:31.0,Shooting foul by J. Jones (drawn by O. Casspi),,84-99,,
1:31.0,O. Casspi makes free throw 1 of 2,1,85-99,,
1:31.0,,,85-99,,M. Miller enters the game for J. Smith
1:31.0,O. Casspi makes free throw 2 of 2,1,86-99,,
1:13.0,,,86-99,,Turnover by I. Shumpert (bad pass; steal by Q. Miller)
1:07.0,O. Casspi makes 2-pt shot at rim (assist by N. Stauskas),2,88-99,,
0:47.0,,,88-99,,J. Jones misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by O. Casspi,,88-99,,
0:39.0,Q. Miller misses 3-pt shot from 25 ft,,88-99,,
0:38.0,,,88-99,,Defensive rebound by T. Thompson
0:23.0,,,88-101,2,M. Dellavedova makes 2-pt shot from 5 ft
0:11.0,R. McCallum makes 2-pt shot from 17 ft,2,90-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
