time,Denver,pts.away,score,pts.home,Milwaukee
4:25.0,,,75-83,,Turnover by T. Ennis (lost ball; steal by J. Nurkic)
4:20.0,W. Chandler makes 2-pt shot at rim (assist by J. Nurkic),2,77-83,,
4:11.0,,,77-83,,Milwaukee full timeout
4:11.0,,,77-83,,G. Antetokounmpo enters the game for O. Mayo
3:57.0,,,77-83,,J. Dudley misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by J. Nurkic,,77-83,,
3:43.0,D. Arthur makes 2-pt shot from 5 ft (assist by J. Nelson),2,79-83,,
3:26.0,Personal block foul by J. Nurkic (drawn by J. Dudley),,79-83,,
3:26.0,,,79-83,,J. Dudley misses free throw 1 of 2
3:26.0,,,79-83,,Offensive rebound by Team
3:26.0,,,79-83,,K. Middleton enters the game for T. Ennis
3:26.0,,,79-84,1,J. Dudley makes free throw 2 of 2
3:09.0,J. Nelson misses 3-pt shot from 25 ft (block by J. Bayless),,79-84,,
3:07.0,,,79-84,,Defensive rebound by J. Dudley
2:49.0,,,79-86,2,J. Bayless makes 2-pt shot from 17 ft
2:29.0,D. Arthur misses 2-pt shot from 16 ft,,79-86,,
2:28.0,,,79-86,,Defensive rebound by G. Antetokounmpo
2:10.0,,,79-86,,J. Bayless misses 2-pt shot at rim (block by D. Arthur)
2:10.0,,,79-86,,Offensive rebound by Team
2:10.0,Denver full timeout,,79-86,,
2:07.0,,,79-86,,K. Middleton misses 2-pt shot from 13 ft (block by W. Chandler)
2:04.0,Defensive rebound by R. Foye,,79-86,,
1:46.0,R. Foye misses 2-pt shot at rim,,79-86,,
1:45.0,,,79-86,,Defensive rebound by G. Antetokounmpo
1:24.0,,,79-89,3,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
1:15.0,Turnover by J. Nelson (lost ball),,79-89,,
0:58.0,,,79-89,,K. Middleton misses 3-pt shot from 23 ft
0:57.0,,,79-89,,Offensive rebound by Z. Pachulia
0:52.0,,,79-89,,Offensive foul by K. Middleton
0:52.0,,,79-89,,Turnover by K. Middleton (offensive foul)
0:52.0,Denver full timeout,,79-89,,
0:44.0,W. Chandler misses 3-pt shot from 28 ft,,79-89,,
0:42.0,,,79-89,,Defensive rebound by Team
0:25.0,,,79-89,,J. Bayless misses 2-pt shot from 17 ft
0:24.0,Defensive rebound by J. Nurkic,,79-89,,
0:17.0,R. Foye makes 2-pt shot at rim,2,81-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
