time,New Orleans,pts.away,score,pts.home,Cleveland
0:19.0,Shooting foul by J. Harris (drawn by J. Holiday),,106-115,,
0:19.0,J. Holiday makes free throw 1 of 2,1,107-115,,
0:19.0,J. Holiday makes free throw 2 of 2,1,108-115,,
0:19.0,,,108-115,,Cleveland full timeout
0:17.0,Personal foul by J. Holiday (drawn by K. Irving),,108-115,,
0:17.0,,,108-116,1,K. Irving makes free throw 1 of 2
0:17.0,,,108-116,,A. Kirk enters the game for K. Love
0:17.0,,,108-117,1,K. Irving makes free throw 2 of 2
0:17.0,New Orleans full timeout,,108-117,,
0:17.0,,,108-117,,W. Cherry enters the game for K. Irving
0:14.0,R. Anderson makes 3-pt shot from 31 ft (assist by A. Rivers),3,111-117,,
0:14.0,,,111-117,,Cleveland full timeout
0:14.0,,,111-117,,K. Irving enters the game for T. Thompson
0:14.0,,,111-117,,L. James enters the game for W. Cherry
0:14.0,,,111-117,,K. Love enters the game for A. Kirk
0:13.0,Personal foul by A. Rivers (drawn by L. James),,111-117,,
0:13.0,,,111-117,,L. James misses free throw 1 of 2
0:13.0,,,111-117,,Offensive rebound by Team
0:13.0,,,111-118,1,L. James makes free throw 2 of 2
0:13.0,New Orleans full timeout,,111-118,,
0:10.0,A. Davis misses 2-pt shot from 21 ft,,111-118,,
0:09.0,,,111-118,,Defensive rebound by L. James
0:00.0,End of 4th quarter,,,,End of 4th quarter
