time,Philadelphia,pts.away,score,pts.home,Chicago
11:05.0,J. Sampson makes 2-pt shot from 1 ft,2,57-54,,
10:39.0,,,57-54,,P. Gasol misses 2-pt shot from 1 ft
10:37.0,,,57-54,,Offensive rebound by P. Gasol
10:37.0,,,57-54,,P. Gasol misses 2-pt shot from 1 ft
10:34.0,Defensive rebound by J. Grant,,57-54,,
10:24.0,Philadelphia full timeout,,57-54,,
10:20.0,Shooting foul by J. Noah (drawn by J. Grant),,57-54,,
10:20.0,J. Grant makes free throw 1 of 2,1,58-54,,
10:20.0,J. Grant makes free throw 2 of 2,1,59-54,,
10:04.0,Personal foul by J. Richardson (drawn by J. Butler),,59-54,,
9:53.0,,,59-54,,J. Butler misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by J. Grant,,59-54,,
9:44.0,R. Covington misses 3-pt shot from 26 ft,,59-54,,
9:43.0,,,59-54,,Defensive rebound by P. Gasol
9:34.0,,,59-54,,D. Rose misses 2-pt shot from 7 ft
9:31.0,Defensive rebound by F. Aldemir,,59-54,,
9:25.0,J. Richardson makes 2-pt shot from 2 ft,2,61-54,,
9:07.0,,,61-57,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by D. Rose)
8:39.0,R. Covington misses 3-pt shot from 25 ft,,61-57,,
8:38.0,,,61-57,,Defensive rebound by D. Rose
8:36.0,,,61-57,,Shooting foul by R. Covington (drawn by P. Gasol)
8:36.0,,,61-58,1,P. Gasol makes free throw 1 of 2
8:36.0,,,61-59,1,P. Gasol makes free throw 2 of 2
8:24.0,Turnover by J. Grant (bad pass; steal by D. Rose),,61-59,,
8:19.0,,,61-59,,J. Butler misses 2-pt shot from 2 ft
8:18.0,,,61-59,,Offensive rebound by P. Gasol
8:18.0,,,61-61,2,P. Gasol makes 2-pt shot from 1 ft
7:59.0,J. Richardson misses 3-pt shot from 25 ft,,61-61,,
7:58.0,,,61-61,,Defensive rebound by P. Gasol
7:46.0,,,61-61,,J. Noah misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by J. Grant,,61-61,,
7:34.0,J. Sampson makes 2-pt shot from 15 ft,2,63-61,,
7:14.0,,,63-63,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
6:53.0,J. Richardson misses 3-pt shot from 25 ft,,63-63,,
6:52.0,,,63-63,,Defensive rebound by D. Rose
6:46.0,,,63-66,3,D. Rose makes 3-pt shot from 25 ft (assist by M. Dunleavy)
6:45.0,Philadelphia full timeout,,63-66,,
6:45.0,T. Robinson enters the game for J. Grant,,63-66,,
6:45.0,H. Thompson enters the game for J. Richardson,,63-66,,
6:20.0,T. Robinson misses 2-pt shot from 18 ft,,63-66,,
6:18.0,,,63-66,,Defensive rebound by J. Noah
6:04.0,,,63-66,,Shooting foul by F. Aldemir (drawn by D. Rose)
6:04.0,,,63-67,1,D. Rose makes free throw 1 of 2
6:04.0,,,63-68,1,D. Rose makes free throw 2 of 2
5:49.0,J. Sampson misses 3-pt shot from 24 ft,,63-68,,
5:47.0,Offensive rebound by T. Robinson,,63-68,,
5:40.0,H. Thompson misses 3-pt shot from 25 ft,,63-68,,
5:38.0,,,63-68,,Defensive rebound by D. Rose
5:29.0,,,63-70,2,D. Rose makes 2-pt shot from 2 ft
5:17.0,J. Sampson misses 2-pt shot from 2 ft,,63-70,,
5:16.0,,,63-70,,Defensive rebound by J. Noah
5:02.0,,,63-70,,D. Rose misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by F. Aldemir,,63-70,,
4:55.0,Offensive foul by F. Aldemir,,63-70,,
4:55.0,Turnover by F. Aldemir (offensive foul),,63-70,,
4:55.0,,,63-70,,A. Brooks enters the game for D. Rose
4:55.0,,,63-70,,T. Gibson enters the game for J. Noah
4:55.0,G. Robinson enters the game for F. Aldemir,,63-70,,
4:55.0,H. Sims enters the game for J. Sampson,,63-70,,
4:41.0,,,63-70,,J. Butler misses 2-pt shot from 1 ft
4:40.0,,,63-70,,Offensive rebound by T. Gibson
4:38.0,,,63-70,,Turnover by T. Gibson (lost ball; steal by R. Covington)
4:36.0,R. Covington makes 2-pt shot from 2 ft,2,65-70,,
4:36.0,Shooting foul by A. Brooks (drawn by R. Covington),,65-70,,
4:36.0,R. Covington makes free throw 1 of 1,1,66-70,,
4:22.0,,,66-72,2,P. Gasol makes 2-pt shot from 2 ft
4:00.0,Shooting foul by T. Gibson (drawn by R. Covington),,66-72,,
4:00.0,R. Covington makes free throw 1 of 2,1,67-72,,
4:00.0,R. Covington makes free throw 2 of 2,1,68-72,,
3:43.0,,,68-72,,P. Gasol misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by T. Robinson,,68-72,,
3:33.0,H. Thompson makes 3-pt shot from 25 ft,3,71-72,,
3:20.0,,,71-72,,M. Dunleavy misses 3-pt shot from 25 ft
3:18.0,,,71-72,,Offensive rebound by P. Gasol
3:18.0,Personal foul by H. Sims (drawn by T. Gibson),,71-72,,
3:18.0,,,71-73,1,T. Gibson makes free throw 1 of 2
3:18.0,J. Richardson enters the game for R. Covington,,71-73,,
3:18.0,,,71-73,,T. Gibson misses free throw 2 of 2
3:16.0,Defensive rebound by T. Robinson,,71-73,,
3:06.0,H. Thompson misses 2-pt shot from 4 ft (block by P. Gasol),,71-73,,
3:04.0,Offensive rebound by Team,,71-73,,
3:01.0,H. Sims makes 2-pt shot from 21 ft (assist by T. Robinson),2,73-73,,
2:50.0,Personal foul by H. Sims (drawn by P. Gasol),,73-73,,
2:50.0,,,73-73,,Chicago full timeout
2:50.0,J. Grant enters the game for H. Sims,,73-73,,
2:50.0,,,73-74,1,P. Gasol makes free throw 1 of 2
2:50.0,,,73-74,,P. Gasol misses free throw 2 of 2
2:48.0,Defensive rebound by J. Grant,,73-74,,
2:30.0,G. Robinson misses 3-pt shot from 22 ft,,73-74,,
2:28.0,Offensive rebound by T. Robinson,,73-74,,
2:27.0,T. Robinson misses 2-pt shot at rim (block by T. Gibson),,73-74,,
2:25.0,,,73-74,,Defensive rebound by M. Dunleavy
2:16.0,,,73-74,,M. Dunleavy misses 3-pt shot from 23 ft
2:15.0,Defensive rebound by Team,,73-74,,
2:04.0,Shooting foul by T. Gibson (drawn by J. Richardson),,73-74,,
2:04.0,J. Richardson makes free throw 1 of 2,1,74-74,,
2:04.0,,,74-74,,N. Mirotic enters the game for M. Dunleavy
2:04.0,J. Richardson misses free throw 2 of 2,,74-74,,
2:02.0,,,74-74,,Defensive rebound by P. Gasol
1:45.0,,,74-76,2,P. Gasol makes 2-pt shot from 4 ft
1:27.0,H. Thompson makes 3-pt shot from 22 ft (assist by J. Grant),3,77-76,,
1:05.0,,,77-78,2,P. Gasol makes 2-pt shot from 14 ft
0:56.0,J. Grant misses 3-pt shot from 26 ft,,77-78,,
0:55.0,,,77-78,,Defensive rebound by J. Butler
0:44.0,,,77-78,,Offensive foul by T. Gibson
0:44.0,,,77-78,,Turnover by T. Gibson (offensive foul)
0:44.0,,,77-78,,T. Snell enters the game for J. Butler
0:44.0,,,77-78,,M. Dunleavy enters the game for T. Gibson
0:31.0,H. Thompson misses 3-pt shot from 24 ft,,77-78,,
0:30.0,,,77-78,,Defensive rebound by P. Gasol
0:30.0,Personal foul by T. Robinson (drawn by P. Gasol),,77-78,,
