time,Charlotte,pts.away,score,pts.home,Portland
4:02.0,A. Jefferson makes free throw 1 of 2,1,95-92,,
4:02.0,A. Jefferson makes free throw 2 of 2,1,96-92,,
3:49.0,,,96-94,2,D. Lillard makes 2-pt shot from 2 ft
3:25.0,K. Walker misses 3-pt shot from 30 ft,,96-94,,
3:24.0,,,96-94,,Defensive rebound by L. Aldridge
3:08.0,,,96-94,,D. Lillard misses 2-pt shot from 17 ft
3:04.0,,,96-94,,Offensive rebound by S. Blake
3:04.0,,,96-97,3,S. Blake makes 3-pt shot from 24 ft (assist by L. Aldridge)
3:03.0,Charlotte full timeout,,96-97,,
2:41.0,L. Stephenson misses 3-pt shot from 23 ft,,96-97,,
2:41.0,,,96-97,,Defensive rebound by J. Freeland
2:21.0,,,96-99,2,L. Aldridge makes 2-pt shot at rim
1:54.0,K. Walker misses 2-pt shot from 16 ft,,96-99,,
1:53.0,,,96-99,,Defensive rebound by L. Aldridge
1:39.0,,,96-99,,Shooting foul by K. Walker (drawn by J. Freeland)
1:39.0,,,96-100,1,J. Freeland makes free throw 1 of 2
1:39.0,,,96-100,,J. Freeland misses free throw 2 of 2
1:39.0,Defensive rebound by L. Stephenson,,96-100,,
1:24.0,,,96-100,,Personal block foul by J. Freeland (drawn by G. Neal)
1:24.0,G. Neal makes free throw 1 of 2,1,97-100,,
1:24.0,G. Neal makes free throw 2 of 2,1,98-100,,
1:00.0,,,98-100,,W. Matthews misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by K. Walker,,98-100,,
0:35.0,Turnover by L. Stephenson (lost ball),,98-100,,
0:35.0,,,98-100,,Portland full timeout
0:35.0,M. Kidd-Gilchrist enters the game for G. Neal,,98-100,,
0:18.0,,,98-100,,S. Blake misses 3-pt shot from 22 ft
0:15.0,,,98-100,,Offensive rebound by L. Aldridge
0:14.0,,,98-102,2,L. Aldridge makes 2-pt shot from 1 ft
0:14.0,Charlotte full timeout,,98-102,,
0:14.0,M. Williams enters the game for M. Kidd-Gilchrist,,98-102,,
0:14.0,G. Neal enters the game for C. Zeller,,98-102,,
0:11.0,G. Neal makes 2-pt shot from 1 ft (assist by M. Williams),2,100-102,,
0:11.0,,,100-102,,Portland full timeout
0:11.0,,,100-102,,C. McCollum enters the game for J. Freeland
0:11.0,M. Kidd-Gilchrist enters the game for A. Jefferson,,100-102,,
0:11.0,C. Zeller enters the game for G. Neal,,100-102,,
0:04.0,,,100-102,,D. Lillard misses 2-pt shot from 3 ft
0:04.0,Defensive rebound by M. Kidd-Gilchrist,,100-102,,
0:04.0,Charlotte full timeout,,100-102,,
0:04.0,A. Jefferson enters the game for C. Zeller,,100-102,,
0:04.0,G. Neal enters the game for M. Kidd-Gilchrist,,100-102,,
0:04.0,,,100-102,,J. Freeland enters the game for C. McCollum
0:00.0,End of 4th quarter,,,,End of 4th quarter
