time,Brooklyn,pts.away,score,pts.home,Phoenix
3:22.0,,,97-100,1,I. Thomas makes free throw 1 of 2
3:22.0,,,97-101,1,I. Thomas makes free throw 2 of 2
3:05.0,J. Johnson makes 2-pt shot from 4 ft,2,99-101,,
2:53.0,,,99-103,2,M. Plumlee makes 2-pt shot at rim (assist by G. Dragic)
2:34.0,J. Johnson misses 2-pt shot from 9 ft,,99-103,,
2:33.0,,,99-103,,Defensive rebound by I. Thomas
2:26.0,,,99-103,,Phoenix full timeout
2:09.0,,,99-103,,M. Morris misses 2-pt shot from 22 ft
2:08.0,Defensive rebound by K. Garnett,,99-103,,
2:01.0,Turnover by J. Johnson (lost ball; steal by G. Green),,99-103,,
1:57.0,,,99-105,2,G. Dragic makes 2-pt shot from 2 ft (assist by G. Green)
1:57.0,,,99-105,,Shooting foul by D. Williams (drawn by G. Dragic)
1:57.0,B. Lopez enters the game for K. Garnett,,99-105,,
1:57.0,,,99-106,1,G. Dragic makes free throw 1 of 1
1:38.0,Turnover by B. Bogdanovic (bad pass),,99-106,,
1:29.0,,,99-106,,Turnover by I. Thomas (bad pass; steal by B. Lopez)
1:24.0,B. Bogdanovic misses 2-pt shot from 7 ft,,99-106,,
1:23.0,,,99-106,,Defensive rebound by M. Plumlee
1:18.0,,,99-106,,G. Green misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by M. Teletovic,,99-106,,
1:08.0,M. Teletovic misses 3-pt shot from 25 ft,,99-106,,
1:07.0,,,99-106,,Defensive rebound by I. Thomas
0:45.0,,,99-106,,I. Thomas misses 2-pt shot from 3 ft
0:44.0,,,99-106,,Offensive rebound by M. Plumlee
0:42.0,,,99-106,,M. Plumlee misses 2-pt shot from 2 ft (block by B. Lopez)
0:41.0,Defensive rebound by B. Bogdanovic,,99-106,,
0:36.0,J. Johnson misses 3-pt shot from 25 ft,,99-106,,
0:34.0,Offensive rebound by M. Teletovic,,99-106,,
0:30.0,D. Williams makes 3-pt shot from 23 ft (assist by M. Teletovic),3,102-106,,
0:30.0,,,102-106,,Phoenix full timeout
0:30.0,K. Garnett enters the game for B. Lopez,,102-106,,
0:30.0,A. Anderson enters the game for M. Teletovic,,102-106,,
0:29.0,Personal take foul by D. Williams (drawn by I. Thomas),,102-106,,
0:29.0,,,102-107,1,I. Thomas makes free throw 1 of 2
0:29.0,,,102-107,,P. Tucker enters the game for M. Plumlee
0:29.0,M. Teletovic enters the game for K. Garnett,,102-107,,
0:29.0,,,102-108,1,I. Thomas makes free throw 2 of 2
0:23.0,M. Teletovic misses 3-pt shot from 25 ft,,102-108,,
0:22.0,,,102-108,,Defensive rebound by G. Green
0:19.0,Personal foul by A. Anderson (drawn by G. Green),,102-108,,
0:19.0,,,102-109,1,G. Green makes free throw 1 of 2
0:19.0,,,102-110,1,G. Green makes free throw 2 of 2
0:13.0,D. Williams misses 2-pt shot from 1 ft,,102-110,,
0:13.0,Offensive rebound by M. Teletovic,,102-110,,
0:13.0,M. Teletovic makes 2-pt shot from 1 ft,2,104-110,,
0:06.0,Personal foul by M. Teletovic (drawn by I. Thomas),,104-110,,
0:06.0,,,104-111,1,I. Thomas makes free throw 1 of 2
0:06.0,J. Gutierrez enters the game for D. Williams,,104-111,,
0:06.0,J. Johnson enters the game for,,104-111,,
0:06.0,,,104-112,1,I. Thomas makes free throw 2 of 2
0:00.0,B. Bogdanovic misses 2-pt shot from 12 ft,,104-112,,
0:00.0,Offensive rebound by Team,,104-112,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
