time,Milwaukee,pts.away,score,pts.home,San Antonio
4:14.0,,,84-90,,B. Diaw enters the game for C. Joseph
4:14.0,,,84-91,1,K. Leonard makes free throw 2 of 2
3:53.0,J. Bayless misses 2-pt shot from 20 ft,,84-91,,
3:52.0,,,84-91,,Defensive rebound by K. Leonard
3:43.0,,,84-91,,Shooting foul by G. Antetokounmpo (drawn by M. Ginobili)
3:43.0,,,84-92,1,M. Ginobili makes free throw 1 of 2
3:43.0,Z. Pachulia enters the game for K. Martin,,84-92,,
3:43.0,,,84-93,1,M. Ginobili makes free throw 2 of 2
3:33.0,K. Middleton makes 2-pt shot from 16 ft (assist by J. Bayless),2,86-93,,
3:13.0,,,86-93,,T. Duncan misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by J. Bayless,,86-93,,
2:57.0,Z. Pachulia misses 2-pt shot from 10 ft,,86-93,,
2:56.0,,,86-93,,Defensive rebound by T. Duncan
2:47.0,,,86-93,,Turnover by M. Ginobili (bad pass; steal by G. Antetokounmpo)
2:42.0,G. Antetokounmpo misses 2-pt shot at rim,,86-93,,
2:41.0,,,86-93,,Defensive rebound by B. Diaw
2:37.0,Milwaukee full timeout,,86-93,,
2:37.0,,,86-93,,Turnover by B. Diaw (lost ball; steal by K. Middleton)
2:37.0,Jump ball: B. Diaw vs. K. Middleton (J. Bayless gains possession),,,,Jump ball: B. Diaw vs. K. Middleton (J. Bayless gains possession)
2:23.0,Z. Pachulia makes 2-pt shot at rim (assist by O. Mayo),2,88-93,,
2:00.0,,,88-95,2,M. Ginobili makes 2-pt shot at rim (assist by T. Parker)
1:45.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,91-95,,
1:27.0,,,91-95,,Turnover by T. Parker (bad pass; steal by K. Middleton)
1:23.0,K. Middleton makes 2-pt shot at rim (assist by J. Bayless),2,93-95,,
1:06.0,,,93-95,,M. Ginobili misses 2-pt shot from 2 ft (block by J. Bayless)
1:05.0,,,93-95,,Offensive rebound by Team
1:02.0,,,93-97,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
0:53.0,J. Bayless makes 2-pt shot from 5 ft (assist by Z. Pachulia),2,95-97,,
0:34.0,,,95-97,,T. Parker misses 3-pt shot from 22 ft
0:33.0,Defensive rebound by G. Antetokounmpo,,95-97,,
0:25.0,J. Bayless misses 2-pt shot from 8 ft,,95-97,,
0:24.0,,,95-97,,Defensive rebound by T. Duncan
0:20.0,Personal foul by Z. Pachulia (drawn by T. Parker),,95-97,,
0:20.0,,,95-98,1,T. Parker makes free throw 1 of 2
0:20.0,,,95-99,1,T. Parker makes free throw 2 of 2
0:20.0,Milwaukee full timeout,,95-99,,
0:20.0,,,95-99,,C. Joseph enters the game for T. Duncan
0:20.0,J. Dudley enters the game for G. Antetokounmpo,,95-99,,
0:13.0,J. Bayless misses 2-pt shot from 8 ft,,95-99,,
0:12.0,,,95-99,,Defensive rebound by K. Leonard
0:09.0,Personal take foul by J. Dudley (drawn by K. Leonard),,95-99,,
0:09.0,,,95-100,1,K. Leonard makes free throw 1 of 2
0:09.0,,,95-100,,T. Duncan enters the game for C. Joseph
0:09.0,,,95-101,1,K. Leonard makes free throw 2 of 2
0:09.0,Milwaukee full timeout,,95-101,,
0:09.0,,,95-101,,C. Joseph enters the game for T. Duncan
0:05.0,K. Middleton misses 3-pt shot from 27 ft,,95-101,,
0:03.0,Offensive rebound by J. Bayless,,95-101,,
0:03.0,,,95-101,,Personal foul by M. Ginobili (drawn by J. Bayless)
0:03.0,J. Bayless misses free throw 1 of 2,,95-101,,
0:03.0,Offensive rebound by Team,,95-101,,
0:03.0,,,95-101,,T. Duncan enters the game for C. Joseph
0:03.0,J. Bayless misses free throw 2 of 2,,95-101,,
0:02.0,Offensive rebound by Z. Pachulia,,95-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
