time,Atlanta,pts.away,score,pts.home,Philadelphia
0:00.0,,,49-37,,T. Wroten misses 3-pt shot from 27 ft
0:00.0,,,49-37,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-37,,Offensive charge foul by M. Carter-Williams
11:41.0,,,49-37,,Turnover by M. Carter-Williams (offensive foul)
11:24.0,T. Sefolosha misses 3-pt shot from 25 ft,,49-37,,
11:22.0,,,49-37,,Defensive rebound by N. Noel
11:06.0,,,49-37,,M. Carter-Williams misses 2-pt shot from 3 ft
11:04.0,,,49-37,,Offensive rebound by N. Noel
11:04.0,,,49-37,,N. Noel misses 2-pt shot at rim
11:01.0,Defensive rebound by M. Muscala,,49-37,,
10:52.0,A. Horford makes 2-pt shot from 3 ft,2,51-37,,
10:34.0,,,51-37,,Shooting foul by A. Horford (drawn by L. Mbah a Moute)
10:34.0,,,51-37,,L. Mbah a Moute misses free throw 1 of 2
10:34.0,,,51-37,,Offensive rebound by Team
10:34.0,,,51-38,1,L. Mbah a Moute makes free throw 2 of 2
10:22.0,D. Schroder makes 2-pt shot from 1 ft (assist by A. Horford),2,53-38,,
10:02.0,,,53-38,,K. McDaniels misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by A. Horford,,53-38,,
9:56.0,,,53-38,,Personal foul by R. Covington (drawn by T. Sefolosha)
9:44.0,M. Muscala misses 2-pt shot from 14 ft,,53-38,,
9:43.0,,,53-38,,Defensive rebound by K. McDaniels
9:24.0,,,53-38,,R. Covington misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by T. Sefolosha,,53-38,,
9:12.0,Turnover by T. Sefolosha (bad pass; steal by N. Noel),,53-38,,
9:10.0,,,53-40,2,R. Covington makes 2-pt shot from 1 ft
9:10.0,,,53-40,,Shooting foul by D. Schroder (drawn by R. Covington)
9:10.0,,,53-41,1,R. Covington makes free throw 1 of 1
8:50.0,K. Korver makes 3-pt shot from 26 ft (assist by A. Horford),3,56-41,,
8:38.0,,,56-41,,M. Carter-Williams misses 2-pt shot from 2 ft
8:37.0,,,56-41,,Offensive rebound by M. Carter-Williams
8:37.0,,,56-43,2,M. Carter-Williams makes 2-pt shot from 2 ft
8:32.0,,,56-43,,Personal foul by R. Covington (drawn by T. Sefolosha)
8:09.0,D. Schroder misses 3-pt shot from 23 ft,,56-43,,
8:07.0,Offensive rebound by M. Muscala,,56-43,,
8:04.0,Turnover by M. Muscala (lost ball; steal by R. Covington),,56-43,,
7:58.0,,,56-43,,R. Covington misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by K. Korver,,56-43,,
7:39.0,M. Muscala makes 2-pt shot from 14 ft (assist by A. Horford),2,58-43,,
7:19.0,,,58-43,,R. Covington misses 2-pt shot at rim
7:17.0,,,58-43,,Offensive rebound by R. Covington
7:16.0,,,58-45,2,R. Covington makes 2-pt shot from 2 ft
7:03.0,M. Muscala misses 2-pt shot from 3 ft,,58-45,,
7:02.0,Offensive rebound by A. Horford,,58-45,,
6:47.0,D. Schroder misses 2-pt shot from 2 ft,,58-45,,
6:46.0,Offensive rebound by A. Horford,,58-45,,
6:46.0,Shooting foul by K. McDaniels (drawn by A. Horford),,58-45,,
6:46.0,A. Horford makes free throw 1 of 2,1,59-45,,
6:46.0,M. Scott enters the game for M. Muscala,,59-45,,
6:46.0,A. Horford makes free throw 2 of 2,1,60-45,,
6:29.0,,,60-47,2,K. McDaniels makes 2-pt shot at rim (assist by R. Covington)
6:07.0,Turnover by K. Korver (step out of bounds),,60-47,,
