time,New York,pts.away,score,pts.home,LA Clippers
1:05.0,,,78-94,,Defensive rebound by J. Cunningham
1:00.0,,,78-94,,Shooting foul by Q. Acy (drawn by J. Farmar)
1:00.0,,,78-95,1,J. Farmar makes free throw 1 of 2
1:00.0,,,78-96,1,J. Farmar makes free throw 2 of 2
0:47.0,T. Wear misses 2-pt shot from 11 ft,,78-96,,
0:45.0,,,78-96,,Defensive rebound by G. Davis
0:39.0,,,78-99,3,J. Farmar makes 3-pt shot from 24 ft
0:20.0,J. Smith misses 2-pt shot from 22 ft,,78-99,,
0:18.0,,,78-99,,Defensive rebound by R. Bullock
0:00.0,End of 4th quarter,,,,End of 4th quarter
