time,Dallas,pts.away,score,pts.home,Indiana
6:00.0,Shooting foul by C. Watson (drawn by R. Rondo),,88-89,,
6:00.0,R. Rondo makes free throw 1 of 1,1,89-89,,
5:47.0,,,89-89,,R. Stuckey misses 2-pt shot at rim (block by T. Chandler)
5:47.0,,,89-89,,Offensive rebound by Team
5:47.0,Official timeout,,89-89,,
5:47.0,R. Jefferson enters the game for D. Harris,,89-89,,
5:47.0,D. Nowitzki enters the game for C. Villanueva,,89-89,,
5:38.0,,,89-92,3,G. Hill makes 3-pt shot from 25 ft
5:21.0,Turnover by C. Parsons (lost ball; steal by I. Mahinmi),,89-92,,
5:14.0,,,89-95,3,G. Hill makes 3-pt shot from 29 ft
4:54.0,R. Rondo misses 2-pt shot from 18 ft,,89-95,,
4:53.0,,,89-95,,Defensive rebound by R. Stuckey
4:42.0,,,89-95,,R. Stuckey misses 2-pt shot from 19 ft
4:41.0,Defensive rebound by T. Chandler,,89-95,,
4:32.0,C. Parsons makes 2-pt shot from 2 ft,2,91-95,,
4:10.0,,,91-97,2,G. Hill makes 2-pt shot from 1 ft
3:56.0,,,91-97,,R. Hibbert enters the game for I. Mahinmi
3:56.0,,,91-97,,C. Miles enters the game for R. Stuckey
3:56.0,D. Harris enters the game for R. Jefferson,,91-97,,
3:44.0,D. Nowitzki misses 2-pt shot from 20 ft,,91-97,,
3:42.0,Offensive rebound by D. Harris,,91-97,,
3:33.0,C. Parsons makes 2-pt shot from 1 ft,2,93-97,,
3:10.0,,,93-97,,L. Scola misses 2-pt shot from 8 ft (block by R. Rondo)
3:09.0,Defensive rebound by R. Rondo,,93-97,,
3:06.0,C. Parsons makes 2-pt shot from 1 ft (assist by R. Rondo),2,95-97,,
3:06.0,,,95-97,,Indiana full timeout
3:06.0,,,95-97,,D. West enters the game for L. Scola
2:43.0,,,95-97,,G. Hill misses 2-pt shot from 15 ft
2:42.0,Defensive rebound by T. Chandler,,95-97,,
2:20.0,R. Rondo makes 2-pt shot from 2 ft,2,97-97,,
1:59.0,,,97-97,,G. Hill misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by C. Parsons,,97-97,,
1:38.0,D. Nowitzki misses 2-pt shot from 17 ft,,97-97,,
1:37.0,,,97-97,,Defensive rebound by C. Watson
1:30.0,,,97-97,,Shooting foul by C. Parsons (drawn by R. Hibbert)
1:30.0,,,97-98,1,R. Hibbert makes free throw 1 of 2
1:30.0,,,97-99,1,R. Hibbert makes free throw 2 of 2
1:30.0,Dallas full timeout,,97-99,,
1:30.0,C. Villanueva enters the game for T. Chandler,,97-99,,
1:30.0,,,97-99,,I. Mahinmi enters the game for R. Hibbert
1:20.0,C. Villanueva misses 3-pt shot from 25 ft,,97-99,,
1:19.0,,,97-99,,Defensive rebound by I. Mahinmi
1:00.0,,,97-102,3,C. Miles makes 3-pt shot from 27 ft (assist by D. West)
1:00.0,Dallas full timeout,,97-102,,
1:00.0,T. Chandler enters the game for C. Villanueva,,97-102,,
1:00.0,,,97-102,,R. Hibbert enters the game for I. Mahinmi
0:56.0,C. Parsons makes 2-pt shot from 16 ft (assist by T. Chandler),2,99-102,,
0:39.0,,,99-102,,C. Watson misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by R. Rondo,,99-102,,
0:33.0,Offensive charge foul by C. Parsons,,99-102,,
0:33.0,Turnover by C. Parsons (offensive foul),,99-102,,
0:11.0,,,99-102,,C. Miles misses 3-pt shot from 27 ft
0:09.0,Defensive rebound by T. Chandler,,99-102,,
0:09.0,Dallas full timeout,,99-102,,
0:09.0,R. Jefferson enters the game for T. Chandler,,99-102,,
0:09.0,C. Villanueva enters the game for R. Rondo,,99-102,,
0:09.0,,,99-102,,S. Hill enters the game for R. Hibbert
0:09.0,,,99-102,,I. Mahinmi enters the game for C. Watson
0:04.0,C. Parsons misses 3-pt shot from 26 ft,,99-102,,
0:02.0,,,99-102,,Defensive rebound by C. Miles
0:02.0,Personal take foul by D. Nowitzki (drawn by C. Miles),,99-102,,
0:02.0,,,99-103,1,C. Miles makes free throw 1 of 2
0:02.0,,,99-104,1,C. Miles makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
