time,Indiana,pts.away,score,pts.home,San Antonio
1:52.0,Indiana full timeout,,93-104,,
1:52.0,D. Rudez enters the game for S. Hill,,93-104,,
1:52.0,C. Copeland enters the game for R. Stuckey,,93-104,,
1:36.0,C. Copeland makes 3-pt shot from 25 ft (assist by D. Sloan),3,96-104,,
1:36.0,Shooting foul by T. Duncan (drawn by C. Copeland),,96-104,,
1:36.0,R. Stuckey enters the game for L. Scola,,96-104,,
1:36.0,S. Hill enters the game for D. Rudez,,96-104,,
1:36.0,C. Copeland makes free throw 1 of 1,1,97-104,,
1:13.0,,,97-104,,M. Ginobili misses 2-pt shot from 20 ft
1:13.0,Defensive rebound by Team,,97-104,,
1:01.0,C. Copeland misses 3-pt shot from 25 ft,,97-104,,
1:00.0,,,97-104,,Defensive rebound by K. Leonard
0:44.0,Personal foul by I. Mahinmi (drawn by T. Parker),,97-104,,
0:44.0,L. Scola enters the game for C. Copeland,,97-104,,
0:36.0,,,97-104,,Offensive foul by T. Duncan
0:36.0,,,97-104,,Turnover by T. Duncan (offensive foul)
0:36.0,C. Copeland enters the game for I. Mahinmi,,97-104,,
0:36.0,,,97-104,,D. Green enters the game for B. Diaw
0:28.0,Turnover by D. Sloan (traveling),,97-104,,
0:26.0,Personal take foul by D. Sloan (drawn by T. Parker),,97-104,,
0:26.0,,,97-104,,T. Parker misses free throw 1 of 2
0:26.0,,,97-104,,Offensive rebound by Team
0:26.0,,,97-104,,T. Parker misses free throw 2 of 2
0:26.0,Defensive rebound by S. Hill,,97-104,,
0:26.0,Indiana full timeout,,97-104,,
0:26.0,D. Rudez enters the game for S. Hill,,97-104,,
0:26.0,C. Miles enters the game for D. Sloan,,97-104,,
0:17.0,Shooting foul by D. Green (drawn by L. Scola),,97-104,,
0:17.0,L. Scola makes free throw 1 of 2,1,98-104,,
0:17.0,,,98-104,,B. Diaw enters the game for D. Green
0:17.0,L. Allen enters the game for C. Miles,,98-104,,
0:17.0,L. Scola misses free throw 2 of 2,,98-104,,
0:17.0,,,98-104,,Defensive rebound by T. Duncan
0:15.0,Personal take foul by L. Allen (drawn by T. Duncan),,98-104,,
0:15.0,,,98-104,,T. Duncan misses free throw 1 of 2
0:15.0,,,98-104,,Offensive rebound by Team
0:15.0,C. Miles enters the game for L. Allen,,98-104,,
0:15.0,,,98-104,,D. Green enters the game for B. Diaw
0:15.0,,,98-105,1,T. Duncan makes free throw 2 of 2
0:08.0,C. Miles misses 3-pt shot from 27 ft,,98-105,,
0:07.0,,,98-105,,Defensive rebound by K. Leonard
0:06.0,Personal take foul by D. Rudez (drawn by K. Leonard),,98-105,,
0:06.0,,,98-106,1,K. Leonard makes free throw 1 of 2
0:06.0,,,98-106,,K. Leonard misses free throw 2 of 2
0:06.0,Defensive rebound by C. Miles,,98-106,,
0:01.0,C. Miles makes 2-pt shot at rim,2,100-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
