time,Orlando,pts.away,score,pts.home,Oklahoma City
2:33.0,,,86-100,,Personal foul by D. Waiters (drawn by V. Oladipo)
2:33.0,V. Oladipo makes free throw 1 of 2,1,87-100,,
2:33.0,V. Oladipo makes free throw 2 of 2,1,88-100,,
2:15.0,,,88-102,2,R. Westbrook makes 2-pt shot from 14 ft
1:51.0,W. Green makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,91-102,,
1:30.0,,,91-102,,Turnover by S. Adams (bad pass)
1:16.0,W. Green makes 3-pt shot from 24 ft,3,94-102,,
0:56.0,,,94-104,2,R. Westbrook makes 2-pt shot from 19 ft
0:54.0,Orlando full timeout,,94-104,,
0:54.0,,,94-104,,M. McGary enters the game for S. Adams
0:54.0,,,94-104,,A. Roberson enters the game for A. Morrow
0:52.0,T. Harris misses 3-pt shot from 22 ft,,94-104,,
0:51.0,,,94-104,,Defensive rebound by R. Westbrook
0:43.0,,,94-104,,M. McGary misses 2-pt shot at rim (block by K. O'Quinn)
0:41.0,Defensive rebound by C. Frye,,94-104,,
0:37.0,W. Green makes 3-pt shot from 24 ft,3,97-104,,
0:30.0,,,97-104,,D. Waiters misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by C. Frye,,97-104,,
0:20.0,C. Frye misses 3-pt shot from 24 ft,,97-104,,
0:19.0,,,97-104,,Defensive rebound by D. Waiters
0:00.0,End of 4th quarter,,,,End of 4th quarter
