time,Detroit,pts.away,score,pts.home,Sacramento
1:14.0,,,86-79,,Turnover by B. McLemore (bad pass; steal by J. Smith)
1:01.0,,,86-79,,Personal foul by D. Collison (drawn by D. Augustin)
0:53.0,J. Smith misses 2-pt shot from 3 ft (block by R. Hollins),,86-79,,
0:52.0,,,86-79,,Defensive rebound by R. Gay
0:47.0,,,86-79,,D. Collison misses 3-pt shot from 24 ft
0:45.0,,,86-79,,Offensive rebound by R. Hollins
0:40.0,,,86-79,,D. Collison misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by K. Singler,,86-79,,
0:35.0,,,86-79,,Personal take foul by C. Landry (drawn by D. Augustin)
0:35.0,D. Augustin makes free throw 1 of 2,1,87-79,,
0:35.0,D. Augustin makes free throw 2 of 2,1,88-79,,
0:35.0,,,88-79,,Sacramento full timeout
0:28.0,,,88-82,3,B. McLemore makes 3-pt shot from 22 ft (assist by R. Gay)
0:27.0,,,88-82,,Personal take foul by R. Hollins (drawn by D. Augustin)
0:27.0,D. Augustin makes free throw 1 of 2,1,89-82,,
0:27.0,D. Augustin makes free throw 2 of 2,1,90-82,,
0:27.0,,,90-82,,Sacramento full timeout
0:24.0,,,90-85,3,B. McLemore makes 3-pt shot from 25 ft (assist by R. Gay)
0:23.0,G. Monroe makes 2-pt shot at rim (assist by J. Smith),2,92-85,,
0:19.0,,,92-85,,B. McLemore misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by G. Monroe,,92-85,,
0:17.0,,,92-85,,Personal take foul by R. Hollins (drawn by G. Monroe)
0:17.0,G. Monroe makes free throw 1 of 2,1,93-85,,
0:17.0,,,93-85,,R. McCallum enters the game for R. Gay
0:17.0,,,93-85,,N. Stauskas enters the game for D. Collison
0:17.0,,,93-85,,E. Moreland enters the game for C. Landry
0:17.0,G. Monroe misses free throw 2 of 2,,93-85,,
0:17.0,,,93-85,,Defensive rebound by R. Hollins
0:06.0,,,93-87,2,E. Moreland makes 2-pt shot from 5 ft
0:05.0,,,93-87,,Personal take foul by B. McLemore (drawn by K. Caldwell-Pope)
0:05.0,K. Caldwell-Pope makes free throw 1 of 2,1,94-87,,
0:05.0,K. Caldwell-Pope makes free throw 2 of 2,1,95-87,,
0:01.0,,,95-90,3,B. McLemore makes 3-pt shot from 32 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
