time,Washington,pts.away,score,pts.home,Denver
2:49.0,J. Wall misses 2-pt shot from 1 ft,,99-101,,
2:48.0,Offensive rebound by K. Humphries,,99-101,,
2:48.0,K. Humphries makes 2-pt shot from 2 ft,2,101-101,,
2:27.0,,,101-103,2,D. Arthur makes 2-pt shot from 18 ft (assist by T. Lawson)
2:04.0,N. Hilario misses 2-pt shot from 16 ft,,101-103,,
2:02.0,,,101-103,,Defensive rebound by K. Faried
1:41.0,,,101-103,,D. Arthur misses 2-pt shot from 18 ft
1:40.0,Defensive rebound by K. Humphries,,101-103,,
1:33.0,Turnover by N. Hilario (traveling),,101-103,,
1:20.0,,,101-103,,A. Afflalo misses 3-pt shot from 22 ft
1:19.0,Defensive rebound by N. Hilario,,101-103,,
1:19.0,,,101-103,,Personal foul by D. Arthur (drawn by N. Hilario)
1:10.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,103-103,,
0:57.0,,,103-103,,Shooting foul by N. Hilario (drawn by T. Lawson)
0:57.0,,,103-104,1,T. Lawson makes free throw 1 of 2
0:57.0,,,103-105,1,T. Lawson makes free throw 2 of 2
0:40.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,105-105,,
0:28.0,,,105-105,,T. Lawson misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by P. Pierce,,105-105,,
0:22.0,Washington full timeout,,105-105,,
0:22.0,R. Butler enters the game for K. Humphries,,105-105,,
0:05.0,Turnover by J. Wall (lost ball; steal by T. Lawson),,105-105,,
0:01.0,Shooting block foul by B. Beal (drawn by K. Faried),,105-105,,
0:01.0,K. Humphries enters the game for B. Beal,,105-105,,
0:01.0,,,105-105,,K. Faried misses free throw 1 of 2
0:01.0,,,105-105,,Offensive rebound by Team
0:01.0,,,105-105,,K. Faried misses free throw 2 of 2
0:01.0,Defensive rebound by N. Hilario,,105-105,,
0:01.0,Washington full timeout,,105-105,,
0:01.0,A. Miller enters the game for K. Humphries,,105-105,,
0:01.0,Washington full timeout,,105-105,,
0:00.0,P. Pierce misses 2-pt shot from 19 ft (block by K. Faried),,105-105,,
0:00.0,Offensive rebound by Team,,105-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
4:57.0,Jump ball: K. Faried vs. N. Hilario (K. Humphries gains possession),,,,Jump ball: K. Faried vs. N. Hilario (K. Humphries gains possession)
4:41.0,K. Humphries misses 2-pt shot from 2 ft (block by K. Faried),,105-105,,
4:39.0,Offensive rebound by K. Humphries,,105-105,,
4:38.0,K. Humphries makes 2-pt shot at rim,2,107-105,,
4:20.0,,,107-105,,A. Afflalo misses 2-pt shot from 15 ft (block by P. Pierce)
4:19.0,Defensive rebound by R. Butler,,107-105,,
4:02.0,P. Pierce misses 2-pt shot from 17 ft,,107-105,,
4:01.0,,,107-105,,Defensive rebound by W. Chandler
3:53.0,,,107-105,,W. Chandler misses 2-pt shot from 7 ft
3:51.0,,,107-105,,Offensive rebound by W. Chandler
3:51.0,,,107-105,,W. Chandler misses 2-pt shot from 1 ft
3:51.0,Defensive rebound by Team,,107-105,,
3:33.0,J. Wall makes 2-pt shot at rim,2,109-105,,
3:24.0,,,109-105,,Turnover by T. Lawson (lost ball; steal by J. Wall)
3:20.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,111-105,,
3:20.0,Shooting foul by D. Arthur (drawn by K. Humphries),,111-105,,
3:20.0,K. Humphries misses free throw 1 of 1,,111-105,,
3:19.0,,,111-105,,Defensive rebound by K. Faried
3:00.0,,,111-105,,W. Chandler misses 2-pt shot from 4 ft
2:59.0,Defensive rebound by K. Humphries,,111-105,,
2:42.0,J. Wall misses 3-pt shot from 25 ft,,111-105,,
2:41.0,,,111-105,,Defensive rebound by A. Afflalo
2:35.0,,,111-105,,D. Arthur misses 2-pt shot from 18 ft
2:34.0,,,111-105,,Offensive rebound by K. Faried
2:34.0,,,111-105,,Shooting foul by K. Humphries (drawn by K. Faried)
2:34.0,,,111-105,,K. Faried misses free throw 1 of 2
2:34.0,,,111-105,,Offensive rebound by Team
2:34.0,,,111-106,1,K. Faried makes free throw 2 of 2
2:17.0,Turnover by J. Wall (bad pass),,111-106,,
2:09.0,,,111-108,2,D. Arthur makes 2-pt shot from 16 ft (assist by T. Lawson)
1:41.0,K. Humphries misses 2-pt shot from 3 ft,,111-108,,
1:40.0,,,111-108,,Defensive rebound by W. Chandler
1:28.0,,,111-110,2,T. Lawson makes 2-pt shot from 18 ft
1:28.0,Washington full timeout,,111-110,,
1:09.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,113-110,,
0:56.0,,,113-112,2,T. Lawson makes 2-pt shot from 3 ft
0:41.0,J. Wall makes 2-pt shot from 2 ft,2,115-112,,
0:41.0,,,115-112,,Denver full timeout
0:28.0,,,115-112,,D. Arthur misses 2-pt shot from 22 ft
0:26.0,,,115-112,,Offensive rebound by W. Chandler
0:24.0,,,115-112,,A. Afflalo misses 3-pt shot from 23 ft
0:22.0,Defensive rebound by N. Hilario,,115-112,,
0:20.0,,,115-112,,Personal take foul by W. Chandler (drawn by J. Wall)
0:16.0,Washington full timeout,,115-112,,
0:16.0,A. Miller enters the game for K. Humphries,,115-112,,
0:10.0,,,115-112,,Personal take foul by W. Chandler (drawn by J. Wall)
0:10.0,J. Wall makes free throw 1 of 2,1,116-112,,
0:10.0,K. Humphries enters the game for A. Miller,,116-112,,
0:10.0,J. Wall makes free throw 2 of 2,1,117-112,,
0:10.0,,,117-112,,Denver full timeout
0:10.0,O. Porter enters the game for K. Humphries,,117-112,,
0:08.0,,,117-112,,D. Arthur misses 2-pt shot from 19 ft
0:08.0,,,117-112,,Offensive rebound by Team
0:08.0,Loose ball foul by N. Hilario (drawn by K. Faried),,117-112,,
0:04.0,,,117-115,3,W. Chandler makes 3-pt shot from 26 ft (assist by K. Faried)
0:03.0,Turnover by P. Pierce (bad pass; steal by T. Lawson),,117-115,,
0:01.0,,,117-115,,T. Lawson misses 2-pt shot from 12 ft
0:00.0,,,117-115,,Offensive rebound by Team
0:00.0,End of 1st overtime,,,,End of 1st overtime
