time,Indiana,pts.away,score,pts.home,Orlando
1:06.0,,,102-99,,E. Payton misses 2-pt shot from 2 ft (block by C. Watson)
1:03.0,Defensive rebound by C. Watson,,102-99,,
0:42.0,G. Hill misses 2-pt shot from 11 ft,,102-99,,
0:40.0,Offensive rebound by D. Rudez,,102-99,,
0:21.0,D. Rudez makes 3-pt shot from 23 ft (assist by G. Hill),3,105-99,,
0:21.0,,,105-99,,Orlando full timeout
0:19.0,,,105-99,,C. Frye misses 2-pt shot from 2 ft (block by R. Hibbert)
0:17.0,Defensive rebound by C. Watson,,105-99,,
0:17.0,,,105-99,,Personal foul by T. Harris (drawn by C. Watson)
0:17.0,C. Watson misses free throw 1 of 2,,105-99,,
0:17.0,Offensive rebound by Team,,105-99,,
0:17.0,,,105-99,,W. Green enters the game for E. Payton
0:17.0,C. Watson makes free throw 2 of 2,1,106-99,,
0:11.0,,,106-99,,Turnover by W. Green (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
