time,Toronto,pts.away,score,pts.home,Brooklyn
1:22.0,,,105-106,2,T. Young makes 2-pt shot from 2 ft
1:05.0,D. DeRozan makes 2-pt shot from 4 ft,2,107-106,,
0:46.0,,,107-109,3,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson)
0:46.0,Toronto full timeout,,107-109,,
0:37.0,D. DeRozan makes 2-pt shot from 17 ft,2,109-109,,
0:27.0,,,109-109,,D. Williams misses 2-pt shot from 5 ft
0:25.0,,,109-109,,Offensive rebound by B. Lopez
0:24.0,,,109-109,,B. Lopez misses 2-pt shot from 1 ft
0:23.0,,,109-109,,Offensive rebound by T. Young
0:22.0,,,109-111,2,T. Young makes 2-pt shot from 1 ft
0:13.0,D. DeRozan misses 2-pt shot from 8 ft,,109-111,,
0:12.0,,,109-111,,Defensive rebound by T. Young
0:10.0,Clear path foul by D. DeRozan,,109-111,,
0:10.0,,,109-112,1,J. Johnson makes clear path free throw 1 of 2
0:10.0,,,109-113,1,J. Johnson makes clear path free throw 2 of 2
0:10.0,,,109-113,,Brooklyn full timeout
0:10.0,J. Johnson enters the game for J. Valanciunas,,109-113,,
0:10.0,T. Ross enters the game for G. Vasquez,,109-113,,
0:08.0,Personal foul by J. Johnson (drawn by J. Johnson),,109-113,,
0:08.0,,,109-114,1,J. Johnson makes free throw 1 of 2
0:08.0,J. Valanciunas enters the game for J. Johnson,,109-114,,
0:08.0,,,109-114,,J. Johnson misses free throw 2 of 2
0:07.0,Defensive rebound by J. Valanciunas,,109-114,,
0:01.0,J. Valanciunas misses 3-pt shot from 35 ft,,109-114,,
0:00.0,,,109-114,,Defensive rebound by M. Brown
0:00.0,End of 4th quarter,,,,End of 4th quarter
