time,Denver,pts.away,score,pts.home,Orlando
6:40.0,Turnover by J. Lauvergne (bad pass; steal by K. O'Quinn),,112-84,,
6:34.0,,,112-84,,K. O'Quinn misses 2-pt shot from 2 ft (block by J. Lauvergne)
6:32.0,,,112-84,,Offensive rebound by K. O'Quinn
6:32.0,,,112-84,,Shooting foul by J. Lauvergne (drawn by K. O'Quinn)
6:32.0,,,112-85,1,K. O'Quinn makes free throw 1 of 2
6:32.0,,,112-86,1,K. O'Quinn makes free throw 2 of 2
6:17.0,W. Barton misses 3-pt shot from 25 ft,,112-86,,
6:16.0,,,112-86,,Defensive rebound by E. Payton
6:07.0,,,112-88,2,E. Payton makes 2-pt shot from 3 ft
5:49.0,Shooting foul by A. Gordon (drawn by G. Harris),,112-88,,
5:49.0,Official timeout,,112-88,,
5:49.0,,,112-88,,W. Green enters the game for L. Ridnour
5:49.0,G. Harris misses free throw 1 of 2,,112-88,,
5:49.0,Offensive rebound by Team,,112-88,,
5:49.0,G. Harris makes free throw 2 of 2,1,113-88,,
5:29.0,,,113-88,,K. O'Quinn misses 3-pt shot from 25 ft
5:28.0,,,113-88,,Offensive rebound by V. Oladipo
5:17.0,,,113-90,2,V. Oladipo makes 2-pt shot at rim
4:58.0,W. Barton misses 2-pt shot from 7 ft,,113-90,,
4:54.0,,,113-90,,Defensive rebound by V. Oladipo
4:50.0,,,113-90,,W. Green misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by J. Hickson,,113-90,,
4:46.0,Turnover by J. Hickson (bad pass; steal by E. Payton),,113-90,,
4:41.0,,,113-92,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
4:13.0,W. Barton misses 2-pt shot from 15 ft,,113-92,,
4:12.0,Offensive rebound by J. Lauvergne,,113-92,,
4:10.0,J. Lauvergne makes 2-pt shot from 1 ft,2,115-92,,
3:56.0,,,115-92,,K. O'Quinn misses 2-pt shot from 12 ft
3:55.0,Defensive rebound by E. Green,,115-92,,
3:47.0,J. Hickson misses 2-pt shot from 2 ft (block by A. Gordon),,115-92,,
3:44.0,Offensive rebound by J. Hickson,,115-92,,
3:44.0,Turnover by J. Hickson (bad pass),,115-92,,
3:36.0,,,115-94,2,V. Oladipo makes 2-pt shot from 16 ft
3:16.0,E. Green misses 2-pt shot from 12 ft,,115-94,,
3:15.0,,,115-94,,Defensive rebound by A. Gordon
3:04.0,,,115-96,2,A. Gordon makes 2-pt shot at rim (assist by V. Oladipo)
2:43.0,W. Barton makes 2-pt shot from 4 ft (assist by E. Green),2,117-96,,
2:25.0,,,117-96,,Turnover by K. O'Quinn (bad pass; steal by J. Lauvergne)
2:23.0,,,117-96,,Personal foul by K. O'Quinn (drawn by W. Barton)
2:23.0,,,117-96,,Orlando full timeout
2:08.0,W. Barton misses 2-pt shot from 9 ft,,117-96,,
2:05.0,Offensive rebound by J. Hickson,,117-96,,
2:00.0,G. Harris makes 2-pt shot from 8 ft (assist by E. Green),2,119-96,,
1:53.0,,,119-96,,Turnover by V. Oladipo (bad pass)
1:34.0,G. Harris misses 3-pt shot from 23 ft,,119-96,,
1:31.0,Offensive rebound by G. Harris,,119-96,,
1:21.0,Turnover by W. Barton (bad pass),,119-96,,
1:10.0,,,119-96,,E. Payton misses 2-pt shot from 8 ft
1:09.0,,,119-96,,Offensive rebound by K. O'Quinn
1:09.0,,,119-96,,K. O'Quinn misses 2-pt shot from 1 ft
1:08.0,,,119-96,,Offensive rebound by K. O'Quinn
1:08.0,,,119-98,2,K. O'Quinn makes 2-pt shot from 1 ft
0:49.0,E. Green misses 3-pt shot from 25 ft,,119-98,,
0:48.0,,,119-98,,Defensive rebound by K. O'Quinn
0:41.0,,,119-98,,V. Oladipo misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by J. Lauvergne,,119-98,,
0:35.0,Turnover by J. Lauvergne (bad pass; steal by W. Green),,119-98,,
0:13.0,,,119-98,,V. Oladipo misses 2-pt shot from 17 ft
0:11.0,,,119-98,,Offensive rebound by K. O'Quinn
0:11.0,,,119-100,2,K. O'Quinn makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
