time,Toronto,pts.away,score,pts.home,LA Lakers
2:47.0,K. Lowry misses 2-pt shot from 11 ft,,101-102,,
2:46.0,Offensive rebound by Team,,101-102,,
2:42.0,,,101-102,,Personal foul by J. Hill (drawn by J. Valanciunas)
2:35.0,Shooting foul by N. Young (drawn by K. Lowry),,101-102,,
2:35.0,K. Lowry makes free throw 1 of 2,1,102-102,,
2:35.0,K. Lowry makes free throw 2 of 2,1,103-102,,
2:19.0,,,103-102,,K. Bryant misses 2-pt shot from 15 ft
2:18.0,,,103-102,,Offensive rebound by Team
2:18.0,Loose ball foul by K. Lowry (drawn by J. Hill),,103-102,,
2:18.0,,,103-102,,J. Hill misses free throw 1 of 2
2:18.0,,,103-102,,Offensive rebound by Team
2:18.0,,,103-103,1,J. Hill makes free throw 2 of 2
2:05.0,G. Vasquez misses 3-pt shot from 25 ft,,103-103,,
2:03.0,Offensive rebound by K. Lowry,,103-103,,
2:03.0,K. Lowry misses 2-pt shot at rim,,103-103,,
2:01.0,,,103-103,,Defensive rebound by J. Hill
1:58.0,,,103-105,2,K. Bryant makes 2-pt shot from 1 ft
1:45.0,J. Valanciunas misses 2-pt shot from 2 ft,,103-105,,
1:43.0,Offensive rebound by J. Valanciunas,,103-105,,
1:43.0,Shooting foul by C. Boozer (drawn by J. Valanciunas),,103-105,,
1:43.0,J. Valanciunas makes free throw 1 of 2,1,104-105,,
1:43.0,J. Valanciunas misses free throw 2 of 2,,104-105,,
1:42.0,,,104-105,,Defensive rebound by J. Hill
1:31.0,,,104-108,3,N. Young makes 3-pt shot from 23 ft (assist by K. Bryant)
1:24.0,Toronto full timeout,,104-108,,
1:24.0,L. Williams enters the game for J. Valanciunas,,104-108,,
1:24.0,,,104-108,,W. Johnson enters the game for C. Boozer
1:19.0,Shooting foul by K. Bryant (drawn by K. Lowry),,104-108,,
1:19.0,K. Lowry makes free throw 1 of 2,1,105-108,,
1:19.0,,,105-108,,C. Boozer enters the game for W. Johnson
1:19.0,T. Ross enters the game for G. Vasquez,,105-108,,
1:19.0,J. Valanciunas enters the game for L. Williams,,105-108,,
1:19.0,K. Lowry makes free throw 2 of 2,1,106-108,,
0:56.0,,,106-108,,K. Bryant misses 2-pt shot from 10 ft
0:55.0,Defensive rebound by J. Johnson,,106-108,,
0:44.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,109-108,,
0:35.0,,,109-108,,Shooting foul by J. Valanciunas (drawn by K. Bryant)
0:35.0,,,109-109,1,K. Bryant makes free throw 1 of 2
0:35.0,L. Williams enters the game for J. Valanciunas,,109-109,,
0:35.0,,,109-109,,R. Price enters the game for J. Lin
0:35.0,,,109-109,,W. Johnson enters the game for C. Boozer
0:35.0,,,109-109,,K. Bryant misses free throw 2 of 2
0:33.0,Defensive rebound by P. Patterson,,109-109,,
0:13.0,Offensive foul by K. Lowry,,109-109,,
0:13.0,Turnover by K. Lowry (offensive foul),,109-109,,
0:13.0,,,109-109,,J. Lin enters the game for R. Price
0:13.0,J. Valanciunas enters the game for L. Williams,,109-109,,
0:02.0,,,109-109,,K. Bryant misses 2-pt shot from 3 ft (block by J. Valanciunas)
0:01.0,Defensive rebound by J. Johnson,,109-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: J. Hill vs. J. Valanciunas (J. Lin gains possession),,,,Jump ball: J. Hill vs. J. Valanciunas (J. Lin gains possession)
4:50.0,Personal foul by K. Lowry (drawn by J. Lin),,109-109,,
4:40.0,,,109-109,,Shooting foul by J. Johnson (drawn by K. Bryant)
4:40.0,,,109-109,,K. Bryant misses free throw 1 of 2
4:40.0,,,109-109,,Offensive rebound by Team
4:40.0,,,109-110,1,K. Bryant makes free throw 2 of 2
4:28.0,K. Lowry misses 3-pt shot from 26 ft,,109-110,,
4:25.0,,,109-110,,Defensive rebound by N. Young
4:18.0,,,109-110,,K. Bryant misses 2-pt shot from 9 ft
4:15.0,Defensive rebound by J. Valanciunas,,109-110,,
4:02.0,Shooting foul by J. Hill (drawn by K. Lowry),,109-110,,
4:02.0,K. Lowry makes free throw 1 of 2,1,110-110,,
4:02.0,K. Lowry misses free throw 2 of 2,,110-110,,
4:02.0,Offensive rebound by Team,,110-110,,
4:02.0,Toronto full timeout,,110-110,,
3:51.0,K. Lowry misses 2-pt shot from 2 ft (block by J. Hill),,110-110,,
3:49.0,,,110-110,,Defensive rebound by J. Hill
3:35.0,,,110-110,,K. Bryant misses 2-pt shot from 12 ft
3:34.0,Defensive rebound by J. Valanciunas,,110-110,,
3:22.0,T. Ross misses 3-pt shot from 24 ft,,110-110,,
3:20.0,,,110-110,,Defensive rebound by J. Lin
2:59.0,,,110-113,3,W. Johnson makes 3-pt shot from 24 ft (assist by J. Lin)
2:44.0,P. Patterson misses 3-pt shot from 24 ft,,110-113,,
2:42.0,,,110-113,,Defensive rebound by J. Hill
2:23.0,,,110-115,2,K. Bryant makes 2-pt shot from 14 ft
2:23.0,,,110-115,,Shooting foul by J. Johnson (drawn by K. Bryant)
2:23.0,G. Vasquez enters the game for J. Johnson,,110-115,,
2:23.0,,,110-116,1,K. Bryant makes free throw 1 of 1
2:10.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,112-116,,
1:52.0,,,112-118,2,K. Bryant makes 2-pt shot from 14 ft
1:41.0,K. Lowry misses 2-pt shot from 2 ft (block by J. Hill),,112-118,,
1:38.0,,,112-118,,Defensive rebound by J. Lin
1:36.0,Violation by T. Ross (def goaltending),,112-118,,
1:36.0,,,112-120,2,J. Lin makes 2-pt shot at rim
1:36.0,Toronto full timeout,,112-120,,
1:36.0,L. Williams enters the game for J. Valanciunas,,112-120,,
1:29.0,L. Williams misses 2-pt shot from 3 ft,,112-120,,
1:25.0,Offensive rebound by P. Patterson,,112-120,,
1:25.0,P. Patterson misses 2-pt shot at rim,,112-120,,
1:22.0,,,112-120,,Defensive rebound by K. Bryant
1:21.0,,,112-120,,Shooting foul by P. Patterson (drawn by N. Young)
1:21.0,,,112-121,1,N. Young makes free throw 1 of 2
1:21.0,,,112-121,,N. Young misses free throw 2 of 2
1:19.0,Defensive rebound by P. Patterson,,112-121,,
1:06.0,K. Lowry misses 3-pt shot from 22 ft,,112-121,,
1:05.0,Offensive rebound by P. Patterson,,112-121,,
1:02.0,T. Ross makes 3-pt shot from 25 ft (assist by P. Patterson),3,115-121,,
1:02.0,Personal foul by K. Lowry (drawn by J. Lin),,115-121,,
1:02.0,,,115-122,1,J. Lin makes free throw 1 of 2
1:02.0,,,115-123,1,J. Lin makes free throw 2 of 2
0:54.0,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry),3,118-123,,
0:48.0,,,118-125,2,W. Johnson makes 2-pt shot at rim (assist by J. Hill)
0:44.0,K. Lowry makes 2-pt shot from 1 ft,2,120-125,,
0:41.0,Personal foul by L. Williams (drawn by J. Lin),,120-125,,
0:41.0,,,120-126,1,J. Lin makes free throw 1 of 2
0:41.0,,,120-127,1,J. Lin makes free throw 2 of 2
0:41.0,Toronto full timeout,,120-127,,
0:38.0,L. Williams misses 3-pt shot from 25 ft,,120-127,,
0:36.0,,,120-127,,Defensive rebound by K. Bryant
0:14.0,,,120-127,,W. Johnson misses 3-pt shot from 23 ft
0:12.0,Defensive rebound by K. Lowry,,120-127,,
0:09.0,K. Lowry makes 2-pt shot from 1 ft,2,122-127,,
0:09.0,Shooting foul by J. Lin (drawn by K. Lowry),,122-127,,
0:09.0,K. Lowry misses free throw 1 of 1,,122-127,,
0:07.0,Offensive rebound by K. Lowry,,122-127,,
0:04.0,K. Lowry misses 2-pt shot from 3 ft (block by W. Johnson),,122-127,,
0:03.0,,,122-127,,Defensive rebound by W. Johnson
0:03.0,Personal foul by K. Lowry (drawn by W. Johnson),,122-127,,
0:03.0,,,122-128,1,W. Johnson makes free throw 1 of 2
0:03.0,L. Fields enters the game for K. Lowry,,122-128,,
0:03.0,,,122-129,1,W. Johnson makes free throw 2 of 2
0:03.0,T. Ross misses 3-pt shot from 53 ft,,122-129,,
0:00.0,Offensive rebound by Team,,122-129,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
