time,Memphis,pts.away,score,pts.home,Utah
7:40.0,Defensive rebound by Z. Randolph,,65-57,,
7:20.0,M. Gasol misses 2-pt shot from 18 ft,,65-57,,
7:19.0,Offensive rebound by Z. Randolph,,65-57,,
7:16.0,Turnover by Z. Randolph (lost ball; steal by E. Millsap),,65-57,,
7:11.0,,,65-57,,E. Millsap misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by Z. Randolph,,65-57,,
7:02.0,J. Green misses 2-pt shot from 2 ft,,65-57,,
7:00.0,,,65-57,,Defensive rebound by E. Millsap
6:49.0,,,65-59,2,E. Kanter makes 2-pt shot from 17 ft (assist by T. Burke)
6:44.0,Memphis full timeout,,65-59,,
6:44.0,,,65-59,,R. Gobert enters the game for D. Favors
6:28.0,M. Gasol makes 2-pt shot from 5 ft,2,67-59,,
6:28.0,Shooting foul by E. Kanter (drawn by M. Gasol),,67-59,,
6:28.0,M. Gasol makes free throw 1 of 1,1,68-59,,
6:13.0,,,68-61,2,T. Burke makes 2-pt shot from 16 ft
5:53.0,J. Green misses 3-pt shot from 23 ft,,68-61,,
5:52.0,Offensive rebound by M. Gasol,,68-61,,
5:40.0,M. Gasol misses 2-pt shot from 8 ft,,68-61,,
5:39.0,,,68-61,,Defensive rebound by E. Kanter
5:32.0,,,68-61,,G. Hayward misses 2-pt shot from 3 ft
5:31.0,Defensive rebound by Z. Randolph,,68-61,,
5:21.0,Z. Randolph misses 2-pt shot from 15 ft,,68-61,,
5:20.0,,,68-61,,Defensive rebound by R. Gobert
5:09.0,Personal foul by J. Green (drawn by G. Hayward),,68-61,,
5:09.0,K. Koufos enters the game for M. Gasol,,68-61,,
4:55.0,,,68-61,,E. Kanter misses 2-pt shot from 15 ft
4:53.0,Defensive rebound by C. Lee,,68-61,,
4:46.0,Z. Randolph misses 2-pt shot from 6 ft,,68-61,,
4:45.0,Offensive rebound by K. Koufos,,68-61,,
4:43.0,K. Koufos misses 2-pt shot from 4 ft,,68-61,,
4:43.0,Offensive rebound by Team,,68-61,,
4:36.0,Z. Randolph misses 2-pt shot from 4 ft,,68-61,,
4:35.0,,,68-61,,Defensive rebound by E. Kanter
4:25.0,,,68-61,,Shooting foul by Z. Randolph (drawn by R. Gobert)
4:25.0,,,68-61,,R. Gobert misses free throw 1 of 2
4:25.0,,,68-61,,Offensive rebound by Team
4:25.0,T. Allen enters the game for J. Green,,68-61,,
4:25.0,,,68-62,1,R. Gobert makes free throw 2 of 2
4:12.0,M. Conley misses 3-pt shot from 24 ft,,68-62,,
4:10.0,,,68-62,,Defensive rebound by G. Hayward
3:55.0,,,68-62,,E. Kanter misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by Z. Randolph,,68-62,,
3:46.0,Shooting foul by E. Millsap (drawn by Z. Randolph),,68-62,,
3:46.0,Z. Randolph makes free throw 1 of 2,1,69-62,,
3:46.0,,,69-62,,D. Favors enters the game for E. Kanter
3:46.0,,,69-62,,C. Johnson enters the game for E. Millsap
3:46.0,B. Udrih enters the game for M. Conley,,69-62,,
3:46.0,Z. Randolph makes free throw 2 of 2,1,70-62,,
3:30.0,,,70-64,2,T. Burke makes 2-pt shot from 11 ft
3:10.0,K. Koufos makes 2-pt shot from 6 ft (assist by Z. Randolph),2,72-64,,
