time,Detroit,pts.away,score,pts.home,Brooklyn
4:01.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Jennings),3,91-100,,
3:58.0,Personal foul by B. Jennings (drawn by J. Jack),,91-100,,
3:39.0,,,91-100,,Turnover by J. Johnson (bad pass; steal by J. Smith)
3:34.0,B. Jennings misses 2-pt shot from 1 ft (block by M. Plumlee),,91-100,,
3:32.0,Offensive rebound by A. Drummond,,91-100,,
3:25.0,A. Drummond makes 2-pt shot from 2 ft,2,93-100,,
3:07.0,,,93-100,,Turnover by J. Jack (lost ball)
3:07.0,,,93-100,,S. Karasev enters the game for A. Anderson
3:07.0,,,93-100,,K. Garnett enters the game for M. Teletovic
2:53.0,Turnover by J. Meeks (bad pass; steal by S. Karasev),,93-100,,
2:49.0,,,93-100,,Turnover by S. Karasev (lost ball; steal by B. Jennings)
2:49.0,,,93-100,,Personal foul by M. Plumlee (drawn by B. Jennings)
2:33.0,J. Meeks makes 2-pt shot from 18 ft (assist by J. Smith),2,95-100,,
2:06.0,,,95-102,2,K. Garnett makes 2-pt shot from 19 ft (assist by M. Plumlee)
1:50.0,J. Smith misses 3-pt shot from 26 ft,,95-102,,
1:49.0,,,95-102,,Defensive rebound by M. Plumlee
1:28.0,,,95-102,,S. Karasev misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by K. Caldwell-Pope,,95-102,,
1:19.0,B. Jennings makes 3-pt shot from 24 ft,3,98-102,,
1:17.0,Personal foul by J. Smith (drawn by M. Plumlee),,98-102,,
1:17.0,,,98-103,1,M. Plumlee makes free throw 1 of 2
1:17.0,,,98-104,1,M. Plumlee makes free throw 2 of 2
1:07.0,A. Drummond makes 2-pt shot at rim (assist by J. Meeks),2,100-104,,
0:47.0,,,100-104,,J. Jack misses 2-pt shot from 11 ft
0:46.0,Defensive rebound by J. Meeks,,100-104,,
0:41.0,A. Drummond makes 2-pt shot from 2 ft (assist by B. Jennings),2,102-104,,
0:41.0,,,102-104,,Brooklyn full timeout
0:25.0,,,102-104,,Turnover by M. Plumlee (bad pass; steal by B. Jennings)
0:19.0,,,102-104,,A. Anderson enters the game for M. Plumlee
0:16.0,J. Meeks misses 3-pt shot from 24 ft,,102-104,,
0:15.0,,,102-104,,Defensive rebound by Team
0:15.0,,,102-104,,Brooklyn full timeout
0:15.0,,,102-104,,B. Bogdanovic enters the game for A. Anderson
0:13.0,Personal foul by J. Smith (drawn by J. Johnson),,102-104,,
0:13.0,,,102-105,1,J. Johnson makes free throw 1 of 2
0:13.0,G. Monroe enters the game for J. Meeks,,102-105,,
0:13.0,,,102-105,,M. Plumlee enters the game for B. Bogdanovic
0:13.0,,,102-106,1,J. Johnson makes free throw 2 of 2
0:13.0,Detroit full timeout,,102-106,,
0:13.0,,,102-106,,A. Anderson enters the game for M. Plumlee
0:13.0,J. Meeks enters the game for G. Monroe,,102-106,,
0:10.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by J. Smith),3,105-106,,
0:09.0,Personal foul by A. Drummond (drawn by J. Johnson),,105-106,,
0:09.0,,,105-107,1,J. Johnson makes free throw 1 of 2
0:09.0,G. Monroe enters the game for J. Meeks,,105-107,,
0:09.0,,,105-108,1,J. Johnson makes free throw 2 of 2
0:09.0,Detroit full timeout,,105-108,,
0:09.0,J. Meeks enters the game for G. Monroe,,105-108,,
0:08.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,105-108,,
0:06.0,,,105-108,,Defensive rebound by Team
0:06.0,Loose ball foul by A. Drummond (drawn by K. Garnett),,105-108,,
0:06.0,,,105-108,,K. Garnett misses free throw 1 of 2
0:06.0,,,105-108,,Offensive rebound by Team
0:06.0,,,105-108,,K. Garnett misses free throw 2 of 2
0:05.0,Defensive rebound by J. Smith,,105-108,,
0:04.0,,,105-108,,Personal foul by S. Karasev (drawn by J. Smith)
0:04.0,J. Smith misses free throw 1 of 2,,105-108,,
0:04.0,Offensive rebound by Team,,105-108,,
0:04.0,,,105-108,,M. Plumlee enters the game for A. Anderson
0:04.0,G. Monroe enters the game for J. Meeks,,105-108,,
0:04.0,J. Smith misses free throw 2 of 2,,105-108,,
0:02.0,,,105-108,,Defensive rebound by K. Garnett
0:02.0,Personal foul by A. Drummond (drawn by K. Garnett),,105-108,,
0:02.0,,,105-109,1,K. Garnett makes free throw 1 of 2
0:02.0,,,105-109,,A. Anderson enters the game for M. Plumlee
0:02.0,,,105-110,1,K. Garnett makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
