time,Dallas,pts.away,score,pts.home,Sacramento
4:49.0,Offensive rebound by M. Ellis,,85-93,,
4:46.0,M. Ellis misses 2-pt shot from 6 ft,,85-93,,
4:45.0,,,85-93,,Defensive rebound by D. Cousins
4:33.0,,,85-93,,Turnover by B. McLemore (bad pass; steal by C. Parsons)
4:31.0,Turnover by C. Parsons (bad pass; steal by D. Collison),,85-93,,
4:29.0,,,85-93,,D. Williams misses 2-pt shot at rim
4:27.0,Defensive rebound by T. Chandler,,85-93,,
4:24.0,C. Parsons misses 2-pt shot from 1 ft,,85-93,,
4:23.0,,,85-93,,Defensive rebound by D. Cousins
4:11.0,,,85-95,2,D. Williams makes 2-pt shot at rim (assist by D. Cousins)
3:51.0,R. Rondo misses 2-pt shot from 5 ft,,85-95,,
3:50.0,Offensive rebound by T. Chandler,,85-95,,
3:50.0,T. Chandler misses 2-pt shot at rim,,85-95,,
3:50.0,Offensive rebound by T. Chandler,,85-95,,
3:50.0,Shooting foul by D. Williams (drawn by T. Chandler),,85-95,,
3:50.0,T. Chandler makes free throw 1 of 2,1,86-95,,
3:50.0,T. Chandler misses free throw 2 of 2,,86-95,,
3:49.0,Offensive rebound by C. Parsons,,86-95,,
3:32.0,R. Rondo makes 2-pt shot from 18 ft (assist by M. Ellis),2,88-95,,
3:05.0,,,88-95,,D. Collison misses 3-pt shot from 30 ft
3:04.0,Defensive rebound by T. Chandler,,88-95,,
2:54.0,M. Ellis makes 2-pt shot from 6 ft,2,90-95,,
2:53.0,,,90-95,,Sacramento full timeout
2:36.0,,,90-95,,D. Collison misses 3-pt shot from 23 ft
2:35.0,Defensive rebound by T. Chandler,,90-95,,
2:21.0,M. Ellis misses 2-pt shot from 16 ft,,90-95,,
2:21.0,,,90-95,,Defensive rebound by C. Landry
2:07.0,,,90-95,,Turnover by D. Cousins (bad pass)
1:59.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis),3,93-95,,
1:43.0,Personal foul by D. Nowitzki (drawn by D. Cousins),,93-95,,
1:32.0,,,93-97,2,D. Williams makes 2-pt shot from 10 ft
1:19.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,95-97,,
1:06.0,Personal foul by T. Chandler (drawn by D. Cousins),,95-97,,
1:06.0,,,95-98,1,D. Cousins makes free throw 1 of 2
1:06.0,,,95-99,1,D. Cousins makes free throw 2 of 2
0:57.0,R. Rondo makes 2-pt shot from 2 ft (assist by M. Ellis),2,97-99,,
0:34.0,,,97-99,,D. Cousins misses 2-pt shot from 7 ft (block by T. Chandler)
0:34.0,Defensive rebound by T. Chandler,,97-99,,
0:34.0,,,97-99,,Personal foul by D. Cousins (drawn by T. Chandler)
0:34.0,,,97-99,,R. McCallum enters the game for C. Landry
0:34.0,T. Chandler makes free throw 1 of 2,1,98-99,,
0:34.0,T. Chandler makes free throw 2 of 2,1,99-99,,
0:22.0,,,99-99,,Offensive foul by D. Cousins
0:22.0,,,99-99,,Turnover by D. Cousins (offensive foul)
0:22.0,Dallas full timeout,,99-99,,
0:22.0,,,99-99,,J. Thompson enters the game for D. Cousins
0:22.0,D. Harris enters the game for R. Rondo,,99-99,,
0:00.0,M. Ellis misses 2-pt shot from 19 ft,,99-99,,
0:00.0,Offensive rebound by Team,,99-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Chandler vs. J. Thompson (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. J. Thompson (C. Parsons gains possession)
4:43.0,C. Parsons misses 3-pt shot from 26 ft,,99-99,,
4:42.0,,,99-99,,Defensive rebound by J. Thompson
4:29.0,,,99-99,,D. Collison misses 2-pt shot from 17 ft
4:29.0,Defensive rebound by D. Nowitzki,,99-99,,
4:18.0,Turnover by M. Ellis (bad pass; steal by D. Williams),,99-99,,
3:57.0,,,99-99,,Turnover by D. Williams (bad pass; steal by R. Rondo)
3:48.0,M. Ellis makes 2-pt shot from 20 ft,2,101-99,,
3:32.0,Personal foul by T. Chandler (drawn by C. Landry),,101-99,,
3:23.0,,,101-99,,C. Landry misses 2-pt shot from 18 ft
3:23.0,Defensive rebound by D. Nowitzki,,101-99,,
3:07.0,M. Ellis misses 2-pt shot from 22 ft,,101-99,,
3:07.0,,,101-99,,Defensive rebound by J. Thompson
2:55.0,Jump ball: D. Collison vs. M. Ellis (B. McLemore gains possession),,,,Jump ball: D. Collison vs. M. Ellis (B. McLemore gains possession)
2:53.0,Personal foul by M. Ellis (drawn by B. McLemore),,101-99,,
2:53.0,,,101-99,,N. Stauskas enters the game for B. McLemore
2:53.0,,,101-99,,R. McCallum enters the game for N. Stauskas
2:48.0,,,101-99,,Shooting foul by C. Parsons (drawn by D. Williams)
2:48.0,,,101-99,,D. Williams misses free throw 1 of 2
2:48.0,,,101-99,,Offensive rebound by Team
2:48.0,,,101-100,1,D. Williams makes free throw 2 of 2
2:29.0,R. Rondo misses 2-pt shot from 14 ft,,101-100,,
2:29.0,,,101-100,,Defensive rebound by D. Collison
2:09.0,,,101-100,,R. McCallum misses 2-pt shot from 7 ft
2:08.0,,,101-100,,Offensive rebound by D. Williams
2:08.0,,,101-100,,D. Williams misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by T. Chandler,,101-100,,
1:56.0,D. Nowitzki misses 3-pt shot from 24 ft,,101-100,,
1:56.0,,,101-100,,Defensive rebound by D. Williams
1:46.0,,,101-100,,D. Collison misses 2-pt shot from 20 ft
1:45.0,,,101-100,,Offensive rebound by D. Collison
1:37.0,Personal foul by R. Rondo (drawn by D. Collison),,101-100,,
1:37.0,,,101-101,1,D. Collison makes free throw 1 of 2
1:37.0,Dallas full timeout,,101-101,,
1:37.0,,,101-102,1,D. Collison makes free throw 2 of 2
1:14.0,R. Rondo makes 3-pt shot from 24 ft,3,104-102,,
0:52.0,,,104-102,,D. Collison misses 3-pt shot from 25 ft
0:51.0,,,104-102,,Offensive rebound by Team
0:51.0,Loose ball foul by R. Rondo (drawn by J. Thompson),,104-102,,
0:51.0,,,104-103,1,J. Thompson makes free throw 1 of 2
0:51.0,Dallas full timeout,,104-103,,
0:51.0,D. Harris enters the game for R. Rondo,,104-103,,
0:51.0,,,104-103,,J. Thompson misses free throw 2 of 2
0:51.0,Defensive rebound by M. Ellis,,104-103,,
0:30.0,D. Nowitzki misses 2-pt shot from 20 ft,,104-103,,
0:26.0,Offensive rebound by C. Parsons,,104-103,,
0:20.0,,,104-103,,Personal take foul by R. McCallum (drawn by M. Ellis)
0:09.0,,,104-103,,Personal take foul by R. McCallum (drawn by M. Ellis)
0:09.0,M. Ellis makes free throw 1 of 2,1,105-103,,
0:09.0,R. Jefferson enters the game for D. Nowitzki,,105-103,,
0:09.0,M. Ellis makes free throw 2 of 2,1,106-103,,
0:09.0,,,106-103,,Sacramento full timeout
0:09.0,,,106-103,,N. Stauskas enters the game for C. Landry
0:06.0,Personal take foul by M. Ellis (drawn by D. Collison),,106-103,,
0:06.0,,,106-103,,D. Collison misses free throw 1 of 2
0:06.0,,,106-103,,Offensive rebound by Team
0:06.0,D. Nowitzki enters the game for R. Jefferson,,106-103,,
0:06.0,,,106-104,1,D. Collison makes free throw 2 of 2
0:06.0,,,106-104,,Personal take foul by N. Stauskas (drawn by M. Ellis)
0:06.0,M. Ellis makes free throw 1 of 2,1,107-104,,
0:06.0,R. Jefferson enters the game for D. Nowitzki,,107-104,,
0:06.0,M. Ellis makes free throw 2 of 2,1,108-104,,
0:06.0,,,108-104,,Sacramento full timeout
0:02.0,,,108-104,,D. Collison misses 3-pt shot from 24 ft
0:02.0,Defensive rebound by T. Chandler,,108-104,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
