time,Atlanta,pts.away,score,pts.home,San Antonio
4:24.0,,,81-86,1,B. Diaw makes free throw 2 of 2
4:13.0,P. Millsap makes 2-pt shot from 3 ft,2,83-86,,
4:13.0,Shooting foul by B. Diaw (drawn by P. Millsap),,83-86,,
4:13.0,P. Millsap makes free throw 1 of 1,1,84-86,,
3:56.0,,,84-88,2,D. Green makes 2-pt shot from 2 ft (assist by T. Parker)
3:43.0,J. Teague misses 2-pt shot from 2 ft,,84-88,,
3:42.0,,,84-88,,Defensive rebound by B. Diaw
3:23.0,,,84-88,,Shooting foul by A. Horford (drawn by T. Duncan)
3:23.0,,,84-88,,T. Duncan misses free throw 1 of 2
3:23.0,,,84-88,,Offensive rebound by Team
3:23.0,,,84-88,,T. Duncan misses free throw 2 of 2
3:23.0,Defensive rebound by P. Millsap,,84-88,,
3:04.0,J. Teague misses 2-pt shot from 7 ft,,84-88,,
3:03.0,Offensive rebound by A. Horford,,84-88,,
3:03.0,A. Horford makes 2-pt shot from 1 ft,2,86-88,,
2:42.0,,,86-88,,Turnover by T. Parker (lost ball; steal by P. Millsap)
2:35.0,K. Korver misses 3-pt shot from 25 ft,,86-88,,
2:34.0,,,86-88,,Defensive rebound by K. Leonard
2:17.0,Violation by P. Millsap (kicked ball),,86-88,,
2:17.0,Official timeout,,86-88,,
2:17.0,,,86-88,,M. Ginobili enters the game for D. Green
2:07.0,,,86-88,,T. Duncan misses 2-pt shot from 4 ft
2:05.0,,,86-88,,Offensive rebound by T. Duncan
2:05.0,,,86-88,,T. Duncan misses 2-pt shot from 2 ft
2:05.0,,,86-88,,Offensive rebound by T. Duncan
2:05.0,,,86-88,,T. Duncan misses 2-pt shot from 2 ft
2:04.0,Defensive rebound by K. Korver,,86-88,,
1:48.0,D. Carroll makes 2-pt shot from 19 ft (assist by A. Horford),2,88-88,,
1:28.0,,,88-88,,B. Diaw misses 3-pt shot from 24 ft
1:27.0,Defensive rebound by D. Carroll,,88-88,,
1:16.0,A. Horford makes 2-pt shot from 15 ft (assist by J. Teague),2,90-88,,
1:01.0,,,90-88,,Shooting foul by K. Korver (drawn by M. Ginobili)
1:01.0,,,90-89,1,M. Ginobili makes free throw 1 of 3
1:01.0,,,90-90,1,M. Ginobili makes free throw 2 of 3
1:01.0,,,90-91,1,M. Ginobili makes free throw 3 of 3
0:48.0,A. Horford misses 2-pt shot from 11 ft,,90-91,,
0:47.0,,,90-91,,Defensive rebound by K. Leonard
0:31.0,,,90-91,,Turnover by T. Parker (bad pass; steal by A. Horford)
0:30.0,,,90-91,,Loose ball foul by T. Duncan (drawn by A. Horford)
0:30.0,Atlanta full timeout,,90-91,,
0:25.0,K. Korver misses 2-pt shot from 4 ft (block by T. Duncan),,90-91,,
0:24.0,,,90-91,,Defensive rebound by T. Duncan
0:19.0,,,90-91,,San Antonio full timeout
0:19.0,T. Sefolosha enters the game for J. Teague,,90-91,,
0:19.0,K. Bazemore enters the game for K. Korver,,90-91,,
0:19.0,Personal foul by A. Horford (drawn by T. Duncan),,90-91,,
0:19.0,,,90-92,1,T. Duncan makes free throw 1 of 2
0:19.0,,,90-92,,T. Duncan misses free throw 2 of 2
0:18.0,Defensive rebound by D. Carroll,,90-92,,
0:18.0,Atlanta full timeout,,90-92,,
0:18.0,K. Korver enters the game for K. Bazemore,,90-92,,
0:18.0,J. Teague enters the game for T. Sefolosha,,90-92,,
0:14.0,J. Teague makes 2-pt shot from 5 ft,2,92-92,,
0:04.0,Shooting block foul by K. Korver (drawn by M. Ginobili),,92-92,,
0:04.0,,,92-93,1,M. Ginobili makes free throw 1 of 2
0:04.0,T. Sefolosha enters the game for J. Teague,,92-93,,
0:04.0,K. Bazemore enters the game for K. Korver,,92-93,,
0:04.0,,,92-94,1,M. Ginobili makes free throw 2 of 2
0:04.0,Atlanta full timeout,,92-94,,
0:04.0,J. Teague enters the game for K. Bazemore,,92-94,,
0:04.0,K. Korver enters the game for T. Sefolosha,,92-94,,
0:04.0,P. Antic enters the game for D. Carroll,,92-94,,
0:00.0,P. Antic misses 3-pt shot from 37 ft (block by B. Diaw),,92-94,,
0:00.0,,,92-94,,Defensive rebound by M. Ginobili
0:00.0,End of 4th quarter,,,,End of 4th quarter
