time,Utah,pts.away,score,pts.home,Miami
1:48.0,,,97-84,3,D. Wade makes 3-pt shot from 23 ft
1:29.0,Shooting foul by S. Williams (drawn by G. Hayward),,97-84,,
1:29.0,G. Hayward makes free throw 1 of 2,1,98-84,,
1:29.0,,,98-84,,S. Napier enters the game for D. Wade
1:29.0,G. Hayward makes free throw 2 of 2,1,99-84,,
1:19.0,,,99-84,,C. Andersen misses 2-pt shot from 2 ft
1:18.0,Defensive rebound by G. Hayward,,99-84,,
0:59.0,Turnover by E. Kanter (bad pass; steal by S. Napier),,99-84,,
0:54.0,,,99-87,3,M. Chalmers makes 3-pt shot from 24 ft (assist by S. Napier)
0:33.0,T. Burke makes 3-pt shot from 24 ft (assist by E. Kanter),3,102-87,,
0:25.0,,,102-87,,M. Chalmers misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by E. Kanter,,102-87,,
0:04.0,A. Burks makes 3-pt shot from 28 ft,3,105-87,,
0:00.0,,,105-87,,S. Napier misses 3-pt shot from 25 ft
0:00.0,,,105-87,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
